REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,17031.176288391223
GLOBAL,MINCOAINT,2024,17950.416510434676
GLOBAL,MINCOAINT,2025,18878.105713615398
GLOBAL,MINCOAINT,2026,20012.529130798284
GLOBAL,MINCOAINT,2027,21300.622015841487
GLOBAL,MINCOAINT,2028,22628.39872008315
GLOBAL,MINCOAINT,2029,23625.885227616007
GLOBAL,MINCOAINT,2030,23851.326252384013
GLOBAL,MINCOAINT,2031,23856.41855952
GLOBAL,MINCOAINT,2032,24207.408184608004
GLOBAL,MINCOAINT,2033,24558.397809696005
GLOBAL,MINCOAINT,2034,25226.919981360003
GLOBAL,MINCOAINT,2035,26948.646720515422
GLOBAL,MINCOAINT,2036,27617.168892179438
GLOBAL,MINCOAINT,2037,28358.289458723437
GLOBAL,MINCOAINT,2038,29099.41002526744
GLOBAL,MINCOAINT,2039,29995.98667947192
GLOBAL,MINCOAINT,2040,31174.80347749565
GLOBAL,MINCOAINT,2041,32379.70409951201
GLOBAL,MINCOAINT,2042,33745.60112713947
GLOBAL,MINCOAINT,2043,35164.80877211786
GLOBAL,MINCOAINT,2044,36678.383601465226
GLOBAL,MINCOAINT,2045,38277.101945146525
GLOBAL,MINCOAINT,2046,39934.72848149045
GLOBAL,MINCOAINT,2047,41656.87455370086
GLOBAL,MINCOAINT,2048,43449.48549786342
GLOBAL,MINCOAINT,2049,45415.74507942318
GLOBAL,MINCOAINT,2050,47442.76274691146
GLOBAL,MINGASINT,2023,686.8357638912
GLOBAL,MINGASINT,2024,733.9372081632001
GLOBAL,MINGASINT,2025,567.4290203232001
GLOBAL,MINGASINT,2026,591.8195264416509
GLOBAL,MINGASINT,2027,605.5443129312
GLOBAL,MINGASINT,2028,631.7164865116806
GLOBAL,MINGASINT,2029,920.7897485034594
GLOBAL,MINGASINT,2030,1624.8090370061443
GLOBAL,MINGASINT,2031,2554.6623955181103
GLOBAL,MINGASINT,2032,3412.363278728839
GLOBAL,MINGASINT,2033,4310.159494140329
GLOBAL,MINGASINT,2034,4950.344897035337
GLOBAL,MINGASINT,2035,4659.746284759648
GLOBAL,MINGASINT,2036,5322.237194971262
GLOBAL,MINGASINT,2037,5892.46602234624
GLOBAL,MINGASINT,2038,6229.608085019253
GLOBAL,MINGASINT,2039,6559.1087024099215
GLOBAL,MINGASINT,2040,6885.18272792075
GLOBAL,MINGASINT,2041,7203.944569089323
GLOBAL,MINGASINT,2042,7521.824599254376
GLOBAL,MINGASINT,2043,7852.811941817531
GLOBAL,MINGASINT,2044,8213.31373436791
GLOBAL,MINGASINT,2045,8580.69259723256
GLOBAL,MINGASINT,2046,8954.573083653428
GLOBAL,MINGASINT,2047,9342.98564045619
GLOBAL,MINGASINT,2048,9747.784428755427
GLOBAL,MINGASINT,2049,10169.687865672193
GLOBAL,MINGASINT,2050,10608.496557208293
GLOBAL,MINOILINT,2023,13.323972021838667
GLOBAL,MINOILINT,2024,28.3880578071764
GLOBAL,MINOILINT,2025,18.06176562046878
GLOBAL,MINOILINT,2026,1.7400779442671068
GLOBAL,MINOILINT,2027,3.0460023403441645
GLOBAL,MINOILINT,2028,4.134608044506361
GLOBAL,MINOILINT,2029,25.411743632251504
GLOBAL,MINOILINT,2030,20.328457651303168
GLOBAL,MINOILINT,2031,17.346641457744152
GLOBAL,MINOILINT,2032,27.51801303488521
GLOBAL,MINOILINT,2033,42.55124605308172
GLOBAL,MINOILINT,2034,44.376814996976464
GLOBAL,MINOILINT,2035,25.17514918681373
GLOBAL,MINOILINT,2036,25.6575053219001
GLOBAL,MINOILINT,2037,148.8021476018585
GLOBAL,MINOILINT,2038,535.0388832900635
GLOBAL,MINOILINT,2039,785.515556400711
GLOBAL,MINOILINT,2040,833.3756889857164
GLOBAL,MINOILINT,2041,871.2934799482258
GLOBAL,MINOILINT,2042,893.2264893269814
GLOBAL,MINOILINT,2043,908.4499038780745
GLOBAL,MINOILINT,2044,916.0671920099996
GLOBAL,MINOILINT,2045,917.0358606484334
GLOBAL,MINOILINT,2046,917.035860648432
GLOBAL,MINOILINT,2047,917.0358606484332
GLOBAL,MINOILINT,2048,917.0358606484334
GLOBAL,MINOILINT,2049,917.035860648432
GLOBAL,MINOILINT,2050,917.0358606484334
GLOBAL,MINPETINT,2037,48.25008
GLOBAL,MINPETINT,2038,96.50016
GLOBAL,MINPETINT,2039,144.75024000000002
GLOBAL,MINPETINT,2040,172.28400195277362
GLOBAL,MINPETINT,2041,172.28400195277362
GLOBAL,MINPETINT,2042,172.28400195277362
GLOBAL,MINPETINT,2043,172.28400195277362
GLOBAL,MINPETINT,2044,172.28400195277362
GLOBAL,MINPETINT,2045,172.28400195277362
GLOBAL,MINPETINT,2046,172.28400195277362
GLOBAL,MINPETINT,2047,172.28400195277362
GLOBAL,MINPETINT,2048,172.28400195277362
GLOBAL,MINPETINT,2049,172.28400195277362
GLOBAL,MINPETINT,2050,172.28400195277362
GLOBAL,MINURNINT,2023,523.6742016000001
GLOBAL,MINURNINT,2024,642.6910656000027
GLOBAL,MINURNINT,2025,1014.02368128
GLOBAL,MINURNINT,2026,1063.52069472
GLOBAL,MINURNINT,2027,1071.816870240007
GLOBAL,MINURNINT,2028,1080.5401062719989
GLOBAL,MINURNINT,2029,1216.17732528
GLOBAL,MINURNINT,2030,1248.9139638720003
GLOBAL,MINURNINT,2031,1280.929500288
GLOBAL,MINURNINT,2032,1321.983317376
GLOBAL,MINURNINT,2033,1363.0371344640002
GLOBAL,MINURNINT,2034,1404.0909515520004
GLOBAL,MINURNINT,2035,1445.1447686400004
GLOBAL,MINURNINT,2036,1486.1985857280004
GLOBAL,MINURNINT,2037,1530.7248948480003
GLOBAL,MINURNINT,2038,1575.2512039680005
GLOBAL,MINURNINT,2039,1619.777513088001
GLOBAL,MINURNINT,2040,1663.40069424
GLOBAL,MINURNINT,2041,1707.8919984
GLOBAL,MINURNINT,2042,1757.7810673920003
GLOBAL,MINURNINT,2043,1809.644416128
GLOBAL,MINURNINT,2044,1863.419035680001
GLOBAL,MINURNINT,2045,1919.0769220800007
GLOBAL,MINURNINT,2046,1977.3181745280003
GLOBAL,MINURNINT,2047,2037.855752352001
GLOBAL,MINURNINT,2048,2100.78766944
GLOBAL,MINURNINT,2049,2166.2049386880003
GLOBAL,MINURNINT,2050,2234.1985729920007
GLOBAL,PWRBIOBGDXX,2024,0.0001
GLOBAL,PWRBIOBGDXX,2025,0.0001
GLOBAL,PWRBIOBGDXX,2026,0.0001
GLOBAL,PWRBIOBGDXX,2027,0.0001
GLOBAL,PWRBIOBGDXX,2028,0.0001
GLOBAL,PWRBIOBGDXX,2029,0.0001
GLOBAL,PWRBIOBGDXX,2030,0.0001
GLOBAL,PWRBIOBGDXX,2031,0.0001
GLOBAL,PWRBIOBGDXX,2032,0.0001
GLOBAL,PWRBIOBGDXX,2033,0.0001
GLOBAL,PWRBIOBGDXX,2034,0.0001
GLOBAL,PWRBIOBGDXX,2035,0.0001
GLOBAL,PWRBIOBGDXX,2036,0.0001
GLOBAL,PWRBIOBGDXX,2037,0.0001
GLOBAL,PWRBIOBGDXX,2038,0.0001
GLOBAL,PWRBIOBGDXX,2039,0.0001
GLOBAL,PWRBIOBGDXX,2040,0.0001
GLOBAL,PWRBIOBGDXX,2041,0.0001
GLOBAL,PWRBIOBGDXX,2042,0.0001
GLOBAL,PWRBIOBGDXX,2043,0.0001
GLOBAL,PWRBIOBGDXX,2044,0.0001
GLOBAL,PWRBIOBGDXX,2045,0.0001
GLOBAL,PWRBIOBGDXX,2046,0.0001
GLOBAL,PWRBIOBGDXX,2047,0.0002
GLOBAL,PWRBIOBGDXX,2048,0.0002
GLOBAL,PWRBIOBGDXX,2049,0.0002
GLOBAL,PWRBIOBGDXX,2050,0.0002
GLOBAL,PWRBIOINDEA,2024,0.0340999999999999
GLOBAL,PWRBIOINDEA,2025,0.0386999999999999
GLOBAL,PWRBIOINDEA,2026,0.0396
GLOBAL,PWRBIOINDEA,2027,0.0422999999999999
GLOBAL,PWRBIOINDEA,2028,0.0439
GLOBAL,PWRBIOINDEA,2029,0.0529
GLOBAL,PWRBIOINDEA,2030,0.0369999999999999
GLOBAL,PWRBIOINDEA,2031,0.0359
GLOBAL,PWRBIOINDEA,2032,0.0492999999999999
GLOBAL,PWRBIOINDEA,2033,0.0492999999999999
GLOBAL,PWRBIOINDEA,2034,0.0492999999999999
GLOBAL,PWRBIOINDEA,2035,0.0492999999999999
GLOBAL,PWRBIOINDEA,2036,0.0492999999999999
GLOBAL,PWRBIOINDEA,2037,0.0557
GLOBAL,PWRBIOINDEA,2038,0.0557
GLOBAL,PWRBIOINDEA,2039,0.0557
GLOBAL,PWRBIOINDEA,2040,0.0557
GLOBAL,PWRBIOINDEA,2041,0.0557
GLOBAL,PWRBIOINDEA,2042,0.0635
GLOBAL,PWRBIOINDEA,2043,0.0664
GLOBAL,PWRBIOINDEA,2044,0.0695
GLOBAL,PWRBIOINDEA,2045,0.0725999999999999
GLOBAL,PWRBIOINDEA,2046,0.0758999999999999
GLOBAL,PWRBIOINDEA,2047,0.0793999999999999
GLOBAL,PWRBIOINDEA,2048,0.083
GLOBAL,PWRBIOINDEA,2049,0.0868
GLOBAL,PWRBIOINDEA,2050,0.0907
GLOBAL,PWRBIOINDNE,2024,0.0008999999999999
GLOBAL,PWRBIOINDNE,2025,0.001
GLOBAL,PWRBIOINDNE,2026,0.0011
GLOBAL,PWRBIOINDNE,2027,0.0011
GLOBAL,PWRBIOINDNE,2028,0.0011
GLOBAL,PWRBIOINDNE,2029,0.0012999999999999
GLOBAL,PWRBIOINDNE,2030,0.0011999999999999
GLOBAL,PWRBIOINDNE,2031,0.0011999999999999
GLOBAL,PWRBIOINDNE,2032,0.0014
GLOBAL,PWRBIOINDNE,2033,0.0014
GLOBAL,PWRBIOINDNE,2034,0.0014
GLOBAL,PWRBIOINDNE,2035,0.0014
GLOBAL,PWRBIOINDNE,2036,0.0014
GLOBAL,PWRBIOINDNE,2037,0.0016
GLOBAL,PWRBIOINDNE,2038,0.0016
GLOBAL,PWRBIOINDNE,2039,0.0016
GLOBAL,PWRBIOINDNE,2040,0.0016
GLOBAL,PWRBIOINDNE,2041,0.0016
GLOBAL,PWRBIOINDNE,2042,0.0019
GLOBAL,PWRBIOINDNE,2043,0.002
GLOBAL,PWRBIOINDNE,2044,0.002
GLOBAL,PWRBIOINDNE,2045,0.0020999999999999
GLOBAL,PWRBIOINDNE,2046,0.0022
GLOBAL,PWRBIOINDNE,2047,0.0023
GLOBAL,PWRBIOINDNE,2048,0.0025
GLOBAL,PWRBIOINDNE,2049,0.0025999999999999
GLOBAL,PWRBIOINDNE,2050,0.0027
GLOBAL,PWRBIOINDNO,2024,0.1890999999999999
GLOBAL,PWRBIOINDNO,2025,0.1998999999999999
GLOBAL,PWRBIOINDNO,2026,0.2147
GLOBAL,PWRBIOINDNO,2027,0.2278999999999999
GLOBAL,PWRBIOINDNO,2028,0.2396
GLOBAL,PWRBIOINDNO,2029,0.2801
GLOBAL,PWRBIOINDNO,2030,0.2131
GLOBAL,PWRBIOINDNO,2031,0.2149
GLOBAL,PWRBIOINDNO,2032,0.2526999999999999
GLOBAL,PWRBIOINDNO,2033,0.2526999999999999
