REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,2023,0.427323572676
GLOBAL,DSPTRNBGDXX,2024,0.4563025436969999
GLOBAL,DSPTRNBGDXX,2025,0.487246512753
GLOBAL,DSPTRNBGDXX,2026,0.52028947971
GLOBAL,DSPTRNBGDXX,2027,0.5555724444269999
GLOBAL,DSPTRNBGDXX,2028,0.5932749032981998
GLOBAL,DSPTRNBGDXX,2029,0.6335466072562796
GLOBAL,DSPTRNBGDXX,2030,0.6767970237936
GLOBAL,DSPTRNBGDXX,2031,0.7194298800142109
GLOBAL,DSPTRNBGDXX,2032,0.7631408690478529
GLOBAL,DSPTRNBGDXX,2033,0.8064960166562543
GLOBAL,DSPTRNBGDXX,2034,0.8516330454908444
GLOBAL,DSPTRNBGDXX,2035,0.8927100720006165
GLOBAL,DSPTRNBGDXX,2036,0.9412244575280788
GLOBAL,DSPTRNBGDXX,2037,0.9870532097919654
GLOBAL,DSPTRNBGDXX,2038,1.041596908578708
GLOBAL,DSPTRNBGDXX,2039,1.102565989037269
GLOBAL,DSPTRNBGDXX,2040,1.160325554233135
GLOBAL,DSPTRNBGDXX,2041,1.2212015469924322
GLOBAL,DSPTRNBGDXX,2042,1.272349047513931
GLOBAL,DSPTRNBGDXX,2043,1.32568262807911
GLOBAL,DSPTRNBGDXX,2044,1.3812933528521294
GLOBAL,DSPTRNBGDXX,2045,1.4394043572707624
GLOBAL,DSPTRNBGDXX,2046,1.4996332341472995
GLOBAL,DSPTRNBGDXX,2047,1.5631985787121467
GLOBAL,DSPTRNBGDXX,2048,1.630884358964545
GLOBAL,DSPTRNBGDXX,2049,1.6999344047449243
GLOBAL,DSPTRNBGDXX,2050,1.7679468183309122
GLOBAL,DSPTRNBTNXX,2023,0.0365509574332456
GLOBAL,DSPTRNBTNXX,2024,0.0391613438245853
GLOBAL,DSPTRNBTNXX,2025,0.0538066625062557
GLOBAL,DSPTRNBTNXX,2026,0.0567900434583172
GLOBAL,DSPTRNBTNXX,2027,0.0652846893748866
GLOBAL,DSPTRNBTNXX,2028,0.0749420110987124
GLOBAL,DSPTRNBTNXX,2029,0.0784676181001976
GLOBAL,DSPTRNBTNXX,2030,0.1394402951402876
GLOBAL,DSPTRNBTNXX,2031,0.1434624332483383
GLOBAL,DSPTRNBTNXX,2032,0.1474867460615172
GLOBAL,DSPTRNBTNXX,2033,0.1519733529600231
GLOBAL,DSPTRNBTNXX,2034,0.1567746696477477
GLOBAL,DSPTRNBTNXX,2035,0.1963037721876212
GLOBAL,DSPTRNBTNXX,2036,0.2016127307191102
GLOBAL,DSPTRNBTNXX,2037,0.2079274849246179
GLOBAL,DSPTRNBTNXX,2038,0.2124835577257432
GLOBAL,DSPTRNBTNXX,2039,0.2192165462924955
GLOBAL,DSPTRNBTNXX,2040,0.2264186855635462
GLOBAL,DSPTRNBTNXX,2041,0.2341256074272991
GLOBAL,DSPTRNBTNXX,2042,0.2423716155040656
GLOBAL,DSPTRNBTNXX,2043,0.2511948396809765
GLOBAL,DSPTRNBTNXX,2044,0.2606475148867757
GLOBAL,DSPTRNBTNXX,2045,0.2708190022339783
GLOBAL,DSPTRNBTNXX,2046,0.2816990853540636
GLOBAL,DSPTRNBTNXX,2047,0.2934962210385759
GLOBAL,DSPTRNBTNXX,2048,0.3061465959387521
GLOBAL,DSPTRNBTNXX,2049,0.3196805423912687
GLOBAL,DSPTRNBTNXX,2050,0.3342568676292472
GLOBAL,DSPTRNINDEA,2023,0.9909201890571419
GLOBAL,DSPTRNINDEA,2024,1.0433669750374857
GLOBAL,DSPTRNINDEA,2025,1.0426201631513032
GLOBAL,DSPTRNINDEA,2026,1.1110236023063318
GLOBAL,DSPTRNINDEA,2027,1.197919262498652
GLOBAL,DSPTRNINDEA,2028,1.3042368987779305
GLOBAL,DSPTRNINDEA,2029,1.3979511200423953
GLOBAL,DSPTRNINDEA,2030,1.4825160284394658
GLOBAL,DSPTRNINDEA,2031,1.5130151038968056
GLOBAL,DSPTRNINDEA,2032,1.5714060256371014
GLOBAL,DSPTRNINDEA,2033,1.6565322009051644
GLOBAL,DSPTRNINDEA,2034,1.7525832734461488
GLOBAL,DSPTRNINDEA,2035,1.9206229465248383
GLOBAL,DSPTRNINDEA,2036,1.944024131482473
GLOBAL,DSPTRNINDEA,2037,2.0465342876075754
GLOBAL,DSPTRNINDEA,2038,2.1617280333572038
GLOBAL,DSPTRNINDEA,2039,2.282839412620107
GLOBAL,DSPTRNINDEA,2040,2.400681576845619
GLOBAL,DSPTRNINDEA,2041,2.520235592434555
GLOBAL,DSPTRNINDEA,2042,2.6445000948935204
GLOBAL,DSPTRNINDEA,2043,2.773976477127955
GLOBAL,DSPTRNINDEA,2044,2.90920735459461
GLOBAL,DSPTRNINDEA,2045,3.0742481077020134
GLOBAL,DSPTRNINDEA,2046,3.222625991186276
GLOBAL,DSPTRNINDEA,2047,3.373041810642764
GLOBAL,DSPTRNINDEA,2048,3.526467836870171
GLOBAL,DSPTRNINDEA,2049,3.6933304008017154
GLOBAL,DSPTRNINDEA,2050,3.863699553409583
GLOBAL,DSPTRNINDNE,2023,0.07704674058496
