REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2023,427.32357267599997
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2024,456.302543697
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2025,487.246512753
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2026,520.28947971
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2027,555.572444427
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2028,593.2749032982
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2029,633.54660725628
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2030,676.7970237936
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2031,722.0361751794945
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2032,759.2152034373343
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2033,818.0487088512291
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2034,857.3766054364991
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2035,896.1498676912526
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2036,943.2317087253596
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2037,992.7538828992504
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2038,1047.470334079284
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2039,1104.4582740471844
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2040,1161.56659907609
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2041,1222.5123641515793
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2042,1273.7799789665744
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2043,1327.3354060624272
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2044,1382.992505416123
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2045,1441.0198114796171
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2046,1501.6221344476007
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2047,1564.7108731705946
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2048,1630.3993429547909
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2049,1698.7343583825068
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2050,1770.010983518251
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2023,36.550957433245685
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2024,39.16134382458537
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2025,53.80666250625577
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2026,56.79004345831728
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2027,65.2846893748867
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2028,74.94201109871238
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2029,78.46761810019768
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2030,139.50126049990982
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2031,143.29365823980297
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2032,147.48674606151727
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2033,151.9733529600232
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2034,156.7746696477478
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2035,195.4748703282342
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2036,200.31205163751736
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2037,206.19008376150427
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2038,212.48256511276935
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2039,219.21505737303485
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2040,226.4167003375987
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2041,234.12312589486467
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2042,242.36863766514415
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2043,251.19111738232473
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2044,260.62911091434023
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2045,270.81454492346137
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2046,281.6946280435468
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2047,293.49183167181224
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2048,306.1422065719883
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2049,319.676153024505
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2050,334.25259522963484
GLOBAL,DSPTRNINDEA,ELCINDEA03,2023,992.1659992067882
GLOBAL,DSPTRNINDEA,ELCINDEA03,2024,1046.3522241472783
GLOBAL,DSPTRNINDEA,ELCINDEA03,2025,1046.2667592584687
GLOBAL,DSPTRNINDEA,ELCINDEA03,2026,1107.9052234100072
GLOBAL,DSPTRNINDEA,ELCINDEA03,2027,1196.2269015960924
GLOBAL,DSPTRNINDEA,ELCINDEA03,2028,1302.7469315155527
GLOBAL,DSPTRNINDEA,ELCINDEA03,2029,1384.61732500458
GLOBAL,DSPTRNINDEA,ELCINDEA03,2030,1475.7498099901256
GLOBAL,DSPTRNINDEA,ELCINDEA03,2031,1502.7227221504631
GLOBAL,DSPTRNINDEA,ELCINDEA03,2032,1557.9920960152172
GLOBAL,DSPTRNINDEA,ELCINDEA03,2033,1641.1648332012144
GLOBAL,DSPTRNINDEA,ELCINDEA03,2034,1718.6497885752267
GLOBAL,DSPTRNINDEA,ELCINDEA03,2035,1833.9823917753602
GLOBAL,DSPTRNINDEA,ELCINDEA03,2036,1916.5240870014213
GLOBAL,DSPTRNINDEA,ELCINDEA03,2037,2028.812048995032
GLOBAL,DSPTRNINDEA,ELCINDEA03,2038,2147.259532325501
GLOBAL,DSPTRNINDEA,ELCINDEA03,2039,2265.322580553034
GLOBAL,DSPTRNINDEA,ELCINDEA03,2040,2382.867929238746
GLOBAL,DSPTRNINDEA,ELCINDEA03,2041,2502.9244366554112
GLOBAL,DSPTRNINDEA,ELCINDEA03,2042,2627.7017055431015
GLOBAL,DSPTRNINDEA,ELCINDEA03,2043,2757.2882150572527
GLOBAL,DSPTRNINDEA,ELCINDEA03,2044,2893.4247109199014
GLOBAL,DSPTRNINDEA,ELCINDEA03,2045,3035.4984445201835
GLOBAL,DSPTRNINDEA,ELCINDEA03,2046,3182.734825185521
GLOBAL,DSPTRNINDEA,ELCINDEA03,2047,3335.19581853719
GLOBAL,DSPTRNINDEA,ELCINDEA03,2048,3489.816997256506
GLOBAL,DSPTRNINDEA,ELCINDEA03,2049,3655.9141585791954
GLOBAL,DSPTRNINDEA,ELCINDEA03,2050,3816.236893089721
GLOBAL,DSPTRNINDNE,ELCINDNE03,2023,77.04674058496
GLOBAL,DSPTRNINDNE,ELCINDNE03,2024,80.8212068336864
GLOBAL,DSPTRNINDNE,ELCINDNE03,2025,84.81654459904
GLOBAL,DSPTRNINDNE,ELCINDNE03,2026,90.21617839616
GLOBAL,DSPTRNINDNE,ELCINDNE03,2027,95.80644342642029
GLOBAL,DSPTRNINDNE,ELCINDNE03,2028,101.05947395351721
GLOBAL,DSPTRNINDNE,ELCINDNE03,2029,106.84129720134052
GLOBAL,DSPTRNINDNE,ELCINDNE03,2030,112.34074058496
GLOBAL,DSPTRNINDNE,ELCINDNE03,2031,122.36494813740076
GLOBAL,DSPTRNINDNE,ELCINDNE03,2032,150.0565511006008
GLOBAL,DSPTRNINDNE,ELCINDNE03,2033,155.70347112594092
GLOBAL,DSPTRNINDNE,ELCINDNE03,2034,161.46714927664365
GLOBAL,DSPTRNINDNE,ELCINDNE03,2035,165.75329226233774
GLOBAL,DSPTRNINDNE,ELCINDNE03,2036,173.89022128909315
GLOBAL,DSPTRNINDNE,ELCINDNE03,2037,179.91686816728875
GLOBAL,DSPTRNINDNE,ELCINDNE03,2038,187.47913238463
GLOBAL,DSPTRNINDNE,ELCINDNE03,2039,194.72728097020186
GLOBAL,DSPTRNINDNE,ELCINDNE03,2040,201.80998878809044
GLOBAL,DSPTRNINDNE,ELCINDNE03,2041,209.18804443756633
GLOBAL,DSPTRNINDNE,ELCINDNE03,2042,217.55134125329067
GLOBAL,DSPTRNINDNE,ELCINDNE03,2043,226.3008365776514
GLOBAL,DSPTRNINDNE,ELCINDNE03,2044,235.00731704444175
GLOBAL,DSPTRNINDNE,ELCINDNE03,2045,244.11951651568603
GLOBAL,DSPTRNINDNE,ELCINDNE03,2046,253.65855427201112
GLOBAL,DSPTRNINDNE,ELCINDNE03,2047,263.63862615815856
GLOBAL,DSPTRNINDNE,ELCINDNE03,2048,274.0855148343932
GLOBAL,DSPTRNINDNE,ELCINDNE03,2049,284.9986089898984
GLOBAL,DSPTRNINDNE,ELCINDNE03,2050,295.9727723862807
GLOBAL,DSPTRNINDNO,ELCINDNO03,2023,1798.379906989317
GLOBAL,DSPTRNINDNO,ELCINDNO03,2024,1902.2180977799999
GLOBAL,DSPTRNINDNO,ELCINDNO03,2025,2013.1779868200001
GLOBAL,DSPTRNINDNO,ELCINDNO03,2026,2132.3178676800003
GLOBAL,DSPTRNINDNO,ELCINDNO03,2027,2260.780580444621
GLOBAL,DSPTRNINDNO,ELCINDNO03,2028,2393.310918266744
GLOBAL,DSPTRNINDNO,ELCINDNO03,2029,2549.7031410617196
GLOBAL,DSPTRNINDNO,ELCINDNO03,2030,2667.6316051478752
GLOBAL,DSPTRNINDNO,ELCINDNO03,2031,2787.516566806819
GLOBAL,DSPTRNINDNO,ELCINDNO03,2032,2929.5473362393122
GLOBAL,DSPTRNINDNO,ELCINDNO03,2033,3069.0796416562894
GLOBAL,DSPTRNINDNO,ELCINDNO03,2034,3214.1047092755302
GLOBAL,DSPTRNINDNO,ELCINDNO03,2035,3348.632614960343
GLOBAL,DSPTRNINDNO,ELCINDNO03,2036,3495.3670198322307
GLOBAL,DSPTRNINDNO,ELCINDNO03,2037,3673.6600847902696
GLOBAL,DSPTRNINDNO,ELCINDNO03,2038,3828.1309805298465
GLOBAL,DSPTRNINDNO,ELCINDNO03,2039,3983.222691308094
GLOBAL,DSPTRNINDNO,ELCINDNO03,2040,4137.135065675886
GLOBAL,DSPTRNINDNO,ELCINDNO03,2041,4292.208274166651
GLOBAL,DSPTRNINDNO,ELCINDNO03,2042,4466.504333673603
GLOBAL,DSPTRNINDNO,ELCINDNO03,2043,4648.325619896527
GLOBAL,DSPTRNINDNO,ELCINDNO03,2044,4836.679397372696
GLOBAL,DSPTRNINDNO,ELCINDNO03,2045,5032.037977771116
GLOBAL,DSPTRNINDNO,ELCINDNO03,2046,5236.378278976985
