REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,1,2023,100.18530188711628
GLOBAL,S1D2,DSPTRNBGDXX,1,2023,143.94485125733945
GLOBAL,S1D3,DSPTRNBGDXX,1,2023,181.3036324228448
GLOBAL,S1D4,DSPTRNBGDXX,1,2023,186.26703492754928
GLOBAL,S1D5,DSPTRNBGDXX,1,2023,107.80830651067096
GLOBAL,S2D1,DSPTRNBGDXX,1,2023,176.78444626806413
GLOBAL,S2D2,DSPTRNBGDXX,1,2023,154.13076299660423
GLOBAL,S2D3,DSPTRNBGDXX,1,2023,387.6514813502743
GLOBAL,S2D4,DSPTRNBGDXX,1,2023,475.0265724768
GLOBAL,S2D5,DSPTRNBGDXX,1,2023,380.6198117058991
GLOBAL,S3D1,DSPTRNBGDXX,1,2023,212.2767425209086
GLOBAL,S3D2,DSPTRNBGDXX,1,2023,169.6437617231344
GLOBAL,S3D3,DSPTRNBGDXX,1,2023,186.89156342036048
GLOBAL,S3D4,DSPTRNBGDXX,1,2023,235.8874137350968
GLOBAL,S3D5,DSPTRNBGDXX,1,2023,187.37737970048775
GLOBAL,S4D1,DSPTRNBGDXX,1,2023,136.33857687107843
GLOBAL,S4D2,DSPTRNBGDXX,1,2023,123.91722622612384
GLOBAL,S4D3,DSPTRNBGDXX,1,2023,174.1915845923694
GLOBAL,S4D4,DSPTRNBGDXX,1,2023,180.12340834950163
GLOBAL,S4D5,DSPTRNBGDXX,1,2023,125.01650061632148
GLOBAL,S1D1,DSPTRNBGDXX,2,2023,262.5451442876939
GLOBAL,S1D2,DSPTRNBGDXX,2,2023,262.32565066277664
GLOBAL,S1D3,DSPTRNBGDXX,2,2023,268.46659287077665
GLOBAL,S1D4,DSPTRNBGDXX,2,2023,268.46659287077665
GLOBAL,S1D5,DSPTRNBGDXX,2,2023,262.32565066277664
GLOBAL,S2D1,DSPTRNBGDXX,2,2023,262.32565066277664
GLOBAL,S2D2,DSPTRNBGDXX,2,2023,262.3256506627768
GLOBAL,S2D3,DSPTRNBGDXX,2,2023,61.38660517018152
GLOBAL,S2D4,DSPTRNBGDXX,2,2023,3.6658207629048434
GLOBAL,S2D5,DSPTRNBGDXX,2,2023,39.90931964377955
GLOBAL,S3D1,DSPTRNBGDXX,2,2023,268.46659287077665
GLOBAL,S3D2,DSPTRNBGDXX,2,2023,263.5240186627765
GLOBAL,S3D3,DSPTRNBGDXX,2,2023,268.46659287077665
GLOBAL,S3D4,DSPTRNBGDXX,2,2023,268.46659287077665
GLOBAL,S3D5,DSPTRNBGDXX,2,2023,268.46659287077665
