REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2023,99.82332374957048
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2024,124.64140205426196
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2025,298.29976131168
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2026,177.75787024269883
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2027,188.7110682045792
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2028,181.10987552544256
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2029,225.02394053268375
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2030,281.3692206612675
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2031,187.45942029641327
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2032,211.42050219175923
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2033,218.40966461571944
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2034,208.8948928809084
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2035,230.73639985428397
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2036,227.4965163507068
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2037,226.14541377112425
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2038,225.1525535354658
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2039,225.11743127457703
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2040,225.077961642144
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2041,224.54416933567492
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2042,225.2415646802488
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2043,227.12239934949787
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2044,228.0590323391725
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2045,229.19872235001725
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2046,231.96920448245876
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2047,233.85559092606104
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2048,235.68901071056257
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2049,238.2574137011408
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2050,220.6953989670465
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2023,262.90712242523966
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2024,262.68762880032244
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2025,115.29582823474787
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2026,263.88599680032246
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2027,282.8824818246207
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2028,322.464635765194
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2029,312.7011714976842
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2030,292.8212835240547
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2031,417.47443389864213
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2032,425.902606139952
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2033,453.0368815201576
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2034,498.5017984759148
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2035,514.5356097816904
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2036,557.678694472731
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2037,601.0686840486148
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2038,646.3532572490388
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2039,693.0492097610468
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2040,742.2535927670442
