REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D1,99.82332374957048
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D2,143.58287311979365
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D3,180.94165428529897
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D4,185.90505679000356
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D5,107.4463283731252
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D1,176.42246813051833
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D2,153.76878485905857
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D3,401.5636925807864
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D4,474.15120249600005
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D5,379.744441725099
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D1,211.9147643833628
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D2,169.28178358558858
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D3,186.52958528281465
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D4,235.52543559755105
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D5,187.01540156294203
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D1,135.97659873353263
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D2,123.55524808857804
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D3,173.8296064548236
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D4,179.76143021195588
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D5,124.65452247877572
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D1,124.64140205426196
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D2,171.13412901729305
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D3,218.73671336448
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D4,218.75350628448
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D5,144.0137287242112
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D1,218.049396336
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D2,195.889454400004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D3,446.3216462718309
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D4,474.2932772217601
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D5,426.79337636503374
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D1,244.51639948065576
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D2,199.8554478661702
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D3,222.95842191648
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D4,269.728229630724
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D5,222.620437044
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D1,164.29167011545263
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D2,151.0279649096961
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D3,222.28094853504
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D4,222.33377259648
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D5,152.2017866516773
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D1,298.29976131168
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D2,203.25397004496
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D3,298.37471639184
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D4,298.3646646072
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D5,298.36491437232
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D1,297.63528517728
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D2,346.36208227488
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D3,432.77806366860176
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D4,474.44483482272
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D5,420.2022893589968
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D1,285.469619422554
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D2,285.22122013139966
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D3,304.36723883088
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D4,306.2502372418391
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D5,257.0786565087887
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D1,302.16660156288
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D2,179.08391749331452
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D3,236.4081733059485
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D4,302.19150428064
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D5,302.20379480592
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D1,177.75787024269883
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D2,230.77023464003008
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D3,298.52158364352
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D4,298.52689714416
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D5,298.52309074896004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D1,297.75761205984
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D2,272.17668943608334
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D3,414.6062012261475
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D4,474.60587529888
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D5,416.3066187578349
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D1,316.5023487877572
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D2,263.5191207614939
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D3,304.86296835216
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D4,345.2496134535144
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D5,303.01161215184004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D1,302.5780271568
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D2,347.24141033904004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D3,302.62086029808
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D4,276.27865531427506
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D5,302.61772278144
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D1,188.7110682045792
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D2,245.3184185770994
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D3,298.67884453008
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D4,303.38378268647614
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D5,199.5348979526813
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D1,297.88884597024
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D2,302.5033086732644
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D3,411.4686949235248
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D4,474.77875438944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D5,414.998564439538
