REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2032,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2033,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2037,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2038,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2041,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2043,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2044,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2045,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2047,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2049,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2029,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2031,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2032,1.0443222638283421e-07
GLOBAL,LDSINDEA01,2,1,2037,1.0443222637969163e-07
GLOBAL,LDSINDEA01,2,1,2038,4.143170103234108e-07
GLOBAL,LDSINDEA01,2,1,2042,1.0443222638517449e-07
GLOBAL,LDSINDEA01,3,1,2029,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2031,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2032,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2034,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2038,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2039,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2042,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2045,0.0184287706612817
GLOBAL,LDSINDEA01,3,1,2046,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2047,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2048,0.0194399999999999
GLOBAL,LDSINDEA01,3,1,2049,3.124408990393927e-07
GLOBAL,LDSINDEA01,3,1,2050,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2030,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2031,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2033,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2035,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2043,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,2046,0.0194399999999999
GLOBAL,LDSINDNO01,1,1,2030,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2033,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2047,1.4400000000026784e-07
GLOBAL,LDSINDNO01,2,1,2029,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2030,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2031,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2039,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,2040,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2041,1.9339325765555845e-07
GLOBAL,LDSINDNO01,2,1,2042,1.933930118204089e-07
GLOBAL,LDSINDNO01,2,1,2043,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2044,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2045,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,2046,6.455812696926076e-09
