REGION,YEAR,VALUE
GLOBAL,2023,131548.70369003
GLOBAL,2024,141254.50306811047
GLOBAL,2025,172841.63696087527
GLOBAL,2026,144466.4829900145
GLOBAL,2027,114501.11669613425
GLOBAL,2028,112903.62344152408
GLOBAL,2029,114313.4653579107
GLOBAL,2030,97160.4725466794
GLOBAL,2031,84357.49656395012
GLOBAL,2032,88185.66031886378
GLOBAL,2033,85266.38484487537
GLOBAL,2034,80846.35320299711
GLOBAL,2035,81439.97160181969
GLOBAL,2036,68481.70382734506
GLOBAL,2037,67480.40815964663
GLOBAL,2038,63653.99770507758
GLOBAL,2039,60038.41304227356
GLOBAL,2040,56670.26843186469
GLOBAL,2041,53296.8546565724
GLOBAL,2042,50486.98521442568
GLOBAL,2043,47381.21349991694
GLOBAL,2044,44514.405347613414
GLOBAL,2045,41857.20166808354
GLOBAL,2046,39179.49266414423
GLOBAL,2047,36688.07184205524
GLOBAL,2048,34288.41134991623
GLOBAL,2049,32154.743553620003
GLOBAL,2050,30185.371660014163
