REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,2023,427.323572676
GLOBAL,DSPTRNBGDXX,2024,456.302543697
GLOBAL,DSPTRNBGDXX,2025,487.246512753
GLOBAL,DSPTRNBGDXX,2026,520.28947971
GLOBAL,DSPTRNBGDXX,2027,555.572444427
GLOBAL,DSPTRNBGDXX,2028,593.2749032982
GLOBAL,DSPTRNBGDXX,2029,633.5466072562799
GLOBAL,DSPTRNBGDXX,2030,676.7970237936
GLOBAL,DSPTRNBGDXX,2031,719.4298800142109
GLOBAL,DSPTRNBGDXX,2032,763.1408690478531
GLOBAL,DSPTRNBGDXX,2033,806.4960166562543
GLOBAL,DSPTRNBGDXX,2034,851.6330454908444
GLOBAL,DSPTRNBGDXX,2035,892.7100720006164
GLOBAL,DSPTRNBGDXX,2036,941.2244575280786
GLOBAL,DSPTRNBGDXX,2037,987.0532097919655
GLOBAL,DSPTRNBGDXX,2038,1041.5969085787083
GLOBAL,DSPTRNBGDXX,2039,1102.5659890372688
GLOBAL,DSPTRNBGDXX,2040,1160.3255542331349
GLOBAL,DSPTRNBGDXX,2041,1221.2015469924324
GLOBAL,DSPTRNBGDXX,2042,1272.349047513931
GLOBAL,DSPTRNBGDXX,2043,1325.68262807911
GLOBAL,DSPTRNBGDXX,2044,1381.2933528521294
GLOBAL,DSPTRNBGDXX,2045,1439.4043572707626
GLOBAL,DSPTRNBGDXX,2046,1499.6332341472994
GLOBAL,DSPTRNBGDXX,2047,1563.1985787121466
GLOBAL,DSPTRNBGDXX,2048,1630.8843589645453
GLOBAL,DSPTRNBGDXX,2049,1699.9344047449244
GLOBAL,DSPTRNBGDXX,2050,1767.946818330912
GLOBAL,DSPTRNBTNXX,2023,36.55095743324568
GLOBAL,DSPTRNBTNXX,2024,39.161343824585366
GLOBAL,DSPTRNBTNXX,2025,53.806662506255805
GLOBAL,DSPTRNBTNXX,2026,56.79004345831731
GLOBAL,DSPTRNBTNXX,2027,65.28468937488671
GLOBAL,DSPTRNBTNXX,2028,74.94201109871246
GLOBAL,DSPTRNBTNXX,2029,78.46761810019768
GLOBAL,DSPTRNBTNXX,2030,139.44029514028762
GLOBAL,DSPTRNBTNXX,2031,143.46243324833833
GLOBAL,DSPTRNBTNXX,2032,147.48674606151724
GLOBAL,DSPTRNBTNXX,2033,151.97335296002316
GLOBAL,DSPTRNBTNXX,2034,156.77466964774777
GLOBAL,DSPTRNBTNXX,2035,196.30377218762115
GLOBAL,DSPTRNBTNXX,2036,201.61273071911026
GLOBAL,DSPTRNBTNXX,2037,207.92748492461794
GLOBAL,DSPTRNBTNXX,2038,212.4835577257432
GLOBAL,DSPTRNBTNXX,2039,219.21654629249554
GLOBAL,DSPTRNBTNXX,2040,226.41868556354626
GLOBAL,DSPTRNBTNXX,2041,234.1256074272992
GLOBAL,DSPTRNBTNXX,2042,242.3716155040656
GLOBAL,DSPTRNBTNXX,2043,251.19483968097651
GLOBAL,DSPTRNBTNXX,2044,260.64751488677587
GLOBAL,DSPTRNBTNXX,2045,270.81900223397827
GLOBAL,DSPTRNBTNXX,2046,281.6990853540637
GLOBAL,DSPTRNBTNXX,2047,293.49622103857604
GLOBAL,DSPTRNBTNXX,2048,306.14659593875206
GLOBAL,DSPTRNBTNXX,2049,319.68054239126883
GLOBAL,DSPTRNBTNXX,2050,334.25686762924727
GLOBAL,DSPTRNINDEA,2023,990.9201890571417
GLOBAL,DSPTRNINDEA,2024,1043.3669750374859
GLOBAL,DSPTRNINDEA,2025,1042.6201631513034
GLOBAL,DSPTRNINDEA,2026,1111.0236023063317
GLOBAL,DSPTRNINDEA,2027,1197.919262498652
GLOBAL,DSPTRNINDEA,2028,1304.2368987779298
GLOBAL,DSPTRNINDEA,2029,1397.9511200423951
GLOBAL,DSPTRNINDEA,2030,1482.5160284394658
GLOBAL,DSPTRNINDEA,2031,1513.0151038968054
GLOBAL,DSPTRNINDEA,2032,1571.4060256371015
GLOBAL,DSPTRNINDEA,2033,1656.532200905164
GLOBAL,DSPTRNINDEA,2034,1752.583273446149
GLOBAL,DSPTRNINDEA,2035,1920.622946524839
GLOBAL,DSPTRNINDEA,2036,1944.0241314824734
GLOBAL,DSPTRNINDEA,2037,2046.5342876075758
GLOBAL,DSPTRNINDEA,2038,2161.7280333572035
GLOBAL,DSPTRNINDEA,2039,2282.8394126201088
GLOBAL,DSPTRNINDEA,2040,2400.6815768456195
GLOBAL,DSPTRNINDEA,2041,2520.235592434555
GLOBAL,DSPTRNINDEA,2042,2644.5000948935203
GLOBAL,DSPTRNINDEA,2043,2773.976477127955
GLOBAL,DSPTRNINDEA,2044,2909.20735459461
GLOBAL,DSPTRNINDEA,2045,3074.248107702014
GLOBAL,DSPTRNINDEA,2046,3222.625991186277
GLOBAL,DSPTRNINDEA,2047,3373.0418106427637
GLOBAL,DSPTRNINDEA,2048,3526.4678368701725
GLOBAL,DSPTRNINDEA,2049,3693.3304008017158
GLOBAL,DSPTRNINDEA,2050,3863.699553409583
GLOBAL,DSPTRNINDNE,2023,77.04674058496
GLOBAL,DSPTRNINDNE,2024,80.79827679733849
GLOBAL,DSPTRNINDNE,2025,84.81654459904
GLOBAL,DSPTRNINDNE,2026,90.21617839616
GLOBAL,DSPTRNINDNE,2027,95.82101573532205
GLOBAL,DSPTRNINDNE,2028,101.07399213272534
GLOBAL,DSPTRNINDNE,2029,106.85576125085502
GLOBAL,DSPTRNINDNE,2030,112.28986530324023
GLOBAL,DSPTRNINDNE,2031,117.77581727661158
GLOBAL,DSPTRNINDNE,2032,146.02207329318347
GLOBAL,DSPTRNINDNE,2033,151.95340340866218
GLOBAL,DSPTRNINDNE,2034,157.89838974283327
GLOBAL,DSPTRNINDNE,2035,156.67448546175135
GLOBAL,DSPTRNINDNE,2036,166.77461065610035
GLOBAL,DSPTRNINDNE,2037,174.20449515759043
GLOBAL,DSPTRNINDNE,2038,184.77312883740032
GLOBAL,DSPTRNINDNE,2039,191.10794109824823
GLOBAL,DSPTRNINDNE,2040,198.16870858462576
GLOBAL,DSPTRNINDNE,2041,205.26579669307858
GLOBAL,DSPTRNINDNE,2042,213.34934131169086
GLOBAL,DSPTRNINDNE,2043,221.6945369783134
GLOBAL,DSPTRNINDNE,2044,230.5038896951957
GLOBAL,DSPTRNINDNE,2045,228.28269435612359
GLOBAL,DSPTRNINDNE,2046,237.66200321416633
GLOBAL,DSPTRNINDNE,2047,247.20712770507006
GLOBAL,DSPTRNINDNE,2048,257.49285075958244
GLOBAL,DSPTRNINDNE,2049,268.2201145625272
GLOBAL,DSPTRNINDNE,2050,280.03299999999996
