REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2023,6.153508969218522
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2024,7.6833945882329235
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2025,18.3883904862972
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2026,10.957706153240926
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2027,11.63290508840308
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2028,11.16433716689038
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2029,13.871375790196756
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2030,17.344724238443174
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2031,11.5557485047521
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2032,13.032805437108806
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2033,13.463645365571407
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2034,12.877116776750716
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2035,14.22351463261748
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2036,14.02379525392297
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2037,13.940507886507183
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2038,13.879304010140254
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2039,13.877138933490025
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2040,13.874705867468325
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2041,13.841800774528345
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2042,13.884791013149258
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2043,14.000733185500446
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2044,14.058470989515948
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2045,14.128726040544462
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2046,14.299509641116687
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2047,14.415794047046106
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2048,14.528813376241919
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2049,14.687140010193122
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2050,13.604547173924614
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2023,16.206646654781473
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2024,16.193116189767075
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2025,7.107296035702798
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2026,16.266988386759078
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2027,17.438007709596917
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2028,19.878010007109616
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2029,19.276151015803244
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2030,18.050675201556828
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2031,25.734794003247895
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2032,26.2543402528912
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2033,27.927005524428594
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2034,30.72964486524929
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2035,31.71803312938252
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2036,34.37754544207703
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2037,37.05227795949281
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2038,39.84380018985975
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2039,42.722325486509966
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2040,45.75548047253167
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2041,48.98079482547164
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2042,51.61741904685074
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2043,54.29568527449954
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2044,57.15145915048404
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2045,60.118728399455534
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2046,63.1152375788833
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2047,66.30124703295388
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2048,69.63127850375807
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2049,73.06251546980687
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2050,77.88851034607539
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2023,0.927195216513984
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2024,0.9938100144729716
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2025,1.4511997920957926
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2026,1.5274844800810847
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2027,1.7686348239469536
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2028,1.252983498240017
