REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCOABGDXX,CO2BGD,2023,41.49647062829537
GLOBAL,PWRCOABGDXX,CO2BGD,2024,41.49647062829537
GLOBAL,PWRCOABGDXX,CO2BGD,2025,51.13492588596734
GLOBAL,PWRCOABGDXX,CO2BGD,2026,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2027,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2028,51.13492588596732
GLOBAL,PWRCOABGDXX,CO2BGD,2029,49.949103814871904
GLOBAL,PWRCOABGDXX,CO2BGD,2030,48.764011929780814
GLOBAL,PWRCOABGDXX,CO2BGD,2031,47.57818985868538
GLOBAL,PWRCOABGDXX,CO2BGD,2032,46.39236778758995
GLOBAL,PWRCOABGDXX,CO2BGD,2033,46.99477124119442
GLOBAL,PWRCOABGDXX,CO2BGD,2034,47.59352376477725
GLOBAL,PWRCOABGDXX,CO2BGD,2035,48.18278387030309
GLOBAL,PWRCOABGDXX,CO2BGD,2036,48.75671006973717
GLOBAL,PWRCOABGDXX,CO2BGD,2037,49.309460875044486
GLOBAL,PWRCOABGDXX,CO2BGD,2038,49.83227405417272
GLOBAL,PWRCOABGDXX,CO2BGD,2039,50.31711756107376
GLOBAL,PWRCOABGDXX,CO2BGD,2040,50.755959349699566
GLOBAL,PWRCOABGDXX,CO2BGD,2041,51.13930700199346
GLOBAL,PWRCOABGDXX,CO2BGD,2042,51.08235249365266
GLOBAL,PWRCOABGDXX,CO2BGD,2043,51.44014363579351
GLOBAL,PWRCOABGDXX,CO2BGD,2044,52.024292439288764
GLOBAL,PWRCOABGDXX,CO2BGD,2045,52.574852686583064
GLOBAL,PWRCOABGDXX,CO2BGD,2046,52.73111249151806
GLOBAL,PWRCOABGDXX,CO2BGD,2047,51.825681846100395
GLOBAL,PWRCOABGDXX,CO2BGD,2048,50.64058996100934
GLOBAL,PWRCOABGDXX,CO2BGD,2049,49.45476788991394
GLOBAL,PWRCOABGDXX,CO2BGD,2050,43.737710431897504
GLOBAL,PWRCOAINDEA,CO2IND,2023,222.43925211720605
GLOBAL,PWRCOAINDEA,CO2IND,2024,259.46702372753157
GLOBAL,PWRCOAINDEA,CO2IND,2025,254.60169378633208
GLOBAL,PWRCOAINDEA,CO2IND,2026,272.02192052009565
GLOBAL,PWRCOAINDEA,CO2IND,2027,291.04512214921726
GLOBAL,PWRCOAINDEA,CO2IND,2028,315.1437728899061
GLOBAL,PWRCOAINDEA,CO2IND,2029,335.03193284846174
GLOBAL,PWRCOAINDEA,CO2IND,2030,342.3692866301051
GLOBAL,PWRCOAINDEA,CO2IND,2031,344.40548423024705
GLOBAL,PWRCOAINDEA,CO2IND,2032,349.07974221701625
GLOBAL,PWRCOAINDEA,CO2IND,2033,352.5508279368697
GLOBAL,PWRCOAINDEA,CO2IND,2034,354.8202140608809
GLOBAL,PWRCOAINDEA,CO2IND,2035,406.82980202236075
GLOBAL,PWRCOAINDEA,CO2IND,2036,406.69357994807734
GLOBAL,PWRCOAINDEA,CO2IND,2037,407.97185843973296
GLOBAL,PWRCOAINDEA,CO2IND,2038,407.890125195163
GLOBAL,PWRCOAINDEA,CO2IND,2039,406.44985288543995
GLOBAL,PWRCOAINDEA,CO2IND,2040,403.6495688394913
GLOBAL,PWRCOAINDEA,CO2IND,2041,399.8905759248002
GLOBAL,PWRCOAINDEA,CO2IND,2042,400.5606412631682
GLOBAL,PWRCOAINDEA,CO2IND,2043,405.1833557623708
GLOBAL,PWRCOAINDEA,CO2IND,2044,413.44430414825047
GLOBAL,PWRCOAINDEA,CO2IND,2045,424.8258425385299
GLOBAL,PWRCOAINDEA,CO2IND,2046,439.9214573757632
GLOBAL,PWRCOAINDEA,CO2IND,2047,455.42942011353074
GLOBAL,PWRCOAINDEA,CO2IND,2048,454.72896054883904
GLOBAL,PWRCOAINDEA,CO2IND,2049,409.7837937156827
GLOBAL,PWRCOAINDEA,CO2IND,2050,396.85806104022237
GLOBAL,PWRCOAINDNE,CO2IND,2023,5.79853591704864
GLOBAL,PWRCOAINDNE,CO2IND,2024,6.137943552726553
GLOBAL,PWRCOAINDNE,CO2IND,2025,6.498999055828116
GLOBAL,PWRCOAINDNE,CO2IND,2026,4.9252596779376185
GLOBAL,PWRCOAINDNE,CO2IND,2027,5.489292830111856
GLOBAL,PWRCOAINDNE,CO2IND,2028,5.782892641367386
GLOBAL,PWRCOAINDNE,CO2IND,2029,5.6003686645770205
GLOBAL,PWRCOAINDNE,CO2IND,2030,5.01449995507499
GLOBAL,PWRCOAINDNE,CO2IND,2031,5.8930042522608845
GLOBAL,PWRCOAINDNE,CO2IND,2032,6.623311115147907
GLOBAL,PWRCOAINDNE,CO2IND,2033,8.441895157100545
GLOBAL,PWRCOAINDNE,CO2IND,2034,8.582606295354253
GLOBAL,PWRCOAINDNE,CO2IND,2035,6.552415923416677
GLOBAL,PWRCOAINDNE,CO2IND,2036,8.81918656076985
GLOBAL,PWRCOAINDNE,CO2IND,2037,8.989276947669946
GLOBAL,PWRCOAINDNE,CO2IND,2038,9.141585157757756
GLOBAL,PWRCOAINDNE,CO2IND,2039,9.275338052910993
GLOBAL,PWRCOAINDNE,CO2IND,2040,9.3905356331297
GLOBAL,PWRCOAINDNE,CO2IND,2041,9.48640476029157
GLOBAL,PWRCOAINDNE,CO2IND,2042,9.632527865401203
GLOBAL,PWRCOAINDNE,CO2IND,2043,9.781743522999928
GLOBAL,PWRCOAINDNE,CO2IND,2044,9.933278594965461
GLOBAL,PWRCOAINDNE,CO2IND,2045,10.087906219420097
GLOBAL,PWRCOAINDNE,CO2IND,2046,10.315208827368382
GLOBAL,PWRCOAINDNE,CO2IND,2047,9.838361411792437
GLOBAL,PWRCOAINDNE,CO2IND,2048,7.908407799268949
GLOBAL,PWRCOAINDNE,CO2IND,2049,8.79830431658095
GLOBAL,PWRCOAINDNE,CO2IND,2050,9.24246650150891
GLOBAL,PWRCOAINDNO,CO2IND,2023,325.54813782748937
GLOBAL,PWRCOAINDNO,CO2IND,2024,341.20322878381256
GLOBAL,PWRCOAINDNO,CO2IND,2025,341.0884499562655
GLOBAL,PWRCOAINDNO,CO2IND,2026,324.85116069179054
GLOBAL,PWRCOAINDNO,CO2IND,2027,324.9403796644559
GLOBAL,PWRCOAINDNO,CO2IND,2028,333.89032771895444
GLOBAL,PWRCOAINDNO,CO2IND,2029,342.00170065733244
GLOBAL,PWRCOAINDNO,CO2IND,2030,344.6021550692535
GLOBAL,PWRCOAINDNO,CO2IND,2031,356.45543132506623
GLOBAL,PWRCOAINDNO,CO2IND,2032,369.52879845830506
GLOBAL,PWRCOAINDNO,CO2IND,2033,381.7183689621529
GLOBAL,PWRCOAINDNO,CO2IND,2034,388.72023266936475
GLOBAL,PWRCOAINDNO,CO2IND,2035,387.67259051057954
GLOBAL,PWRCOAINDNO,CO2IND,2036,400.37165525567724
GLOBAL,PWRCOAINDNO,CO2IND,2037,407.13248583059783
GLOBAL,PWRCOAINDNO,CO2IND,2038,413.0407732894466
GLOBAL,PWRCOAINDNO,CO2IND,2039,418.096517632224
GLOBAL,PWRCOAINDNO,CO2IND,2040,420.95320660754254
GLOBAL,PWRCOAINDNO,CO2IND,2041,424.2525335881511
GLOBAL,PWRCOAINDNO,CO2IND,2042,429.66685191168426
GLOBAL,PWRCOAINDNO,CO2IND,2043,435.21879717803927
GLOBAL,PWRCOAINDNO,CO2IND,2044,440.42630312263043
GLOBAL,PWRCOAINDNO,CO2IND,2045,444.9888222595127
GLOBAL,PWRCOAINDNO,CO2IND,2046,446.8335606140119
GLOBAL,PWRCOAINDNO,CO2IND,2047,407.8915370165857
GLOBAL,PWRCOAINDNO,CO2IND,2048,382.0776476509319
GLOBAL,PWRCOAINDNO,CO2IND,2049,376.37336636162496
GLOBAL,PWRCOAINDNO,CO2IND,2050,372.22746656470696
GLOBAL,PWRCOAINDSO,CO2IND,2023,193.25052121529578
GLOBAL,PWRCOAINDSO,CO2IND,2024,201.94131692840543
GLOBAL,PWRCOAINDSO,CO2IND,2025,184.25176173312212
GLOBAL,PWRCOAINDSO,CO2IND,2026,197.67966987131857
GLOBAL,PWRCOAINDSO,CO2IND,2027,210.90732213897599
GLOBAL,PWRCOAINDSO,CO2IND,2028,218.1946182454318
GLOBAL,PWRCOAINDSO,CO2IND,2029,221.03466397097733
GLOBAL,PWRCOAINDSO,CO2IND,2030,221.84852735655286
GLOBAL,PWRCOAINDSO,CO2IND,2031,221.32259212990158
GLOBAL,PWRCOAINDSO,CO2IND,2032,215.49951620956568
GLOBAL,PWRCOAINDSO,CO2IND,2033,215.5690449780238
GLOBAL,PWRCOAINDSO,CO2IND,2034,219.9517982169765
GLOBAL,PWRCOAINDSO,CO2IND,2035,197.52589346186522
GLOBAL,PWRCOAINDSO,CO2IND,2036,192.78749781423767
GLOBAL,PWRCOAINDSO,CO2IND,2037,196.35548759492028
GLOBAL,PWRCOAINDSO,CO2IND,2038,202.89659852912186
GLOBAL,PWRCOAINDSO,CO2IND,2039,215.16958954166086
GLOBAL,PWRCOAINDSO,CO2IND,2040,211.29892482809672
GLOBAL,PWRCOAINDSO,CO2IND,2041,205.79252004848365
GLOBAL,PWRCOAINDSO,CO2IND,2042,198.16616854196613
GLOBAL,PWRCOAINDSO,CO2IND,2043,216.01262401016726
GLOBAL,PWRCOAINDSO,CO2IND,2044,220.94492970054083
GLOBAL,PWRCOAINDSO,CO2IND,2045,212.92796082496415
GLOBAL,PWRCOAINDSO,CO2IND,2046,204.20096240822542
GLOBAL,PWRCOAINDSO,CO2IND,2047,198.73792600811305
GLOBAL,PWRCOAINDSO,CO2IND,2048,192.13127915717374
GLOBAL,PWRCOAINDSO,CO2IND,2049,186.85374391678093
GLOBAL,PWRCOAINDSO,CO2IND,2050,180.69805414259227
GLOBAL,PWRCOAINDWE,CO2IND,2023,355.78861411759146
GLOBAL,PWRCOAINDWE,CO2IND,2024,375.00824848536115
GLOBAL,PWRCOAINDWE,CO2IND,2025,397.5322873285127
GLOBAL,PWRCOAINDWE,CO2IND,2026,409.5571493996338
GLOBAL,PWRCOAINDWE,CO2IND,2027,435.74180133796176
GLOBAL,PWRCOAINDWE,CO2IND,2028,457.03116859476154
GLOBAL,PWRCOAINDWE,CO2IND,2029,486.598209871391
GLOBAL,PWRCOAINDWE,CO2IND,2030,498.23853134484665
GLOBAL,PWRCOAINDWE,CO2IND,2031,518.6255136256905
GLOBAL,PWRCOAINDWE,CO2IND,2032,537.313031309275
GLOBAL,PWRCOAINDWE,CO2IND,2033,556.0660514646717
GLOBAL,PWRCOAINDWE,CO2IND,2034,576.2116861279835
GLOBAL,PWRCOAINDWE,CO2IND,2035,586.6589236053213
GLOBAL,PWRCOAINDWE,CO2IND,2036,605.0607108236997
GLOBAL,PWRCOAINDWE,CO2IND,2037,620.2606603899128
GLOBAL,PWRCOAINDWE,CO2IND,2038,634.6245610598178
GLOBAL,PWRCOAINDWE,CO2IND,2039,643.6564640149523
GLOBAL,PWRCOAINDWE,CO2IND,2040,675.5335899207566
