REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,93659.00190798154
GLOBAL,MINCOAINT,2024,99244.4123804161
GLOBAL,MINCOAINT,2025,99097.19606726652
GLOBAL,MINCOAINT,2026,100209.56184573258
GLOBAL,MINCOAINT,2027,104080.2884098583
GLOBAL,MINCOAINT,2028,110091.02883733023
GLOBAL,MINCOAINT,2029,117462.66323555939
GLOBAL,MINCOAINT,2030,122104.4539425262
GLOBAL,MINCOAINT,2031,128613.9731167125
GLOBAL,MINCOAINT,2032,136106.9945069717
GLOBAL,MINCOAINT,2033,144453.24638121645
GLOBAL,MINCOAINT,2034,152634.17984324237
GLOBAL,MINCOAINT,2035,159394.43737828478
GLOBAL,MINCOAINT,2036,167183.6534732052
GLOBAL,MINCOAINT,2037,175105.7686054693
GLOBAL,MINCOAINT,2038,183005.6152020897
GLOBAL,MINCOAINT,2039,189693.9449191055
GLOBAL,MINCOAINT,2040,195758.97262177573
GLOBAL,MINCOAINT,2041,201422.15440714938
GLOBAL,MINCOAINT,2042,207629.81616664384
GLOBAL,MINCOAINT,2043,208696.5238412813
GLOBAL,MINCOAINT,2044,209023.5367851526
GLOBAL,MINCOAINT,2045,209061.9814349026
GLOBAL,MINCOAINT,2046,209063.06418296104
GLOBAL,MINCOAINT,2047,208918.82618309805
GLOBAL,MINCOAINT,2048,208618.3719811607
GLOBAL,MINCOAINT,2049,208198.65361688982
GLOBAL,MINCOAINT,2050,207683.13149359022
GLOBAL,MINGASINT,2023,3171.966026934009
GLOBAL,MINGASINT,2024,685.2666401802832
GLOBAL,MINGASINT,2025,475.64819889050847
GLOBAL,MINGASINT,2026,380.7975310451024
GLOBAL,MINGASINT,2027,303.05095349416234
GLOBAL,MINGASINT,2028,286.4679808872809
GLOBAL,MINGASINT,2029,348.4652380465368
GLOBAL,MINGASINT,2030,343.3440609094618
GLOBAL,MINGASINT,2031,365.3104619473857
GLOBAL,MINGASINT,2032,345.02651937126524
GLOBAL,MINGASINT,2033,306.6221608300145
GLOBAL,MINGASINT,2034,531.5135698411148
GLOBAL,MINGASINT,2035,724.0809696535277
GLOBAL,MINGASINT,2036,1800.2671516764797
GLOBAL,MINGASINT,2037,3710.2185704672474
GLOBAL,MINGASINT,2038,5996.590010046662
GLOBAL,MINGASINT,2039,9848.651124342809
GLOBAL,MINGASINT,2040,14001.738576304691
GLOBAL,MINGASINT,2041,18030.686708946585
GLOBAL,MINGASINT,2042,21950.185949667917
GLOBAL,MINGASINT,2043,31862.20469299358
GLOBAL,MINGASINT,2044,41325.89489963419
GLOBAL,MINGASINT,2045,52317.22065693875
GLOBAL,MINGASINT,2046,62656.279121012885
GLOBAL,MINGASINT,2047,62746.72212614845
GLOBAL,MINGASINT,2048,62829.42033734672
GLOBAL,MINGASINT,2049,62894.93277561472
GLOBAL,MINGASINT,2050,62941.33331925105
GLOBAL,MINOILINT,2023,154.56124836669994
GLOBAL,MINOILINT,2024,133.21554137797898
GLOBAL,MINOILINT,2025,24.820005959303494
GLOBAL,MINOILINT,2026,6.707596068406258
GLOBAL,MINOILINT,2027,4.180554036056286
GLOBAL,MINOILINT,2028,1.8028287952346038
GLOBAL,MINOILINT,2029,0.9102908051234738
GLOBAL,MINOILINT,2030,0.4834311523282721
GLOBAL,MINOILINT,2031,0.30519613716217986
GLOBAL,MINOILINT,2032,0.2782660314169716
GLOBAL,MINOILINT,2033,0.41040006121679784
GLOBAL,MINOILINT,2034,5.86216771260938
GLOBAL,MINOILINT,2035,8.075031634346917
GLOBAL,MINOILINT,2036,16.4689671048942
GLOBAL,MINOILINT,2037,52.91584229513991
GLOBAL,MINOILINT,2038,57.0146025961108
GLOBAL,MINOILINT,2039,217.54910663432426
GLOBAL,MINOILINT,2040,1030.9615683298052
GLOBAL,MINOILINT,2041,2837.3760096458227
GLOBAL,MINOILINT,2042,5842.715690805944
GLOBAL,MINOILINT,2043,8205.347472202431
GLOBAL,MINOILINT,2044,12695.82522808334
GLOBAL,MINOILINT,2045,17976.5215695754
GLOBAL,MINOILINT,2046,23089.884374441237
GLOBAL,MINOILINT,2047,42447.840881830765
GLOBAL,MINOILINT,2048,54577.41327865803
GLOBAL,MINOILINT,2049,62503.14283446952
GLOBAL,MINOILINT,2050,68524.41648489243
GLOBAL,MINPETINT,2038,0.12408124615900881
GLOBAL,MINPETINT,2039,116.71500752875714
GLOBAL,MINPETINT,2040,1248.1984576967022
GLOBAL,MINPETINT,2041,2813.4701634058133
GLOBAL,MINPETINT,2042,3967.322329359134
GLOBAL,MINPETINT,2043,6641.076046495995
GLOBAL,MINPETINT,2044,11428.921415082072
GLOBAL,MINPETINT,2045,16336.663056501075
GLOBAL,MINPETINT,2046,24159.82614971924
GLOBAL,MINPETINT,2047,35316.71820204384
GLOBAL,MINPETINT,2048,50254.77796902929
GLOBAL,MINPETINT,2049,68697.53738781405
GLOBAL,MINPETINT,2050,95674.94189203272
GLOBAL,MINURNINT,2023,1290.9294987178337
GLOBAL,MINURNINT,2024,1614.1533440186317
GLOBAL,MINURNINT,2025,2519.5569050038916
GLOBAL,MINURNINT,2026,2721.666006852646
GLOBAL,MINURNINT,2027,2826.693278632851
GLOBAL,MINURNINT,2028,2938.502844987536
GLOBAL,MINURNINT,2029,3254.4037780303784
GLOBAL,MINURNINT,2030,3331.2042537916645
GLOBAL,MINURNINT,2031,3406.9398765400456
GLOBAL,MINURNINT,2032,3494.454411846526
GLOBAL,MINURNINT,2033,3580.805800015837
GLOBAL,MINURNINT,2034,3665.748305737309
GLOBAL,MINURNINT,2035,3749.2983113649866
GLOBAL,MINURNINT,2036,3831.701552209537
GLOBAL,MINURNINT,2037,3920.674117025992
GLOBAL,MINURNINT,2038,4007.238475797881
GLOBAL,MINURNINT,2039,4091.8697167925056
GLOBAL,MINURNINT,2040,4173.683192891452
GLOBAL,MINURNINT,2041,4255.300080741861
GLOBAL,MINURNINT,2042,4343.158645483279
GLOBAL,MINURNINT,2043,4431.62335732435
GLOBAL,MINURNINT,2044,4520.0880691654165
GLOBAL,MINURNINT,2045,4608.192369217504
GLOBAL,MINURNINT,2046,4698.033198798326
GLOBAL,MINURNINT,2047,4788.250822522175
GLOBAL,MINURNINT,2048,4878.8124756809575
GLOBAL,MINURNINT,2049,4969.61986415041
GLOBAL,MINURNINT,2050,5060.623840868398
GLOBAL,PWRBCKINDNO,2049,40066631.50036308
GLOBAL,PWRBCKINDNO,2050,154340087.3362465
GLOBAL,PWRBCKINDSO,2050,47046659.924445175
GLOBAL,PWRBCKINDWE,2048,117404716.70478089
GLOBAL,PWRBCKINDWE,2049,286807367.41772515
GLOBAL,PWRBCKINDWE,2050,370728921.8762603
GLOBAL,PWRLDSBGDXX,2049,-1.5378668649645988e-16
GLOBAL,PWRLDSINDEA,2030,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2031,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2032,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2033,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2034,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2035,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2036,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2037,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2038,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2039,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2040,7.888909722843435e-05
GLOBAL,PWRLDSINDEA,2041,0.00015606349613927443
GLOBAL,PWRLDSINDEA,2042,0.00015606344001243427
GLOBAL,PWRLDSINDEA,2043,0.00015606512138031136
GLOBAL,PWRLDSINDEA,2044,7.717439891083552e-05
GLOBAL,PWRLDSINDEA,2045,0.00015606512138031136
GLOBAL,PWRLDSINDEA,2046,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2047,7.889077859632901e-05
GLOBAL,PWRLDSINDEA,2048,0.00013119623524443432
GLOBAL,PWRLDSINDEA,2049,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2050,5.230713801599996e-05
GLOBAL,PWRLDSINDNO,2030,0.00024295637865365252
GLOBAL,PWRLDSINDNO,2031,0.00024295637865365258
GLOBAL,PWRLDSINDNO,2032,0.00020564383603720033
GLOBAL,PWRLDSINDNO,2033,0.0002056438360371261
GLOBAL,PWRLDSINDNO,2034,0.0002393652543860013
GLOBAL,PWRLDSINDNO,2035,0.00023936429693069923
GLOBAL,PWRLDSINDNO,2036,0.00020564383603731916
GLOBAL,PWRLDSINDNO,2037,0.00020564301346598948
GLOBAL,PWRLDSINDNO,2038,0.00020564383603770357
GLOBAL,PWRLDSINDNO,2039,0.00017687543953207716
GLOBAL,PWRLDSINDNO,2040,0.0003154483350776956
GLOBAL,PWRLDSINDNO,2041,0.0003154483347862306
GLOBAL,PWRLDSINDNO,2042,0.0003197908891331607
GLOBAL,PWRLDSINDNO,2043,0.00031979088913214137
GLOBAL,PWRLDSINDNO,2044,0.0003858718282536525
GLOBAL,PWRLDSINDNO,2045,0.0005229786910673735
GLOBAL,PWRLDSINDNO,2046,0.0002530341218821988
GLOBAL,PWRLDSINDNO,2047,0.00025303291053039597
GLOBAL,PWRLDSINDNO,2049,0.00024295599119339688
GLOBAL,PWRLDSINDSO,2030,0.000384221059488
