REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,16.314105504693572
GLOBAL,MINCOAINT,2024,16.04375304745605
GLOBAL,MINCOAINT,2025,15.193530699593783
GLOBAL,MINCOAINT,2026,14.61381556493907
GLOBAL,MINCOAINT,2027,14.10042193186579
GLOBAL,MINCOAINT,2028,13.602387407551632
GLOBAL,MINCOAINT,2029,13.163358364292245
GLOBAL,MINCOAINT,2030,12.527332848528618
GLOBAL,MINCOAINT,2031,11.923407978903548
GLOBAL,MINCOAINT,2032,11.441569087605055
GLOBAL,MINCOAINT,2033,10.983049702708522
GLOBAL,MINCOAINT,2034,10.448552350924631
GLOBAL,MINCOAINT,2035,9.864399130933599
GLOBAL,MINCOAINT,2036,9.009366363094319
GLOBAL,MINCOAINT,2037,8.248232782098343
GLOBAL,MINCOAINT,2038,7.537374872996651
GLOBAL,MINCOAINT,2039,6.873873022023753
GLOBAL,MINCOAINT,2040,6.251305377552721
GLOBAL,MINCOAINT,2041,5.678107241016415
GLOBAL,MINCOAINT,2042,5.172415920447169
GLOBAL,MINCOAINT,2043,4.709935415622733
GLOBAL,MINCOAINT,2044,4.2860840163025555
GLOBAL,MINCOAINT,2045,3.8971381843318293
GLOBAL,MINCOAINT,2046,3.5428522538645226
GLOBAL,MINCOAINT,2047,3.218533597569889
GLOBAL,MINCOAINT,2048,2.9217139545120787
GLOBAL,MINCOAINT,2049,2.650743874797591
GLOBAL,MINCOAINT,2050,2.4037861794588062
GLOBAL,MINGASINT,2023,1.0685632560322853
GLOBAL,MINGASINT,2024,0.5944849330040752
GLOBAL,MINGASINT,2025,0.4339300623193742
GLOBAL,MINGASINT,2026,0.3384819079519663
GLOBAL,MINGASINT,2027,0.266336367393321
GLOBAL,MINGASINT,2028,0.22248697047175534
GLOBAL,MINGASINT,2029,0.20901980408667076
GLOBAL,MINGASINT,2030,0.2081442653039622
GLOBAL,MINGASINT,2031,0.19834003095079733
GLOBAL,MINGASINT,2032,0.18073344506646752
GLOBAL,MINGASINT,2033,0.16569300509779739
GLOBAL,MINGASINT,2034,0.1971281229205721
GLOBAL,MINGASINT,2035,0.252384581795758
GLOBAL,MINGASINT,2036,0.5438953106256029
GLOBAL,MINGASINT,2037,0.7833585601930246
GLOBAL,MINGASINT,2038,1.0330226480264286
GLOBAL,MINGASINT,2039,1.175985196286985
GLOBAL,MINGASINT,2040,1.0837094331792498
GLOBAL,MINGASINT,2041,0.9916423233751751
GLOBAL,MINGASINT,2042,0.9051224297140671
GLOBAL,MINGASINT,2043,0.8256769907122322
GLOBAL,MINGASINT,2044,0.7537369162886306
GLOBAL,MINGASINT,2045,0.6863747242957793
GLOBAL,MINGASINT,2046,0.6250330413331883
GLOBAL,MINGASINT,2047,0.5690493303809026
GLOBAL,MINGASINT,2048,0.5179471994887032
