REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,90106.55598134374
GLOBAL,MINCOAINT,2024,87678.6956495629
GLOBAL,MINCOAINT,2025,80346.73680021992
GLOBAL,MINCOAINT,2026,74517.97532635437
GLOBAL,MINCOAINT,2027,70818.79140537056
GLOBAL,MINCOAINT,2028,67362.23778609997
GLOBAL,MINCOAINT,2029,63831.66126355709
GLOBAL,MINCOAINT,2030,58841.62040726354
GLOBAL,MINCOAINT,2031,54704.418488675045
GLOBAL,MINCOAINT,2032,50731.82484857304
GLOBAL,MINCOAINT,2033,47238.00500814071
GLOBAL,MINCOAINT,2034,43882.10742489809
GLOBAL,MINCOAINT,2035,40832.90665675911
GLOBAL,MINCOAINT,2036,37781.66635478156
GLOBAL,MINCOAINT,2037,34914.764393494515
GLOBAL,MINCOAINT,2038,32253.777127932037
GLOBAL,MINCOAINT,2039,29756.112827808454
GLOBAL,MINCOAINT,2040,27493.062223879544
GLOBAL,MINCOAINT,2041,25206.52050674308
GLOBAL,MINCOAINT,2042,23003.567067924898
GLOBAL,MINCOAINT,2043,21052.54023878997
GLOBAL,MINCOAINT,2044,19157.542339164436
GLOBAL,MINCOAINT,2045,17367.55904536432
GLOBAL,MINCOAINT,2046,15740.172817523346
GLOBAL,MINCOAINT,2047,14049.633825824803
GLOBAL,MINCOAINT,2048,12376.24174832301
GLOBAL,MINCOAINT,2049,10851.492927805388
GLOBAL,MINCOAINT,2050,9641.220992159202
GLOBAL,MINGASINT,2023,3367.640732782896
GLOBAL,MINGASINT,2024,670.1584432996722
GLOBAL,MINGASINT,2025,505.9611084827617
GLOBAL,MINGASINT,2026,480.4113604966662
GLOBAL,MINGASINT,2027,435.68078171658084
GLOBAL,MINGASINT,2028,377.85306562299803
GLOBAL,MINGASINT,2029,562.5283203037798
GLOBAL,MINGASINT,2030,1114.9937974924221
GLOBAL,MINGASINT,2031,1710.6653856093533
GLOBAL,MINGASINT,2032,2088.1601790237737
GLOBAL,MINGASINT,2033,2358.959668411763
GLOBAL,MINGASINT,2034,2614.2526177546897
GLOBAL,MINGASINT,2035,2292.4050741241326
GLOBAL,MINGASINT,2036,2483.9905148411626
GLOBAL,MINGASINT,2037,2515.3760853204867
GLOBAL,MINGASINT,2038,2385.2516365339275
GLOBAL,MINGASINT,2039,2268.462156976127
GLOBAL,MINGASINT,2040,2176.708187605743
GLOBAL,MINGASINT,2041,2220.4630623034213
GLOBAL,MINGASINT,2042,2131.28607705231
GLOBAL,MINGASINT,2043,1929.2066452357838
GLOBAL,MINGASINT,2044,1795.1116542465086
GLOBAL,MINGASINT,2045,1679.0727823233203
GLOBAL,MINGASINT,2046,1462.1121655129402
GLOBAL,MINGASINT,2047,1347.2448708713055
GLOBAL,MINGASINT,2048,1281.7380055291133
GLOBAL,MINGASINT,2049,1245.8357586932532
GLOBAL,MINGASINT,2050,1193.3125932024464
GLOBAL,MINOILINT,2023,192.32730907720006
GLOBAL,MINOILINT,2024,294.32436817852914
GLOBAL,MINOILINT,2025,85.67687217210556
GLOBAL,MINOILINT,2026,12.831837179407271
GLOBAL,MINOILINT,2027,2.7238198142942984
GLOBAL,MINOILINT,2028,1.0680803991259267
GLOBAL,MINOILINT,2029,0.49039281465516904
GLOBAL,MINOILINT,2030,0.23681271121206332
GLOBAL,MINOILINT,2031,0.13592712551080835
GLOBAL,MINOILINT,2032,2.1894639324202227
GLOBAL,MINOILINT,2033,5.258211678684864
GLOBAL,MINOILINT,2034,7.118850232321826
GLOBAL,MINOILINT,2035,4.7246927138567605
