REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,89300.35446534194
GLOBAL,MINCOAINT,2024,86023.48581489894
GLOBAL,MINCOAINT,2025,78087.16458617689
GLOBAL,MINCOAINT,2026,71785.17528519794
GLOBAL,MINCOAINT,2027,67779.97491748615
GLOBAL,MINCOAINT,2028,65176.66913459215
GLOBAL,MINCOAINT,2029,63218.966227106735
GLOBAL,MINCOAINT,2030,59742.909227029486
GLOBAL,MINCOAINT,2031,57207.15243938207
GLOBAL,MINCOAINT,2032,55036.38943831547
GLOBAL,MINCOAINT,2033,53101.17270249564
GLOBAL,MINCOAINT,2034,51007.72078795724
GLOBAL,MINCOAINT,2035,48424.43883738631
GLOBAL,MINCOAINT,2036,46173.47514746827
GLOBAL,MINCOAINT,2037,43964.943434218316
GLOBAL,MINCOAINT,2038,41771.28114978043
GLOBAL,MINCOAINT,2039,39361.72865951213
GLOBAL,MINCOAINT,2040,36927.48129476358
GLOBAL,MINCOAINT,2041,34541.60881249483
GLOBAL,MINCOAINT,2042,32369.22927979323
GLOBAL,MINCOAINT,2043,29577.752432121455
GLOBAL,MINCOAINT,2044,26930.99883079977
GLOBAL,MINCOAINT,2045,24487.229194737938
GLOBAL,MINCOAINT,2046,22261.23274179875
GLOBAL,MINCOAINT,2047,20223.521948361238
GLOBAL,MINCOAINT,2048,18358.579748510598
GLOBAL,MINCOAINT,2049,16656.040185897535
GLOBAL,MINCOAINT,2050,15104.361863478096
GLOBAL,MINGASINT,2023,3024.350941039554
GLOBAL,MINGASINT,2024,593.9782773362912
GLOBAL,MINGASINT,2025,374.8039365984683
GLOBAL,MINGASINT,2026,272.7845228614516
GLOBAL,MINGASINT,2027,197.35519895627996
GLOBAL,MINGASINT,2028,169.59627868982096
GLOBAL,MINGASINT,2029,187.5456550070432
GLOBAL,MINGASINT,2030,167.9903754715508
GLOBAL,MINGASINT,2031,162.48911978919014
GLOBAL,MINGASINT,2032,139.5153419958207
GLOBAL,MINGASINT,2033,112.7146445271179
GLOBAL,MINGASINT,2034,177.6227041237402
GLOBAL,MINGASINT,2035,219.97765546289693
GLOBAL,MINGASINT,2036,497.2052521872896
GLOBAL,MINGASINT,2037,931.5486912752912
GLOBAL,MINGASINT,2038,1368.7298445625156
GLOBAL,MINGASINT,2039,2043.607313791156
GLOBAL,MINGASINT,2040,2641.252824562208
GLOBAL,MINGASINT,2041,3092.0577170580423
GLOBAL,MINGASINT,2042,3422.0066022147826
GLOBAL,MINGASINT,2043,4515.707233665615
GLOBAL,MINGASINT,2044,5324.508638315499
GLOBAL,MINGASINT,2045,6127.865833210069
GLOBAL,MINGASINT,2046,6671.699841858782
GLOBAL,MINGASINT,2047,6073.936635053468
GLOBAL,MINGASINT,2048,5529.038084527074
GLOBAL,MINGASINT,2049,5031.639300260005
GLOBAL,MINGASINT,2050,4577.592160647386
GLOBAL,MINOILINT,2023,147.3683680647448
GLOBAL,MINOILINT,2024,115.46912273636468
GLOBAL,MINOILINT,2025,19.557807559544244
GLOBAL,MINOILINT,2026,4.804990169042963
GLOBAL,MINOILINT,2027,2.7224929142130567
GLOBAL,MINOILINT,2028,1.0673201725359647
GLOBAL,MINOILINT,2029,0.4899228578747679
GLOBAL,MINOILINT,2030,0.23653177683969334
GLOBAL,MINOILINT,2031,0.13575042835123063
GLOBAL,MINOILINT,2032,0.1125199900857007
GLOBAL,MINOILINT,2033,0.15086351517691968
GLOBAL,MINOILINT,2034,1.9590357428726055
GLOBAL,MINOILINT,2035,2.45321531867124
GLOBAL,MINOILINT,2036,4.548467673271539
GLOBAL,MINOILINT,2037,13.285924454730834
GLOBAL,MINOILINT,2038,13.013660766939957
GLOBAL,MINOILINT,2039,45.14170923648226
GLOBAL,MINOILINT,2040,194.4780028227636
GLOBAL,MINOILINT,2041,486.5777176677087
GLOBAL,MINOILINT,2042,910.8720862159406
GLOBAL,MINOILINT,2043,1162.912211881943
GLOBAL,MINOILINT,2044,1635.754803656338
GLOBAL,MINOILINT,2045,2105.5727147377597
GLOBAL,MINOILINT,2046,2458.632719507185
GLOBAL,MINOILINT,2047,4108.987482927471
GLOBAL,MINOILINT,2048,4802.855015253149
GLOBAL,MINOILINT,2049,5000.295826655451
GLOBAL,MINOILINT,2050,4983.638178161056
GLOBAL,MINPETINT,2038,0.028321713587856543
GLOBAL,MINPETINT,2039,24.2185087077977
GLOBAL,MINPETINT,2040,235.45702442872582
GLOBAL,MINPETINT,2041,482.47813690617585
GLOBAL,MINPETINT,2042,618.5006011024923
GLOBAL,MINPETINT,2043,941.2140632277071
GLOBAL,MINPETINT,2044,1472.5244534697822
GLOBAL,MINPETINT,2045,1913.497661296746
GLOBAL,MINPETINT,2046,2572.5611313609043
GLOBAL,MINPETINT,2047,3418.68867804746
GLOBAL,MINPETINT,2048,4422.459730303301
GLOBAL,MINPETINT,2049,5495.851791189514
GLOBAL,MINPETINT,2050,6958.239377515851
GLOBAL,MINURNINT,2023,1230.8529823810202
GLOBAL,MINURNINT,2024,1399.1225698431233
GLOBAL,MINURNINT,2025,1985.3745871046456
GLOBAL,MINURNINT,2026,1949.6669556389445
GLOBAL,MINURNINT,2027,1840.8211819195342
GLOBAL,MINURNINT,2028,1739.6678884870967
GLOBAL,MINURNINT,2029,1751.535652823403
GLOBAL,MINURNINT,2030,1629.8818505395832
GLOBAL,MINURNINT,2031,1515.3977763533521
GLOBAL,MINURNINT,2032,1413.021825817878
GLOBAL,MINURNINT,2033,1316.3081617351868
GLOBAL,MINURNINT,2034,1225.0301095731556
GLOBAL,MINURNINT,2035,1139.0464419465634
GLOBAL,MINURNINT,2036,1058.2552343959776
GLOBAL,MINURNINT,2037,984.3891332182399
GLOBAL,MINURNINT,2038,914.6576449139443
GLOBAL,MINURNINT,2039,849.0680373121361
GLOBAL,MINURNINT,2040,787.3131227223446
GLOBAL,MINURNINT,2041,729.7355705552213
