REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,1,2042,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,1,2045,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2041,0.0194400034861391
GLOBAL,LDSINDEA01,1,1,2,2043,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2044,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2041,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2042,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2043,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2044,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2045,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,4,2031,4.235316722719118e-07
GLOBAL,LDSINDEA01,1,1,4,2039,4.235316722719118e-07
GLOBAL,LDSINDEA01,1,1,4,2041,-3.486139136345071e-09
GLOBAL,LDSINDEA01,1,1,5,2038,4.235316722719118e-07
GLOBAL,LDSINDEA01,2,1,1,2032,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2030,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2031,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2033,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2034,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2035,0.0194404143258406
GLOBAL,LDSINDEA01,2,1,2,2036,0.0194404143258406
GLOBAL,LDSINDEA01,2,1,2,2037,0.01944
GLOBAL,LDSINDEA01,2,1,2,2038,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2039,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2040,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2041,0.01944
GLOBAL,LDSINDEA01,2,1,2,2042,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2043,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2045,0.01944
GLOBAL,LDSINDEA01,2,1,2,2046,0.01944
GLOBAL,LDSINDEA01,2,1,2,2047,0.01944
GLOBAL,LDSINDEA01,2,1,2,2048,0.01944
