REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2,2035,1.0443278739523389e-07
GLOBAL,LDSINDEA01,1,1,2,2041,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2042,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2043,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2044,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2045,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2046,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2047,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2048,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2049,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,2,2050,0.0047934409261388
GLOBAL,LDSINDEA01,1,1,3,2041,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2042,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2043,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2044,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2045,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2046,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2047,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2048,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2049,-0.0047934374399999
GLOBAL,LDSINDEA01,1,1,3,2050,-0.0047934374399999
GLOBAL,LDSINDEA01,2,1,1,2037,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,1,2045,-8.78702217427585e-10
GLOBAL,LDSINDEA01,2,1,1,2046,-8.787022154599715e-10
GLOBAL,LDSINDEA01,2,1,1,2047,-8.787022154599715e-10
GLOBAL,LDSINDEA01,2,1,1,2048,-8.787022154599715e-10
GLOBAL,LDSINDEA01,2,1,1,2049,-8.787022154599715e-10
GLOBAL,LDSINDEA01,2,1,1,2050,-8.78702215678595e-10
GLOBAL,LDSINDEA01,2,1,2,2030,0.0049000483600193
GLOBAL,LDSINDEA01,2,1,2,2031,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2032,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2033,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2034,0.0048999176045954
GLOBAL,LDSINDEA01,2,1,2,2035,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2036,0.0048999176044875
GLOBAL,LDSINDEA01,2,1,2,2037,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2038,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2039,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2040,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2041,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2042,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2043,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2044,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2045,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2046,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2047,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2048,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2049,0.0049000457525827
GLOBAL,LDSINDEA01,2,1,2,2050,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,3,2031,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,3,2036,2.632287719758217e-08
GLOBAL,LDSINDEA01,2,1,3,2044,-0.0014251611860834
GLOBAL,LDSINDEA01,2,1,4,2030,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2031,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2032,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2033,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2034,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2035,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2036,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2037,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2038,-0.0048999439272319
GLOBAL,LDSINDEA01,2,1,4,2039,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2040,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2041,-0.0048999474133708
GLOBAL,LDSINDEA01,2,1,4,2042,-0.0048999474133708
GLOBAL,LDSINDEA01,2,1,4,2043,-0.0048999474133708
GLOBAL,LDSINDEA01,2,1,4,2044,-0.0034748639872819
GLOBAL,LDSINDEA01,2,1,4,2045,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2046,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2047,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2048,-0.0049000474813028
GLOBAL,LDSINDEA01,2,1,4,2049,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2050,-0.0048999677612977
GLOBAL,LDSINDEA01,2,1,5,2033,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,5,2034,2.6323197511926084e-08
GLOBAL,LDSINDEA01,2,1,5,2045,1.018253507555607e-07
GLOBAL,LDSINDEA01,2,1,5,2046,8.787165117206267e-10
GLOBAL,LDSINDEA01,2,1,5,2047,8.787165117206267e-10
GLOBAL,LDSINDEA01,3,1,1,2046,0.0039975072917756
GLOBAL,LDSINDEA01,3,1,1,2047,1.0094663424278105e-07
GLOBAL,LDSINDEA01,3,1,1,2050,7.094958356369284e-09
GLOBAL,LDSINDEA01,3,1,2,2032,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2,2034,1.0443222638135893e-07
GLOBAL,LDSINDEA01,3,1,2,2039,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2,2040,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2,2046,-0.0039974841051362
GLOBAL,LDSINDEA01,3,1,2,2048,1.0094663424262129e-07
GLOBAL,LDSINDEA01,3,1,2,2050,0.0064977434310861
GLOBAL,LDSINDEA01,3,1,3,2050,-0.0064977882149583
GLOBAL,LDSINDEA01,3,1,5,2036,1.0443265463766421e-07
GLOBAL,LDSINDEA01,4,1,1,2044,0.0032489041381788
GLOBAL,LDSINDEA01,4,1,1,2046,0.0032489035555613
GLOBAL,LDSINDEA01,4,1,2,2050,0.003248871715543
