REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,16477.9543290326
GLOBAL,MINCOAINT,2024,17789.29765239534
GLOBAL,MINCOAINT,2025,18741.52083780481
GLOBAL,MINCOAINT,2026,19862.826904393703
GLOBAL,MINCOAINT,2027,21126.581588463054
GLOBAL,MINCOAINT,2028,22266.210547771283
GLOBAL,MINCOAINT,2029,22951.544159376004
GLOBAL,MINCOAINT,2030,22885.226884224005
GLOBAL,MINCOAINT,2031,22728.23515742401
GLOBAL,MINCOAINT,2032,22868.04944692793
GLOBAL,MINCOAINT,2033,23183.05709519993
GLOBAL,MINCOAINT,2034,23441.13620855993
GLOBAL,MINCOAINT,2035,24588.90709329593
GLOBAL,MINCOAINT,2036,24732.97309670393
GLOBAL,MINCOAINT,2037,24951.90543796793
GLOBAL,MINCOAINT,2038,25107.759062063928
GLOBAL,MINCOAINT,2039,25200.432486143927
GLOBAL,MINCOAINT,2040,25204.800915935928
GLOBAL,MINCOAINT,2041,25174.802548223928
GLOBAL,MINCOAINT,2042,25280.939226815928
GLOBAL,MINCOAINT,2043,25445.695558319927
GLOBAL,MINCOAINT,2044,25677.03731558393
GLOBAL,MINCOAINT,2045,25979.52280665593
GLOBAL,MINCOAINT,2046,26376.957422639927
GLOBAL,MINCOAINT,2047,26806.636400255928
GLOBAL,MINCOAINT,2048,27122.969727359927
GLOBAL,MINCOAINT,2049,27350.349743087936
GLOBAL,MINCOAINT,2050,27620.859370031925
GLOBAL,MINGASINT,2023,1070.0291707247652
GLOBAL,MINGASINT,2024,754.4469995036843
GLOBAL,MINGASINT,2025,596.3820288294442
GLOBAL,MINGASINT,2026,624.1739162618761
GLOBAL,MINGASINT,2027,645.4916230053668
GLOBAL,MINGASINT,2028,662.0563822418255
GLOBAL,MINGASINT,2029,1098.898715411474
GLOBAL,MINGASINT,2030,1918.2813278673752
GLOBAL,MINGASINT,2031,2812.244297101891
GLOBAL,MINGASINT,2032,3582.0765663942448
GLOBAL,MINGASINT,2033,4264.734169851934
GLOBAL,MINGASINT,2034,4735.229236752656
GLOBAL,MINGASINT,2035,4817.055165917869
GLOBAL,MINGASINT,2036,5127.566851759034
GLOBAL,MINGASINT,2037,5202.345922273172
GLOBAL,MINGASINT,2038,5285.375941376325
GLOBAL,MINGASINT,2039,5345.393941525124
GLOBAL,MINGASINT,2040,5394.058463222084
GLOBAL,MINGASINT,2041,5430.832310259525
GLOBAL,MINGASINT,2042,5472.794219081926
GLOBAL,MINGASINT,2043,5535.155180043524
GLOBAL,MINGASINT,2044,5626.637695018245
GLOBAL,MINGASINT,2045,5730.016258386885
GLOBAL,MINGASINT,2046,5885.761372783366
GLOBAL,MINGASINT,2047,6120.175528000965
GLOBAL,MINGASINT,2048,6450.1917811936055
GLOBAL,MINGASINT,2049,6872.013356272005
GLOBAL,MINGASINT,2050,7352.583354580484
GLOBAL,MINOILINT,2023,43.74359444333588
GLOBAL,MINOILINT,2024,93.28278823184385
GLOBAL,MINOILINT,2025,38.20866852819316
GLOBAL,MINOILINT,2026,11.470286078831792
GLOBAL,MINOILINT,2027,1.94271440894558
GLOBAL,MINOILINT,2028,1.22435252539989
GLOBAL,MINOILINT,2029,0.8325571038442012
GLOBAL,MINOILINT,2030,0.5474616154139521
GLOBAL,MINOILINT,2031,0.3787660540296537
GLOBAL,MINOILINT,2032,14.232193453611789
GLOBAL,MINOILINT,2033,26.857849972283535
GLOBAL,MINOILINT,2034,57.1259849131143
GLOBAL,MINOILINT,2035,41.4743771220178
GLOBAL,MINOILINT,2036,326.4909891279317
GLOBAL,MINOILINT,2037,465.056566850268
GLOBAL,MINOILINT,2038,1039.6321621729917
GLOBAL,MINOILINT,2039,1865.0687726714216
GLOBAL,MINOILINT,2040,2110.3849912899677
GLOBAL,MINOILINT,2041,2791.2460371728816
GLOBAL,MINOILINT,2042,2984.10457107864
GLOBAL,MINOILINT,2043,3188.023655602045
GLOBAL,MINOILINT,2044,3404.0447218429053
GLOBAL,MINOILINT,2045,3633.6813617160337
GLOBAL,MINOILINT,2046,3873.286106520336
GLOBAL,MINOILINT,2047,4029.831625118488
GLOBAL,MINOILINT,2048,4300.46245969287
GLOBAL,MINOILINT,2049,4585.807995980955
GLOBAL,MINOILINT,2050,4849.195154252955
GLOBAL,MINPETINT,2034,276.6912008045806
GLOBAL,MINPETINT,2035,98.11022211861759
GLOBAL,MINPETINT,2036,404.4902715917869
GLOBAL,MINPETINT,2037,1128.0663914689671
GLOBAL,MINPETINT,2038,1495.752480000002
GLOBAL,MINPETINT,2039,1698.229115711991
GLOBAL,MINPETINT,2040,2688.135981104403
GLOBAL,MINPETINT,2041,3241.574254273739
GLOBAL,MINPETINT,2042,4160.971890669071
GLOBAL,MINPETINT,2043,4954.86357578415
GLOBAL,MINPETINT,2044,5569.062093391682
GLOBAL,MINPETINT,2045,6070.335445208329
GLOBAL,MINPETINT,2046,6412.09771172488
GLOBAL,MINPETINT,2047,6605.0980317248805
GLOBAL,MINPETINT,2048,6969.100252847625
GLOBAL,MINPETINT,2049,7312.9419159057725
GLOBAL,MINPETINT,2050,7555.077555251022
GLOBAL,MINURNINT,2023,530.6751936000001
GLOBAL,MINURNINT,2024,656.6930496000001
GLOBAL,MINURNINT,2025,1028.02566528
GLOBAL,MINURNINT,2026,1090.992587328
GLOBAL,MINURNINT,2027,1112.282604
GLOBAL,MINURNINT,2028,1171.47599136
GLOBAL,MINURNINT,2029,1311.2577976319994
GLOBAL,MINURNINT,2030,1342.1251713600002
GLOBAL,MINURNINT,2031,1371.5923466880004
GLOBAL,MINURNINT,2032,1410.2378225280002
GLOBAL,MINURNINT,2033,1447.0000315200002
GLOBAL,MINURNINT,2034,1481.885974656
GLOBAL,MINURNINT,2035,1514.888650944
GLOBAL,MINURNINT,2036,1546.015061376
GLOBAL,MINURNINT,2037,1579.7318388480005
GLOBAL,MINURNINT,2038,1611.411327648
GLOBAL,MINURNINT,2039,1641.179545632
GLOBAL,MINURNINT,2040,1669.14150768
GLOBAL,MINURNINT,2041,1697.0194578240005
GLOBAL,MINURNINT,2042,1727.56478592
GLOBAL,MINURNINT,2043,1758.3691507200006
GLOBAL,MINURNINT,2044,1820.1179001600003
GLOBAL,MINURNINT,2045,1894.9515036480004
GLOBAL,MINURNINT,2046,1932.5258277120004
GLOBAL,MINURNINT,2047,1973.2646001600003
GLOBAL,MINURNINT,2048,2017.93092912
GLOBAL,MINURNINT,2049,2067.700981248
GLOBAL,MINURNINT,2050,2123.8699400640003
GLOBAL,PWRBIOBGDXX,2024,0.0001
GLOBAL,PWRBIOBGDXX,2025,0.0001
GLOBAL,PWRBIOBGDXX,2026,0.0001
GLOBAL,PWRBIOBGDXX,2027,0.0001
GLOBAL,PWRBIOBGDXX,2028,0.0001
GLOBAL,PWRBIOBGDXX,2029,0.0001
GLOBAL,PWRBIOBGDXX,2030,0.0001
GLOBAL,PWRBIOINDEA,2024,0.0340999999999999
GLOBAL,PWRBIOINDEA,2025,0.0386999999999999
GLOBAL,PWRBIOINDEA,2026,0.0396
GLOBAL,PWRBIOINDEA,2027,0.0422999999999999
GLOBAL,PWRBIOINDEA,2028,0.0439
GLOBAL,PWRBIOINDEA,2029,0.0340999999999999
GLOBAL,PWRBIOINDEA,2030,0.0165
GLOBAL,PWRBIOINDEA,2031,0.0137
GLOBAL,PWRBIOINDEA,2032,0.0241
GLOBAL,PWRBIOINDEA,2033,0.0218
