REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2023,427.3337604567469
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2024,456.302543697
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2025,487.246512753
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2026,520.28947971
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2027,555.572444427
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2028,593.248406751
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2029,633.480366519
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2030,676.43932356
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2031,712.657287342
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2032,750.814249185
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2033,791.014208985
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2034,833.366166633
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2035,878.0901261858688
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2036,925.9831951186619
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2037,990.616581401074
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2038,1044.2758611516686
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2039,1106.5964671695392
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2040,1159.8096531277715
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2041,1214.8449995546694
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2042,1304.0834886713092
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2043,1369.1803973489787
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2044,1413.857734571529
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2045,1506.2831949152107
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2046,1558.3337319533207
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2047,1640.0091890506033
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2048,1711.3760026572158
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2049,1757.6321389966397
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2050,1801.4319734121807
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2023,38.207724140967954
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2024,41.25376286378754
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2025,57.836042724744615
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2026,61.612847025763614
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2027,71.16876434151598
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2028,81.76555598102547
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2029,86.39183328383938
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2030,148.0143698128397
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2031,153.39233073209456
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2032,159.25109827376687
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2033,165.63583912056862
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2034,172.76542416710953
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2035,212.46858492007954
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2036,222.2489384096753
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2037,230.0015342146171
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2038,239.03586422138196
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2039,249.42567670254422
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2040,261.38696951698313
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2041,282.1511785500267
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2042,301.8960705373042
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2043,319.71225575645457
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2044,339.1054197092132
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2045,360.142114357345
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2046,389.9669601776026
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2047,437.82392261548534
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2048,510.1399606169871
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2049,551.6734849718679
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2050,551.6734849718678
GLOBAL,DSPTRNINDEA,ELCINDEA03,2023,883.4193091928054
GLOBAL,DSPTRNINDEA,ELCINDEA03,2024,986.9057168329152
GLOBAL,DSPTRNINDEA,ELCINDEA03,2025,977.4217492771528
GLOBAL,DSPTRNINDEA,ELCINDEA03,2026,1030.2366671028058
GLOBAL,DSPTRNINDEA,ELCINDEA03,2027,1098.646105274081
GLOBAL,DSPTRNINDEA,ELCINDEA03,2028,1172.9515575429227
GLOBAL,DSPTRNINDEA,ELCINDEA03,2029,1272.6258649459123
GLOBAL,DSPTRNINDEA,ELCINDEA03,2030,1348.707301672389
GLOBAL,DSPTRNINDEA,ELCINDEA03,2031,1420.6459174527658
GLOBAL,DSPTRNINDEA,ELCINDEA03,2032,1496.0952492539095
GLOBAL,DSPTRNINDEA,ELCINDEA03,2033,1574.944715362994
GLOBAL,DSPTRNINDEA,ELCINDEA03,2034,1659.0082570303407
GLOBAL,DSPTRNINDEA,ELCINDEA03,2035,1747.6264180029536
GLOBAL,DSPTRNINDEA,ELCINDEA03,2036,1827.1817223180751
GLOBAL,DSPTRNINDEA,ELCINDEA03,2037,1941.9564749818937
GLOBAL,DSPTRNINDEA,ELCINDEA03,2038,1970.964568003445
GLOBAL,DSPTRNINDEA,ELCINDEA03,2039,2023.166599565048
GLOBAL,DSPTRNINDEA,ELCINDEA03,2040,2048.2418674484384
GLOBAL,DSPTRNINDEA,ELCINDEA03,2041,2108.4402726841795
GLOBAL,DSPTRNINDEA,ELCINDEA03,2042,2199.142564132974
GLOBAL,DSPTRNINDEA,ELCINDEA03,2043,2095.114562517983
GLOBAL,DSPTRNINDEA,ELCINDEA03,2044,2147.100558833099
GLOBAL,DSPTRNINDEA,ELCINDEA03,2045,2280.7961145213653
GLOBAL,DSPTRNINDEA,ELCINDEA03,2046,2400.26281776396
GLOBAL,DSPTRNINDEA,ELCINDEA03,2047,2452.374578007251
GLOBAL,DSPTRNINDEA,ELCINDEA03,2048,2548.654376764089
GLOBAL,DSPTRNINDEA,ELCINDEA03,2049,2598.593405610551
GLOBAL,DSPTRNINDEA,ELCINDEA03,2050,2688.7736866830364
GLOBAL,DSPTRNINDNE,ELCINDNE03,2023,84.93627707401731
GLOBAL,DSPTRNINDNE,ELCINDNE03,2024,89.2022770740173
GLOBAL,DSPTRNINDNE,ELCINDNE03,2025,84.91053306667942
GLOBAL,DSPTRNINDNE,ELCINDNE03,2026,93.49158011227726
GLOBAL,DSPTRNINDNE,ELCINDNE03,2027,99.14434058900618
GLOBAL,DSPTRNINDNE,ELCINDNE03,2028,104.61241694316975
GLOBAL,DSPTRNINDNE,ELCINDNE03,2029,112.99462245253154
GLOBAL,DSPTRNINDNE,ELCINDNE03,2030,129.9170798418355
GLOBAL,DSPTRNINDNE,ELCINDNE03,2031,137.3236819437984
GLOBAL,DSPTRNINDNE,ELCINDNE03,2032,174.39754446519345
GLOBAL,DSPTRNINDNE,ELCINDNE03,2033,180.2976732433501
GLOBAL,DSPTRNINDNE,ELCINDNE03,2034,182.72269996035735
GLOBAL,DSPTRNINDNE,ELCINDNE03,2035,203.5370597388353
GLOBAL,DSPTRNINDNE,ELCINDNE03,2036,197.6807858349655
GLOBAL,DSPTRNINDNE,ELCINDNE03,2037,201.9594193281651
GLOBAL,DSPTRNINDNE,ELCINDNE03,2038,211.71719687929834
GLOBAL,DSPTRNINDNE,ELCINDNE03,2039,231.17609482215246
GLOBAL,DSPTRNINDNE,ELCINDNE03,2040,252.47392325272196
GLOBAL,DSPTRNINDNE,ELCINDNE03,2041,269.6277257201978
GLOBAL,DSPTRNINDNE,ELCINDNE03,2042,278.4611283152752
GLOBAL,DSPTRNINDNE,ELCINDNE03,2043,292.69519646042164
GLOBAL,DSPTRNINDNE,ELCINDNE03,2044,300.077520786845
GLOBAL,DSPTRNINDNE,ELCINDNE03,2045,324.457478775716
GLOBAL,DSPTRNINDNE,ELCINDNE03,2046,375.5790589482566
GLOBAL,DSPTRNINDNE,ELCINDNE03,2047,424.7425681912108
GLOBAL,DSPTRNINDNE,ELCINDNE03,2048,464.3546959514507
GLOBAL,DSPTRNINDNE,ELCINDNE03,2049,480.99768005748257
GLOBAL,DSPTRNINDNE,ELCINDNE03,2050,638.9204815005006
