REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2023,201.6026783668102
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2024,132.9175343201366
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2025,159.1840930119801
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2026,187.23237050857352
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2027,202.96813585384896
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2028,299.98998432000013
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2029,207.35063162046325
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2030,198.67407236512645
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2031,212.32928350874488
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2032,235.1492971567058
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2033,258.9156007793705
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2034,225.8947718660423
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2035,239.9794964563845
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2036,282.99541319570784
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2037,242.09270669904845
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2038,288.3882939465798
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2039,321.16940340521774
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2040,322.5453825724725
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2041,343.3843268923458
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2042,355.14427535655
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2043,373.48755166452713
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2044,400.49339371514657
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2045,431.89937580383054
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2046,424.34209568289725
GLOBAL,S1D1,DSPTRNBGDXX,1,ELCBGDXX03,2047,451.185272754169
