REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2023,196.9639279901125
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2024,152.95542901679866
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2025,329.987374416
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2026,352.968919056
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2027,246.80127277611183
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2028,278.7822340375485
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2029,296.93159437018176
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2030,310.80732390219487
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2031,314.0452868542243
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2032,338.8547684536574
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2033,429.0914541330835
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2034,335.0635385414523
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2035,338.8985528675876
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2036,322.43989261016947
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2037,347.16886127879815
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2038,362.7321994646922
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2039,409.6708777744549
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2040,459.9781094295952
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2041,512.5128890530657
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2042,556.5977309744876
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2043,1037.8688957118443
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2044,1073.1190389247593
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2045,1035.0248061518805
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2046,908.3583859684578
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2047,1233.1533680575342
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2048,1292.2301643525377
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2049,1423.4906151450264
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2050,1418.3207221592816
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2023,165.7665181846977
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2024,234.3736018377857
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2025,83.6082151304279
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2026,88.67494798702124
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2027,224.79227725308803
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2028,224.79227725308803
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2029,240.79351766018624
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2030,263.3831802831273
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2031,290.8885673408312
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2032,298.46833987805377
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2033,242.35509200279355
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2034,372.3331528153708
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2035,406.3734567683868
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2036,462.7353182132682
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2037,480.04523654094095
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2038,508.7736113198124
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2039,508.49576326116886
