REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D1,201.6026783668102
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D2,245.1427341121161
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D3,288.64245748562143
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D4,293.60585999032594
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D5,209.0061893654476
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D1,277.9823291228408
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D2,255.32864585138103
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D3,441.09343481907376
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D4,476.023810176
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D5,420.52913134967866
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D1,319.6155675836853
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D2,272.0400125779104
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D3,294.2303884831371
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D4,343.22623879787346
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D5,294.71620476326444
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D1,238.7348277258551
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D2,226.3134770809005
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D3,276.58783544714606
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D4,282.5196592042783
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D5,227.41275147109812
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D1,132.91753432013667
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D2,180.60862928316772
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D3,220.91734652443955
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D4,226.21734243645045
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D5,142.0214828145887
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D1,215.67524319247008
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D2,191.4852991738405
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D3,455.6166320948004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D4,477.8995714560001
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D5,437.0852499003653
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D1,253.9908997465305
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D2,208.13158013204483
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D3,229.4434855872
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D4,279.20272989659867
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D5,229.165205616
