REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBGDXX,2023,39.3689020969594
GLOBAL,PWRBIOBGDXX,2024,56.4117168575478
GLOBAL,PWRBIOBGDXX,2025,71.9051848217192
GLOBAL,PWRBIOBGDXX,2026,85.9901556982386
GLOBAL,PWRBIOBGDXX,2027,98.79467467689261
GLOBAL,PWRBIOBGDXX,2028,0.1104351464756689
GLOBAL,PWRBIOBGDXX,2029,0.121017393565466
GLOBAL,PWRBIOBGDXX,2030,0.130637618192554
GLOBAL,PWRBIOINDEA,2023,32.8074184141328
GLOBAL,PWRBIOINDEA,2024,47.009764047956494
GLOBAL,PWRBIOINDEA,2025,59.9209873514327
GLOBAL,PWRBIOINDEA,2026,71.6584630818655
GLOBAL,PWRBIOINDEA,2027,82.3288955640772
GLOBAL,PWRBIOINDEA,2028,40.40085775234888
GLOBAL,PWRBIOINDEA,2029,34.38910933818636
GLOBAL,PWRBIOINDEA,2030,17.96267250147612
GLOBAL,PWRBIOINDEA,2031,15.91292411782489
GLOBAL,PWRBIOINDEA,2032,29.589553391804152
GLOBAL,PWRBIOINDEA,2033,28.078707554425936
GLOBAL,PWRBIOINDEA,2034,26.04974379155921
GLOBAL,PWRBIOINDEA,2035,23.812581975940976
GLOBAL,PWRBIOINDEA,2036,21.27946521314532
GLOBAL,PWRBIOINDEA,2037,25.881464699635654
GLOBAL,PWRBIOINDEA,2038,22.59346681767639
GLOBAL,PWRBIOINDEA,2039,19.069173896131595
GLOBAL,PWRBIOINDEA,2040,15.179978718851808
GLOBAL,PWRBIOINDEA,2041,11.26542456836314
GLOBAL,PWRBIOINDEA,2042,15.694949125485504
GLOBAL,PWRBIOINDEA,2043,14.093956283157226
GLOBAL,PWRBIOINDEA,2044,12.0904083771516
GLOBAL,PWRBIOINDEA,2045,10.020649069090872
GLOBAL,PWRBIOINDEA,2046,7.378207056747075
GLOBAL,PWRBIOINDEA,2047,4.675652165306737
GLOBAL,PWRBIOINDEA,2048,1.39691363241736
GLOBAL,PWRBIOINDNE,2023,32.8074184141328
GLOBAL,PWRBIOINDNE,2024,47.009764047956494
GLOBAL,PWRBIOINDNE,2025,59.9209873514327
GLOBAL,PWRBIOINDNE,2026,71.6584630818655
GLOBAL,PWRBIOINDNE,2027,82.3288955640772
GLOBAL,PWRBIOINDNE,2028,1.0123221760269652
GLOBAL,PWRBIOINDNE,2029,0.907630451740989
GLOBAL,PWRBIOINDNE,2030,0.8709174546170239
GLOBAL,PWRBIOINDNE,2031,0.8130691155093009
GLOBAL,PWRBIOINDNE,2032,1.1050040685735991
GLOBAL,PWRBIOINDNE,2033,1.159212697201071
GLOBAL,PWRBIOINDNE,2034,1.074216238827184
GLOBAL,PWRBIOINDNE,2035,1.11403892285104
GLOBAL,PWRBIOINDNE,2036,1.15024136287272
GLOBAL,PWRBIOINDNE,2037,1.331046755981262
GLOBAL,PWRBIOINDNE,2038,1.3647060493898493
GLOBAL,PWRBIOINDNE,2039,1.2402714729191282
GLOBAL,PWRBIOINDNE,2040,1.264998226570984
GLOBAL,PWRBIOINDNE,2041,1.126542456836314
GLOBAL,PWRBIOINDNE,2042,1.307912427123792
GLOBAL,PWRBIOINDNE,2043,1.4923012535107647
GLOBAL,PWRBIOINDNE,2044,1.51130104714395
GLOBAL,PWRBIOINDNE,2045,1.528573586810472
GLOBAL,PWRBIOINDNE,2046,1.544275895598225
GLOBAL,PWRBIOINDNE,2047,1.558550721768912
GLOBAL,PWRBIOINDNE,2048,1.57152783646953
GLOBAL,PWRBIOINDNE,2049,1.583325213470091
GLOBAL,PWRBIOINDNE,2050,1.5940501016524289
GLOBAL,PWRBIOINDNO,2023,32.8074184141328
GLOBAL,PWRBIOINDNO,2024,88.89546381468573
GLOBAL,PWRBIOINDNO,2025,119.78205371551395
GLOBAL,PWRBIOINDNO,2026,153.85072023676523
GLOBAL,PWRBIOINDNO,2027,187.62755299053197
GLOBAL,PWRBIOINDNO,2028,220.50217579641892
GLOBAL,PWRBIOINDNO,2029,216.82283013812517
GLOBAL,PWRBIOINDNO,2030,154.58784819452174
GLOBAL,PWRBIOINDNO,2031,160.05846302454526
GLOBAL,PWRBIOINDNO,2032,205.40797852484792
GLOBAL,PWRBIOINDNO,2033,206.21105869099048
GLOBAL,PWRBIOINDNO,2034,205.44385567569893
GLOBAL,PWRBIOINDNO,2035,203.03359368960204
GLOBAL,PWRBIOINDNO,2036,199.27931611769876
GLOBAL,PWRBIOINDNO,2037,223.02427866886035
GLOBAL,PWRBIOINDNO,2038,216.83662784749825
GLOBAL,PWRBIOINDNO,2039,209.60587892333265
GLOBAL,PWRBIOINDNO,2040,182.00161984790032
GLOBAL,PWRBIOINDNO,2041,191.8340869355552
GLOBAL,PWRBIOINDNO,2042,226.4323389458065
GLOBAL,PWRBIOINDNO,2043,231.63831679494876
GLOBAL,PWRBIOINDNO,2044,229.38191448873727
GLOBAL,PWRBIOINDNO,2045,221.98285310680967
GLOBAL,PWRBIOINDNO,2046,242.45131560892136
GLOBAL,PWRBIOINDNO,2047,245.38515252739424
GLOBAL,PWRBIOINDNO,2048,247.77755555002923
GLOBAL,PWRBIOINDNO,2049,249.4616836333988
GLOBAL,PWRBIOINDNO,2050,250.7972159933155
GLOBAL,PWRBIOINDSO,2023,32.8074184141328
GLOBAL,PWRBIOINDSO,2024,100.9299634109626
GLOBAL,PWRBIOINDSO,2025,136.61985116126655
GLOBAL,PWRBIOINDSO,2026,179.8627423354824
GLOBAL,PWRBIOINDSO,2027,209.11539473275607
GLOBAL,PWRBIOINDSO,2028,243.41746869012024
GLOBAL,PWRBIOINDSO,2029,241.63139581904557
GLOBAL,PWRBIOINDSO,2030,178.9735369237984
GLOBAL,PWRBIOINDSO,2031,177.13291445024055
GLOBAL,PWRBIOINDSO,2032,234.260862537603
GLOBAL,PWRBIOINDSO,2033,236.60819163981856
GLOBAL,PWRBIOINDSO,2034,237.13323472110088
GLOBAL,PWRBIOINDSO,2035,235.8977419137077
GLOBAL,PWRBIOINDSO,2036,233.35521649280307
GLOBAL,PWRBIOINDSO,2037,254.6736126444148
GLOBAL,PWRBIOINDSO,2038,249.58957303285464
GLOBAL,PWRBIOINDSO,2039,243.40327656037888
GLOBAL,PWRBIOINDSO,2040,225.16968432963515
GLOBAL,PWRBIOINDSO,2041,227.88344555431723
GLOBAL,PWRBIOINDSO,2042,266.6506460798631
GLOBAL,PWRBIOINDSO,2043,273.5885631436403
GLOBAL,PWRBIOINDSO,2044,280.0944607373454
GLOBAL,PWRBIOINDSO,2045,286.1829437528495
GLOBAL,PWRBIOINDSO,2046,291.8681442680645
GLOBAL,PWRBIOINDSO,2047,297.1636709506059
GLOBAL,PWRBIOINDSO,2048,301.9079588062019
GLOBAL,PWRBIOINDSO,2049,306.2854662946032
GLOBAL,PWRBIOINDSO,2050,309.9541864324167
GLOBAL,PWRBIOINDWE,2023,32.8074184141328
GLOBAL,PWRBIOINDWE,2024,87.86124900563068
GLOBAL,PWRBIOINDWE,2025,122.53841913367988
GLOBAL,PWRBIOINDWE,2026,165.24441586678185
GLOBAL,PWRBIOINDWE,2027,183.09946373450768
GLOBAL,PWRBIOINDWE,2028,212.03548123328432
