REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSINDEA01,2031,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,2032,7.972001934367784e-08
GLOBAL,LDSINDEA01,2033,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2034,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2038,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,2040,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2041,-3.4861391377816187e-09
GLOBAL,LDSINDNO01,2040,-6.455812696926077e-09
GLOBAL,LDSINDSO01,2039,1.2035968673107522e-07
GLOBAL,LDSINDSO01,2045,7.735719068438507e-08
GLOBAL,LDSINDWE01,2040,-1.2524277641135428e-08
GLOBAL,LDSINDWE01,2044,8.878278583146493e-08
GLOBAL,SDSINDEA01,2048,59.9602368150702
GLOBAL,SDSINDEA01,2049,59.9602368150702
GLOBAL,SDSINDEA01,2050,59.9602368150702
GLOBAL,SDSINDNO01,2035,8.380408865070377e-09
GLOBAL,SDSINDNO01,2036,-4.6074676717140766e-08
GLOBAL,SDSINDNO01,2038,8.380408865070377e-09
GLOBAL,SDSINDNO01,2042,-8.219247156038105e-09
GLOBAL,SDSINDNO01,2045,-3.260897820278781e-08
GLOBAL,SDSINDNO01,2046,49.861669196998896
GLOBAL,SDSINDNO01,2047,296.5225299070237
GLOBAL,SDSINDNO01,2048,330.2506372861035
GLOBAL,SDSINDNO01,2049,330.2506372861035
GLOBAL,SDSINDNO01,2050,330.2506372861035
GLOBAL,SDSINDSO01,2031,-5.90518661801407e-09
GLOBAL,SDSINDSO01,2034,5.905162402033286e-09
GLOBAL,SDSINDSO01,2035,-5.90518661801407e-09
GLOBAL,SDSINDSO01,2036,7.735720472610423e-09
GLOBAL,SDSINDSO01,2041,-2.5823252889321796e-10
GLOBAL,SDSINDSO01,2043,-1.830575411306684e-09
GLOBAL,SDSINDSO01,2045,7.735719709548934e-09
GLOBAL,SDSINDSO01,2047,1.1419740803684069
GLOBAL,SDSINDSO01,2048,14.313714066498228
GLOBAL,SDSINDSO01,2049,15.472095822983713
GLOBAL,SDSINDSO01,2050,15.472095822983713
GLOBAL,SDSINDWE01,2030,4.351366141513252e-09
GLOBAL,SDSINDWE01,2031,-4.351366141459043e-09
GLOBAL,SDSINDWE01,2035,-6.616065805110985e-09
GLOBAL,SDSINDWE01,2036,4.351366141513252e-09
GLOBAL,SDSINDWE01,2041,-1.4525579729914723e-10
GLOBAL,SDSINDWE01,2046,50.78698746805088
GLOBAL,SDSINDWE01,2047,50.78698746805088
GLOBAL,SDSINDWE01,2048,50.78698746805088
GLOBAL,SDSINDWE01,2049,50.78698746805088
GLOBAL,SDSINDWE01,2050,50.78698746805088
