REGION,YEAR,VALUE
GLOBAL,2023,142444.8164625422
GLOBAL,2024,176358.14858041363
GLOBAL,2025,194914.57811435996
GLOBAL,2026,163906.1139601541
GLOBAL,2027,143587.24987018338
GLOBAL,2028,133555.55466870026
GLOBAL,2029,124178.02415593177
GLOBAL,2030,107198.07133410902
GLOBAL,2031,93783.32075980544
GLOBAL,2032,95602.43671580259
GLOBAL,2033,87257.92737863866
GLOBAL,2034,82421.66215505228
GLOBAL,2035,83983.23472615941
GLOBAL,2036,71480.75481006155
GLOBAL,2037,68129.49067263302
GLOBAL,2038,64004.02571655147
GLOBAL,2039,59966.20285547444
GLOBAL,2040,56302.65121643518
GLOBAL,2041,53152.70461436344
GLOBAL,2042,50977.52466630988
GLOBAL,2043,48579.98794243528
GLOBAL,2044,46377.15701095609
GLOBAL,2045,45069.9221752372
GLOBAL,2046,773054.3928150446
GLOBAL,2047,1423338.2875015351
GLOBAL,2048,13464417.719144458
GLOBAL,2049,32931350.579569336
GLOBAL,2050,52370021.53872055
