REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2BGD,2023,41.49647062829537
GLOBAL,CO2BGD,2024,41.49647062829537
GLOBAL,CO2BGD,2025,51.13492588596733
GLOBAL,CO2BGD,2026,51.13492588596731
GLOBAL,CO2BGD,2027,51.13492588596733
GLOBAL,CO2BGD,2028,51.134925885967334
GLOBAL,CO2BGD,2029,49.9491038148719
GLOBAL,CO2BGD,2030,49.186171785680024
GLOBAL,CO2BGD,2031,49.78127337924083
GLOBAL,CO2BGD,2032,50.38221646083656
GLOBAL,CO2BGD,2033,50.98461991444103
GLOBAL,CO2BGD,2034,51.58337243802389
GLOBAL,CO2BGD,2035,52.17263254354971
GLOBAL,CO2BGD,2036,52.74655874298377
GLOBAL,CO2BGD,2037,53.29930954829111
GLOBAL,CO2BGD,2038,54.5611531303997
GLOBAL,CO2BGD,2039,62.04497227011483
GLOBAL,CO2BGD,2040,63.16083416830348
GLOBAL,CO2BGD,2041,65.13974373448424
GLOBAL,CO2BGD,2042,67.44378250826115
GLOBAL,CO2BGD,2043,70.07133326602171
GLOBAL,CO2BGD,2044,71.52347913828608
GLOBAL,CO2BGD,2045,72.38893793212229
GLOBAL,CO2BGD,2046,70.77396221375751
GLOBAL,CO2BGD,2047,69.63618850849697
GLOBAL,CO2BGD,2048,68.79465504726402
GLOBAL,CO2BGD,2049,67.82038810218343
GLOBAL,CO2BGD,2050,67.73643087208386
GLOBAL,CO2BTN,2023,0.0
GLOBAL,CO2BTN,2024,0.0
GLOBAL,CO2BTN,2025,0.0
GLOBAL,CO2BTN,2026,0.0
GLOBAL,CO2BTN,2027,0.0
GLOBAL,CO2BTN,2028,0.0
GLOBAL,CO2BTN,2029,0.0
GLOBAL,CO2BTN,2030,0.0
GLOBAL,CO2BTN,2031,0.0
GLOBAL,CO2BTN,2032,0.0
GLOBAL,CO2BTN,2033,0.0
GLOBAL,CO2BTN,2034,0.0
GLOBAL,CO2BTN,2035,0.0
GLOBAL,CO2BTN,2036,0.0
GLOBAL,CO2BTN,2037,0.6411063643732908
GLOBAL,CO2BTN,2038,1.3973902636138102
GLOBAL,CO2BTN,2039,1.517137563379646
GLOBAL,CO2BTN,2040,1.6791130881851533
GLOBAL,CO2BTN,2041,1.746202048835097
GLOBAL,CO2BTN,2042,2.25442642605013
GLOBAL,CO2BTN,2043,1.8288433987692951
GLOBAL,CO2BTN,2044,1.9919466292322823
GLOBAL,CO2BTN,2045,2.177620223013017
GLOBAL,CO2BTN,2046,2.1590985505739084
GLOBAL,CO2BTN,2047,2.1348145312524225
GLOBAL,CO2BTN,2048,1.6703941522648242
GLOBAL,CO2BTN,2049,1.5571168503012103
GLOBAL,CO2BTN,2050,2.156549406746331
GLOBAL,CO2IND,2023,1101.7702797434233
GLOBAL,CO2IND,2024,1182.4881320941158
GLOBAL,CO2IND,2025,1181.4046074272599
GLOBAL,CO2IND,2026,1205.1695183241764
GLOBAL,CO2IND,2027,1261.550388231668
GLOBAL,CO2IND,2028,1309.3222177561252
GLOBAL,CO2IND,2029,1259.8064978978957
GLOBAL,CO2IND,2030,1176.5842408893209
GLOBAL,CO2IND,2031,1223.9035275738154
GLOBAL,CO2IND,2032,1282.3714365004978
GLOBAL,CO2IND,2033,1347.3304992321375
GLOBAL,CO2IND,2034,1411.6000416029988
GLOBAL,CO2IND,2035,1488.4547117069812
GLOBAL,CO2IND,2036,1553.8297653185996
GLOBAL,CO2IND,2037,1624.935587230056
GLOBAL,CO2IND,2038,1699.0054122289823
GLOBAL,CO2IND,2039,1767.4783751085877
GLOBAL,CO2IND,2040,1842.5981213903735
GLOBAL,CO2IND,2041,1915.0827319296866
GLOBAL,CO2IND,2042,1984.1781574138922
GLOBAL,CO2IND,2043,2051.7266673209137
GLOBAL,CO2IND,2044,2122.0244548071564
GLOBAL,CO2IND,2045,2213.157400908358
GLOBAL,CO2IND,2046,2291.096553051483
GLOBAL,CO2IND,2047,2349.763681285813
GLOBAL,CO2IND,2048,2400.834963541131
GLOBAL,CO2IND,2049,2447.908469314505
GLOBAL,CO2IND,2050,2500.7926840616888
GLOBAL,CO2LKA,2023,6.7416331637921525
GLOBAL,CO2LKA,2024,7.509278606023165
GLOBAL,CO2LKA,2025,7.452131890739036
GLOBAL,CO2LKA,2026,7.154200709866716
GLOBAL,CO2LKA,2027,5.550590831217847
GLOBAL,CO2LKA,2028,4.970196703052791
GLOBAL,CO2LKA,2029,4.207654753503262
GLOBAL,CO2LKA,2030,3.3219999728352407
GLOBAL,CO2LKA,2031,2.909283756512118
GLOBAL,CO2LKA,2032,2.9832213990389986
GLOBAL,CO2LKA,2033,3.405513563019167
GLOBAL,CO2LKA,2034,2.803238973389541
GLOBAL,CO2LKA,2035,3.024246776268629
GLOBAL,CO2LKA,2036,3.179539651807846
GLOBAL,CO2LKA,2037,3.5344792116678074
GLOBAL,CO2LKA,2038,3.78596664126362
GLOBAL,CO2LKA,2039,4.178345103505627
GLOBAL,CO2LKA,2040,4.788554168978024
GLOBAL,CO2LKA,2041,5.763806292971071
GLOBAL,CO2LKA,2042,5.949884869408233
GLOBAL,CO2LKA,2043,6.876650072209341
GLOBAL,CO2LKA,2044,6.941688707975155
GLOBAL,CO2LKA,2045,5.526941817484121
GLOBAL,CO2LKA,2046,6.223292227317111
GLOBAL,CO2LKA,2047,7.554249862295484
GLOBAL,CO2LKA,2048,8.307510537690545
GLOBAL,CO2LKA,2049,8.43730822097553
GLOBAL,CO2LKA,2050,8.445123680363793
GLOBAL,CO2MDV,2023,0.0
GLOBAL,CO2MDV,2024,0.0
GLOBAL,CO2MDV,2025,0.0
GLOBAL,CO2MDV,2026,0.0
GLOBAL,CO2MDV,2027,0.0
GLOBAL,CO2MDV,2028,0.0
GLOBAL,CO2MDV,2029,0.0
GLOBAL,CO2MDV,2030,0.0
GLOBAL,CO2MDV,2031,0.0
GLOBAL,CO2MDV,2032,0.0
GLOBAL,CO2MDV,2033,0.0
GLOBAL,CO2MDV,2034,0.0
GLOBAL,CO2MDV,2035,0.0
GLOBAL,CO2MDV,2036,0.0
GLOBAL,CO2MDV,2037,0.0
GLOBAL,CO2MDV,2038,0.0
GLOBAL,CO2MDV,2039,0.0
GLOBAL,CO2MDV,2040,0.0
GLOBAL,CO2MDV,2041,0.0
GLOBAL,CO2MDV,2042,0.0
GLOBAL,CO2MDV,2043,0.0
GLOBAL,CO2MDV,2044,0.0
GLOBAL,CO2MDV,2045,0.0
GLOBAL,CO2MDV,2046,0.0
GLOBAL,CO2MDV,2047,0.0
GLOBAL,CO2MDV,2048,0.0
GLOBAL,CO2MDV,2049,0.0
GLOBAL,CO2MDV,2050,0.0
GLOBAL,CO2NPL,2023,0.0
GLOBAL,CO2NPL,2024,0.0
GLOBAL,CO2NPL,2025,0.0
GLOBAL,CO2NPL,2026,0.0
GLOBAL,CO2NPL,2027,0.0
GLOBAL,CO2NPL,2028,0.0
GLOBAL,CO2NPL,2029,0.0
GLOBAL,CO2NPL,2030,0.0
GLOBAL,CO2NPL,2031,0.0
GLOBAL,CO2NPL,2032,0.1635306273887224
GLOBAL,CO2NPL,2033,0.17185272692183567
GLOBAL,CO2NPL,2034,0.22185947973984985
GLOBAL,CO2NPL,2035,0.19974831920245456
GLOBAL,CO2NPL,2036,0.3382104080591427
GLOBAL,CO2NPL,2037,0.7021183830463911
GLOBAL,CO2NPL,2038,1.2017031836605574
GLOBAL,CO2NPL,2039,1.167549895407933
GLOBAL,CO2NPL,2040,1.3926653294718672
GLOBAL,CO2NPL,2041,2.4861711901528865
GLOBAL,CO2NPL,2042,4.893509703400835
GLOBAL,CO2NPL,2043,6.8618504312363555
GLOBAL,CO2NPL,2044,6.805185877729847
GLOBAL,CO2NPL,2045,6.839340648574705
GLOBAL,CO2NPL,2046,6.85915184369703
GLOBAL,CO2NPL,2047,6.550000889486364
GLOBAL,CO2NPL,2048,5.282776186187137
GLOBAL,CO2NPL,2049,3.6847413645417113
GLOBAL,CO2NPL,2050,3.1086977015690413
