REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2,2038,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2039,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2040,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2041,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2042,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2043,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2044,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2045,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2046,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2047,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2048,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2049,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,2,2050,0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2038,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2039,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2040,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2041,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2042,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2043,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2044,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2045,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2046,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2047,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2048,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2049,-0.0194399999999999
GLOBAL,LDSINDEA01,1,1,3,2050,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,1,2038,4.0049294021703444e-07
GLOBAL,LDSINDEA01,2,1,1,2040,4.0049294021703444e-07
GLOBAL,LDSINDEA01,2,1,1,2041,-3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,1,2046,-3.4861388558890534e-09
GLOBAL,LDSINDEA01,2,1,1,2047,-3.4861388558890534e-09
GLOBAL,LDSINDEA01,2,1,1,2048,-1.0443235914231465e-07
GLOBAL,LDSINDEA01,2,1,1,2050,4.0049294021703444e-07
GLOBAL,LDSINDEA01,2,1,2,2030,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2031,0.01944
GLOBAL,LDSINDEA01,2,1,2,2032,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2033,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2034,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2035,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2036,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2037,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2038,0.01944
GLOBAL,LDSINDEA01,2,1,2,2039,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2040,0.01944
GLOBAL,LDSINDEA01,2,1,2,2041,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2042,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2043,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2044,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2045,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2046,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2047,0.01944
GLOBAL,LDSINDEA01,2,1,2,2048,0.01944
GLOBAL,LDSINDEA01,2,1,2,2049,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2050,0.01944
GLOBAL,LDSINDEA01,2,1,4,2030,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2031,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2032,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2033,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2034,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2035,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2036,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2037,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2038,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2039,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2040,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2041,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2042,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2043,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2044,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2045,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2046,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2047,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2048,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2049,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2050,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,5,2031,4.1431701032407547e-07
GLOBAL,LDSINDEA01,2,1,5,2041,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,5,2046,3.486138855889053e-09
GLOBAL,LDSINDEA01,2,1,5,2047,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,5,2048,1.0443235913918261e-07
GLOBAL,LDSINDEA01,3,1,1,2046,0.0119597044463262
GLOBAL,LDSINDEA01,3,1,1,2047,0.0119597044456659
GLOBAL,LDSINDEA01,3,1,2,2030,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,2,2032,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,2,2033,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,2,2037,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,2,2039,3.020129785740998e-07
GLOBAL,LDSINDEA01,3,1,2,2041,3.0201293579443077e-07
GLOBAL,LDSINDEA01,3,1,2,2042,3.0201297856982907e-07
GLOBAL,LDSINDEA01,3,1,2,2043,3.0201297856982907e-07
GLOBAL,LDSINDEA01,3,1,2,2044,3.0201297856982907e-07
GLOBAL,LDSINDEA01,3,1,2,2045,3.020129785672341e-07
GLOBAL,LDSINDEA01,3,1,2,2046,-0.0119597044463262
GLOBAL,LDSINDEA01,3,1,2,2047,-0.0119597044456659
GLOBAL,LDSINDEA01,3,1,2,2048,3.020116973097582e-07
GLOBAL,LDSINDEA01,3,1,2,2049,3.0201297856982907e-07
GLOBAL,LDSINDEA01,3,1,3,2034,3.124410240158023e-07
GLOBAL,LDSINDEA01,3,1,4,2035,3.124408990393927e-07
GLOBAL,LDSINDEA01,3,1,4,2036,1.0443278739523387e-07
GLOBAL,LDSINDEA01,3,1,5,2036,2.0800811164415881e-07
GLOBAL,LDSINDEA01,4,1,1,2046,0.0194400777599948
GLOBAL,LDSINDEA01,4,1,1,2047,0.0194400777599948
GLOBAL,LDSINDEA01,4,1,3,2046,-0.0194399999999999
GLOBAL,LDSINDEA01,4,1,3,2047,-0.0194399999999999
GLOBAL,LDSINDEA01,4,1,4,2047,-7.775999480041718e-08
GLOBAL,LDSINDEA01,4,1,5,2046,-7.775999480041718e-08
GLOBAL,LDSINDNO01,1,1,2,2034,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2035,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2036,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2037,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2038,0.036
GLOBAL,LDSINDNO01,1,1,2,2039,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2040,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2041,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2042,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2043,0.036
GLOBAL,LDSINDNO01,1,1,2,2044,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2045,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2046,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2047,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2048,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2049,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2050,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2034,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2035,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2036,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2037,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2038,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2039,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2040,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2041,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2042,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2043,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2044,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2045,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2046,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2047,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2048,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2049,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2050,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,1,2030,0.0351148912894963
GLOBAL,LDSINDNO01,2,1,1,2034,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2035,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2038,-6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,1,2041,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2042,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2043,-6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,1,2044,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2045,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2046,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2047,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2048,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2049,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,1,2050,-6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2,2031,0.036
GLOBAL,LDSINDNO01,2,1,2,2032,0.036
GLOBAL,LDSINDNO01,2,1,2,2033,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2034,0.036
GLOBAL,LDSINDNO01,2,1,2,2035,0.036
GLOBAL,LDSINDNO01,2,1,2,2036,0.036
GLOBAL,LDSINDNO01,2,1,2,2037,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2038,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2039,0.036
GLOBAL,LDSINDNO01,2,1,2,2040,0.036
GLOBAL,LDSINDNO01,2,1,2,2041,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2042,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2043,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2044,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2045,0.036
GLOBAL,LDSINDNO01,2,1,2,2046,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2047,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2048,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2049,0.036
GLOBAL,LDSINDNO01,2,1,2,2050,0.036
GLOBAL,LDSINDNO01,2,1,3,2031,-0.0120449109434349
GLOBAL,LDSINDNO01,2,1,3,2032,-0.0120449109432771
GLOBAL,LDSINDNO01,2,1,3,2033,-0.0120449109433942
GLOBAL,LDSINDNO01,2,1,3,2034,-0.0104706324306978
GLOBAL,LDSINDNO01,2,1,3,2035,-0.0104706324306978
GLOBAL,LDSINDNO01,2,1,3,2036,-0.0104706388871846
GLOBAL,LDSINDNO01,2,1,3,2037,-0.0104706389920421
GLOBAL,LDSINDNO01,2,1,3,2038,-0.0104707728901255
GLOBAL,LDSINDNO01,2,1,3,2039,-0.0104706388868026
GLOBAL,LDSINDNO01,2,1,3,2040,-0.0104706388871846
GLOBAL,LDSINDNO01,2,1,4,2030,-0.0351148912894963
GLOBAL,LDSINDNO01,2,1,4,2031,-0.023955089056565
GLOBAL,LDSINDNO01,2,1,4,2032,-0.0239550890567228
GLOBAL,LDSINDNO01,2,1,4,2033,-0.0239550890566057
GLOBAL,LDSINDNO01,2,1,4,2034,-0.0255293675693021
GLOBAL,LDSINDNO01,2,1,4,2035,-0.0255293675693021
GLOBAL,LDSINDNO01,2,1,4,2036,-0.0255293611128153
GLOBAL,LDSINDNO01,2,1,4,2037,-0.0255293610079578
GLOBAL,LDSINDNO01,2,1,4,2038,-0.0255292206540617
GLOBAL,LDSINDNO01,2,1,4,2039,-0.0255293611131973
GLOBAL,LDSINDNO01,2,1,4,2040,-0.0255293611128153
GLOBAL,LDSINDNO01,2,1,4,2041,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2042,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2043,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2044,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2045,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2046,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2047,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2048,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2049,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2050,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,5,2034,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2035,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2041,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,5,2042,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2043,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2044,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,5,2045,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2046,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,5,2047,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,5,2048,6.4558126951913525e-09
GLOBAL,LDSINDNO01,2,1,5,2049,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2050,6.455812696926076e-09
