REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2023,22.360155623999997
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2024,23.876510778
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2025,25.495686521999996
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2026,27.22469454
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2027,29.070912798
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2028,31.042347174
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2029,33.147526806
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2030,35.39539944
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2031,37.290542508
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2032,39.28714569000001
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2033,41.39065089
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2034,43.606761641999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2035,45.941547762
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2036,48.40134069599999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2037,50.99278584599999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2038,53.723104199999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2039,56.599464420000004
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2040,59.630186339999995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2041,62.822595599999985
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2042,65.50221006
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2043,68.29641846
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2044,71.20993013999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2045,74.24745444000001
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2046,77.41474721999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2047,80.71704107999999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2048,84.16009187999998
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2049,87.74965548
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2050,91.49305752000001
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2023,0.9669890026304638
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2024,1.0336038005894517
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2025,1.4909935782122674
