REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2023,362.73044617481014
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2024,387.3290308545844
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2025,413.59558954642785
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2026,441.64386704302126
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2027,471.5935500291999
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2028,503.57451129063656
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2029,537.725112030368
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2030,574.1905041853222
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2031,604.9338541950556
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2032,637.3231083317113
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2033,671.446546135877
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2034,707.3966913568231
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2035,745.2720096359744
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2036,785.1752108234377
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2037,827.2140978197391
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2038,871.5058107845045
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2039,918.1666410356239
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2040,967.3315544091881
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2041,1019.1193887482965
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2042,1062.5885740704691
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2043,1107.9167227954058
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2044,1155.1802306793847
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2045,1204.4554934786843
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2046,1255.8358837843098
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2047,1309.4062857699046
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2048,1365.2600720264743
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2049,1423.4906151450264
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2050,1484.216752968659
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2023,15.686668655999998
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2024,16.76730583008
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2025,24.187164658559915
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2026,25.4246685192
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2027,29.3366525544
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2028,33.70503472704
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2029,23.278559716733582
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2030,62.3464386336
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2031,64.32502461840001
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2032,66.5166394368
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2033,68.94129488832
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2034,71.62029385631999
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2035,88.47410230368001
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2036,91.73667116736
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2037,95.37674613408
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2038,99.38090674368
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2039,103.78143009216
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2040,108.61252990128
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2041,114.12080318448
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2042,120.3753229272
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2043,127.4554907856
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2044,135.39694748544
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2045,144.34415849664003
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2046,154.87230166992
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2047,167.16148320096
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2048,181.40536566576
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2049,197.15594297184
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX03,2050,197.15594297184
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2023,725.8801933386607
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2024,856.881184735535
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2025,750.7046167397468
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2026,883.7631106117311
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2027,982.7353205359196
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2028,1065.5133184719125
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2029,1159.2350314772737
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2030,1204.8889351132125
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2031,1272.4379081288198
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2032,1322.0904105621464
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2033,1371.742912995473
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2034,1421.3954154288
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2035,1511.8297221938135
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2036,1561.4822246271403
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2037,1622.8079316642643
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2038,1739.459440996385
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2039,1836.0781826619402
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2040,1935.0222720242566
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2041,2031.1150506810543
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2042,2038.399262499993
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2043,2058.6860221881198
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2044,2107.7223216196317
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA03,2045,2281.659903412435
