REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2023,201.60267836681015
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2024,131.7181431754685
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2025,301.705889616
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2026,227.247501456
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2027,202.96813585384888
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2028,198.24140419819503
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2029,193.56571791703996
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2030,214.79220455405945
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2031,202.3693027261564
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2032,212.98247350445357
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2033,199.27700309255223
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2034,235.08961245584447
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2035,258.18769710532246
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2036,287.34280001850755
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2037,284.985862101163
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2038,320.61134279003863
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2039,327.36589563206394
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2040,334.07080083526927
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2041,345.4938109723561
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2042,442.6323345937572
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2043,531.4737740263566
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2044,596.8832221930837
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2045,543.2753433779858
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2046,416.82358760934153
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2047,441.7965336332928
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2048,424.7110137353268
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2049,427.44471113402017
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2050,537.4089330413216
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2023,161.12776780800002
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2024,255.6108876791159
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2025,111.88969993042788
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2026,214.39636558702125
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2027,268.625414175351
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2028,305.33310709244154
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2029,344.15939411332806
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2030,359.3982996312628
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2031,402.56455146889914
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2032,424.3406348272577
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2033,472.1695430433248
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2034,472.3070789009786
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2035,487.0843125306519
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2036,497.83241080493013
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2037,542.2282357185761
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2038,550.8944679944659
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2039,590.80074540356
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2040,633.2607535739189
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2041,673.6255777759404
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2042,619.956239476712
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2043,576.4429487690492
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2044,558.2970084863009
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2045,661.1801501006984
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2046,839.0122961749681
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2047,867.6097521366116
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2048,940.5490582911475
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2049,996.0459040110062
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2050,946.8078199273373
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2023,15.686668655999998
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2024,16.76730583008
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2025,24.187164658559915
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2026,25.4246685192
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2027,29.3366525544
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2028,33.70503472704
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2029,23.278559716733582
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2030,62.3464386336
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2031,64.32502461840001
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2032,66.5166394368
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2033,68.94129488832
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2034,71.62029385631999
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2035,88.47410230368001
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2036,91.73667116736
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2037,95.37674613408
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2038,99.38090674368
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2039,103.78143009216
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2040,108.61252990128
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2041,114.12080318448
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2042,120.3753229272
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2043,127.4554907856
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2044,135.39694748544
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2045,144.34415849664003
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2046,154.87230166992
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2047,167.16148320096
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2048,181.40536566576
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2049,197.15594297184
GLOBAL,S1D1,DSPTRNBTNXX,ELCBTNXX02,2050,197.15594297184
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2023,725.8801933386607
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2024,856.881184735535
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2025,745.6950199668095
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2026,878.4871550505123
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2027,974.6710200412502
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2028,1054.2894071301575
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2029,1159.2350314772737
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2030,1178.1448551802157
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2031,1254.6318069282718
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2032,1311.2154295935804
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2033,1327.9249577440803
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2034,1388.0231401797264
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2035,1511.8297221938135
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2036,1557.9459120392798
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2037,1622.8079316642643
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2038,1739.459440996385
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2039,1800.4442985972505
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2040,1789.9955274238823
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2041,1778.4100411305146
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2042,1792.5378856746738
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2043,1828.3723826745197
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2044,1877.4086821060316
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2045,1939.8604521310367
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2046,1996.220016129164
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2047,2078.6268040038217
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2048,2065.648388457239
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2049,2065.4509914820173
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA02,2050,2032.1030057141625
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2025,5.009596772937312
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2026,5.275955561218737
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2027,8.064300494669418
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2028,11.223911341755052
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2030,26.74407993299677
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2031,17.806101200547943
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2032,10.874980968565998
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2033,43.81795525139282
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2034,33.37227524907371
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2036,3.5363125878603965
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2039,35.63388406468965
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2040,145.0267446003743
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2041,252.70500955053967
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2042,245.8613768253192
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2043,230.3136395136
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2044,230.3136395136
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2045,341.79945128139843
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2046,535.6865762354712
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2047,549.6867823647625
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2048,589.8537243957207
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2049,677.4923239210691
GLOBAL,S1D1,DSPTRNINDEA,ELCINDEA04,2050,802.2650940961654
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2023,38.35485466615668
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2024,40.48696421733906
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2025,42.69773305605905
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2026,55.84909400424405
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2027,58.34704782018508
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2028,61.00556127664787
GLOBAL,S1D1,DSPTRNINDNE,ELCINDNE02,2029,64.32273522376883
