REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D1,201.60267836681015
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D2,245.14273411211607
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D3,288.64245748562143
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D4,293.60585999032594
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D5,209.0061893654476
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D1,277.9823291228407
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D2,255.32864585138103
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D3,440.04412318591136
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D4,476.023810176
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D5,420.52913134967866
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D1,319.6155675836852
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D2,272.04001257791094
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D3,294.23038848313706
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D4,343.22623879787346
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D5,294.71620476326444
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D1,238.73482772585507
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D2,226.31347708090047
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D3,276.58783544714606
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D4,282.5196592042783
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D5,227.41275147109812
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D1,131.7181431754685
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D2,179.40923813849955
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D3,220.78097845929048
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D4,225.0179512917822
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D5,140.82209166992052
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D1,214.47585204780196
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D2,190.28590802917236
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D3,454.31745052972656
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D4,477.8995714560001
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D5,437.7162095305042
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D1,252.79150860186215
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D2,206.9321889873755
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D3,229.3677501933866
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D4,278.00333875193064
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D5,229.165205616
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D1,171.36841123665917
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D2,158.10470603090263
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D3,211.7884227086295
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D4,218.1225134122893
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D5,159.27852777288382
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D1,301.705889616
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D2,208.82868195961905
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D3,301.36919238729047
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D4,264.0877188842478
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D5,302.02891286400006
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D1,301.518723456
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D2,292.39028176132416
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D3,444.38187483745463
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D4,479.775332736
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D5,436.59192374040254
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D1,311.66069475843017
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D2,239.49772521631203
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D3,264.7998240656483
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D4,314.5253463630454
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D5,312.118761456
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D1,308.973392352
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D2,352.058952160553
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D3,308.5873665698716
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D4,308.920474944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D5,309.04292923200006
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D1,227.247501456
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D2,347.6931373929989
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D3,302.45824431415537
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D4,303.130528416
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D5,195.81165262952817
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D1,302.888647296
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D2,252.64560825855975
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D3,420.4044981463296
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D4,481.65109401600006
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D5,428.2352702679514
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D1,324.77745790896336
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D2,271.83156496149843
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D3,317.1837864665376
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D4,353.5247225747206
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D5,299.403715968475
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D1,311.493118752
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D2,216.41931040248076
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D3,310.95795387046604
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D4,311.414341824
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D5,311.574954672
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D1,202.96813585384888
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D2,259.5754862263691
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D3,311.18782541847884
