REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,2032,1.0443278739523389e-07
GLOBAL,LDSINDEA01,1,1,2035,1.0443278739523389e-07
GLOBAL,LDSINDEA01,1,1,2037,1.0443278739523389e-07
GLOBAL,LDSINDEA01,1,1,2048,1.0094622028208877e-07
GLOBAL,LDSINDEA01,2,1,2032,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,2035,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,2037,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,2038,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2039,3.486138855328913e-09
GLOBAL,LDSINDEA01,2,1,2040,3.4861388558890534e-09
GLOBAL,LDSINDEA01,2,1,2041,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2042,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2043,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2044,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2045,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2046,3.4861388558890534e-09
GLOBAL,LDSINDEA01,2,1,2047,3.4861388558890534e-09
GLOBAL,LDSINDEA01,2,1,2048,1.0443235913884521e-07
GLOBAL,LDSINDEA01,2,1,2049,3.486138856756415e-09
GLOBAL,LDSINDEA01,2,1,2050,3.486138856756415e-09
GLOBAL,LDSINDEA01,3,1,2030,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2033,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2034,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2036,-1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2039,-1.0094664854077233e-07
GLOBAL,LDSINDEA01,3,1,2041,-1.0094663424183642e-07
GLOBAL,LDSINDEA01,3,1,2042,-1.0094664853934483e-07
GLOBAL,LDSINDEA01,3,1,2043,-1.0094664853847747e-07
GLOBAL,LDSINDEA01,3,1,2044,-1.0094664853847747e-07
GLOBAL,LDSINDEA01,3,1,2045,-1.0094664853847747e-07
GLOBAL,LDSINDEA01,3,1,2046,-1.0094663424348865e-07
GLOBAL,LDSINDEA01,3,1,2047,-1.0094663424348865e-07
GLOBAL,LDSINDEA01,3,1,2049,-1.0094664853847747e-07
GLOBAL,LDSINDEA01,4,1,2032,1.0443278739523389e-07
GLOBAL,LDSINDEA01,4,1,2035,1.0443278739523387e-07
GLOBAL,LDSINDEA01,4,1,2037,1.0443278739523389e-07
GLOBAL,LDSINDEA01,4,1,2046,-7.775999480083563e-08
GLOBAL,LDSINDEA01,4,1,2047,-7.775999480257034e-08
GLOBAL,LDSINDEA01,4,1,2048,1.0094622028321269e-07
GLOBAL,LDSINDNO01,1,1,2037,-6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2034,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2035,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2036,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2038,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2039,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2040,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2041,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2042,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2043,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2044,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2045,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2046,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2047,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2048,6.455812695191353e-09
GLOBAL,LDSINDNO01,2,1,2049,6.455812695191353e-09
