REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,2023,427.32357267599997
GLOBAL,DSPTRNBGDXX,2024,456.302543697
GLOBAL,DSPTRNBGDXX,2025,487.246512753
GLOBAL,DSPTRNBGDXX,2026,520.28947971
GLOBAL,DSPTRNBGDXX,2027,555.572444427
GLOBAL,DSPTRNBGDXX,2028,593.2702904140823
GLOBAL,DSPTRNBGDXX,2029,633.5068630662
GLOBAL,DSPTRNBGDXX,2030,676.4393235599999
GLOBAL,DSPTRNBGDXX,2031,713.8709041573402
GLOBAL,DSPTRNBGDXX,2032,762.2566488094218
GLOBAL,DSPTRNBGDXX,2033,818.0234151834599
GLOBAL,DSPTRNBGDXX,2034,866.6964697025807
GLOBAL,DSPTRNBGDXX,2035,906.7054421328806
GLOBAL,DSPTRNBGDXX,2036,948.5856877088844
GLOBAL,DSPTRNBGDXX,2037,994.7212470138969
GLOBAL,DSPTRNBGDXX,2038,1044.0022342299505
GLOBAL,DSPTRNBGDXX,2039,1125.9814759994595
GLOBAL,DSPTRNBGDXX,2040,1180.6780908327223
GLOBAL,DSPTRNBGDXX,2041,1238.3107463289348
GLOBAL,DSPTRNBGDXX,2042,1292.8891686441432
GLOBAL,DSPTRNBGDXX,2043,1349.5854506075361
GLOBAL,DSPTRNBGDXX,2044,1402.3232635333893
GLOBAL,DSPTRNBGDXX,2045,1454.101877065329
GLOBAL,DSPTRNBGDXX,2046,1504.4021163624695
GLOBAL,DSPTRNBGDXX,2047,1562.084053822633
GLOBAL,DSPTRNBGDXX,2048,1624.5004496284735
GLOBAL,DSPTRNBGDXX,2049,1690.6265505394085
GLOBAL,DSPTRNBGDXX,2050,1760.7462179390418
GLOBAL,DSPTRNBTNXX,2023,38.06604977765772
GLOBAL,DSPTRNBTNXX,2024,40.97041413716708
GLOBAL,DSPTRNBTNXX,2025,57.12397612268172
GLOBAL,DSPTRNBTNXX,2026,60.66357384694728
GLOBAL,DSPTRNBTNXX,2027,69.98198667141119
GLOBAL,DSPTRNBTNXX,2028,80.3024337264312
GLOBAL,DSPTRNBTNXX,2029,84.70354138689294
GLOBAL,DSPTRNBTNXX,2030,146.02914386521346
GLOBAL,DSPTRNBTNXX,2031,151.15895154101506
GLOBAL,DSPTRNBTNXX,2032,156.76956583923413
GLOBAL,DSPTRNBTNXX,2033,162.9061534425826
GLOBAL,DSPTRNBTNXX,2034,169.61679501330238
GLOBAL,DSPTRNBTNXX,2035,208.32001784172874
GLOBAL,DSPTRNBTNXX,2036,216.34777815991941
GLOBAL,DSPTRNBTNXX,2037,228.3240776902864
GLOBAL,DSPTRNBTNXX,2038,241.65289149813717
GLOBAL,DSPTRNBTNXX,2039,252.94294863696157
GLOBAL,DSPTRNBTNXX,2040,265.3994180643654
GLOBAL,DSPTRNBTNXX,2041,278.3506121088967
GLOBAL,DSPTRNBTNXX,2042,294.95122675291
GLOBAL,DSPTRNBTNXX,2043,309.11207137767997
GLOBAL,DSPTRNBTNXX,2044,327.78758725564984
GLOBAL,DSPTRNBTNXX,2045,348.83710407820166
GLOBAL,DSPTRNBTNXX,2046,372.5137968247674
GLOBAL,DSPTRNBTNXX,2047,400.1386030560563
GLOBAL,DSPTRNBTNXX,2048,430.1468961403237
