REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2023,12.427595505243644
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2024,8.11963321790858
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2025,18.5983578594887
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2026,14.008444979753664
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2027,12.51176776657466
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2028,12.220393120393533
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2029,11.93216511527801
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2030,13.24065065753044
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2031,12.474853297251185
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2032,13.129091596708536
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2033,12.28423157863729
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2034,14.491864070228075
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2035,15.915722400360497
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2036,17.712959564340878
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2037,17.56766848336409
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2038,19.76376561494914
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2039,20.18014327034295
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2040,20.59346044668934
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2041,21.297620483579916
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2042,27.28562763369757
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2043,32.76216932608073
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2044,36.79426934887045
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2045,33.48966526719256
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2046,25.694673234590248
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2047,27.2341055192907
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2048,26.180885730700485
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2049,26.349401773145537
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX02,2050,33.12803626839923
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2023,9.932560118756353
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2024,15.75687756009142
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2025,6.897328662511296
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2026,13.216249560246338
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2027,16.559145031425338
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2028,18.821954053606465
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2029,21.215361690721995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2030,22.15474878246956
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2031,24.81568921074882
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2032,26.158054093291472
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2033,29.10641931136271
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2034,29.114897571771923
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX04,2035,30.025825361639505
