REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBGDXX,2023,0.0
GLOBAL,PWRBIOBGDXX,2024,0.0
GLOBAL,PWRBIOBGDXX,2025,0.0
GLOBAL,PWRBIOBGDXX,2026,0.0
GLOBAL,PWRBIOBGDXX,2027,0.0
GLOBAL,PWRBIOBGDXX,2028,0.0
GLOBAL,PWRBIOBGDXX,2029,0.0
GLOBAL,PWRBIOBGDXX,2030,0.0
GLOBAL,PWRBIOBGDXX,2031,0.0
GLOBAL,PWRBIOBGDXX,2032,0.0
GLOBAL,PWRBIOBGDXX,2033,0.0
GLOBAL,PWRBIOBGDXX,2034,0.0
GLOBAL,PWRBIOBGDXX,2035,0.0
GLOBAL,PWRBIOBGDXX,2036,0.0
GLOBAL,PWRBIOBGDXX,2037,0.0
GLOBAL,PWRBIOBGDXX,2038,0.0
GLOBAL,PWRBIOBGDXX,2039,0.0
GLOBAL,PWRBIOBGDXX,2040,0.0
GLOBAL,PWRBIOBGDXX,2041,0.0
GLOBAL,PWRBIOBGDXX,2042,0.0
GLOBAL,PWRBIOBGDXX,2043,0.0
GLOBAL,PWRBIOBGDXX,2044,0.0
GLOBAL,PWRBIOBGDXX,2045,0.0
GLOBAL,PWRBIOBGDXX,2046,0.0
GLOBAL,PWRBIOBGDXX,2047,0.0
GLOBAL,PWRBIOBGDXX,2048,0.0
GLOBAL,PWRBIOBGDXX,2049,0.0
GLOBAL,PWRBIOBGDXX,2050,0.0
GLOBAL,PWRBIOINDEA,2023,0.0
GLOBAL,PWRBIOINDEA,2024,0.0
GLOBAL,PWRBIOINDEA,2025,0.0
GLOBAL,PWRBIOINDEA,2026,0.0
GLOBAL,PWRBIOINDEA,2027,0.0
GLOBAL,PWRBIOINDEA,2028,0.0
GLOBAL,PWRBIOINDEA,2029,0.0
GLOBAL,PWRBIOINDEA,2030,0.0
GLOBAL,PWRBIOINDEA,2031,0.0
GLOBAL,PWRBIOINDEA,2032,0.0
GLOBAL,PWRBIOINDEA,2033,0.0
GLOBAL,PWRBIOINDEA,2034,0.0
GLOBAL,PWRBIOINDEA,2035,0.0
GLOBAL,PWRBIOINDEA,2036,0.0
GLOBAL,PWRBIOINDEA,2037,0.0
GLOBAL,PWRBIOINDEA,2038,0.0
GLOBAL,PWRBIOINDEA,2039,0.0
GLOBAL,PWRBIOINDEA,2040,0.0
GLOBAL,PWRBIOINDEA,2041,0.0
GLOBAL,PWRBIOINDEA,2042,0.0
GLOBAL,PWRBIOINDEA,2043,0.0
GLOBAL,PWRBIOINDEA,2044,0.0
GLOBAL,PWRBIOINDEA,2045,0.0
GLOBAL,PWRBIOINDEA,2046,0.0
GLOBAL,PWRBIOINDEA,2047,0.0
GLOBAL,PWRBIOINDEA,2048,0.0
GLOBAL,PWRBIOINDEA,2049,0.0
GLOBAL,PWRBIOINDEA,2050,0.0
GLOBAL,PWRBIOINDNE,2023,0.0
GLOBAL,PWRBIOINDNE,2024,0.0
GLOBAL,PWRBIOINDNE,2025,0.0
GLOBAL,PWRBIOINDNE,2026,0.0
GLOBAL,PWRBIOINDNE,2027,0.0
GLOBAL,PWRBIOINDNE,2028,0.0
GLOBAL,PWRBIOINDNE,2029,0.0
GLOBAL,PWRBIOINDNE,2030,0.0
GLOBAL,PWRBIOINDNE,2031,0.0
GLOBAL,PWRBIOINDNE,2032,0.0
GLOBAL,PWRBIOINDNE,2033,0.0
GLOBAL,PWRBIOINDNE,2034,0.0
GLOBAL,PWRBIOINDNE,2035,0.0
GLOBAL,PWRBIOINDNE,2036,0.0
GLOBAL,PWRBIOINDNE,2037,0.0
GLOBAL,PWRBIOINDNE,2038,0.0
GLOBAL,PWRBIOINDNE,2039,0.0
GLOBAL,PWRBIOINDNE,2040,0.0
GLOBAL,PWRBIOINDNE,2041,0.0
GLOBAL,PWRBIOINDNE,2042,0.0
GLOBAL,PWRBIOINDNE,2043,0.0
GLOBAL,PWRBIOINDNE,2044,0.0
GLOBAL,PWRBIOINDNE,2045,0.0
GLOBAL,PWRBIOINDNE,2046,0.0
GLOBAL,PWRBIOINDNE,2047,0.0
GLOBAL,PWRBIOINDNE,2048,0.0
GLOBAL,PWRBIOINDNE,2049,0.0
GLOBAL,PWRBIOINDNE,2050,0.0
GLOBAL,PWRBIOINDNO,2023,0.0
GLOBAL,PWRBIOINDNO,2024,0.0
GLOBAL,PWRBIOINDNO,2025,0.0
GLOBAL,PWRBIOINDNO,2026,0.0
GLOBAL,PWRBIOINDNO,2027,0.0
GLOBAL,PWRBIOINDNO,2028,0.0
GLOBAL,PWRBIOINDNO,2029,0.0
GLOBAL,PWRBIOINDNO,2030,0.0
GLOBAL,PWRBIOINDNO,2031,0.0
GLOBAL,PWRBIOINDNO,2032,0.0
GLOBAL,PWRBIOINDNO,2033,0.0
GLOBAL,PWRBIOINDNO,2034,0.0
GLOBAL,PWRBIOINDNO,2035,0.0
GLOBAL,PWRBIOINDNO,2036,0.0
GLOBAL,PWRBIOINDNO,2037,0.0
GLOBAL,PWRBIOINDNO,2038,0.0
GLOBAL,PWRBIOINDNO,2039,0.0
GLOBAL,PWRBIOINDNO,2040,0.0
GLOBAL,PWRBIOINDNO,2041,0.0
GLOBAL,PWRBIOINDNO,2042,0.0
GLOBAL,PWRBIOINDNO,2043,0.0
GLOBAL,PWRBIOINDNO,2044,0.0
GLOBAL,PWRBIOINDNO,2045,0.0
GLOBAL,PWRBIOINDNO,2046,0.0
GLOBAL,PWRBIOINDNO,2047,0.0
GLOBAL,PWRBIOINDNO,2048,0.0
GLOBAL,PWRBIOINDNO,2049,0.0
GLOBAL,PWRBIOINDNO,2050,0.0
GLOBAL,PWRBIOINDSO,2023,0.0
GLOBAL,PWRBIOINDSO,2024,0.0
GLOBAL,PWRBIOINDSO,2025,0.0
GLOBAL,PWRBIOINDSO,2026,0.0
GLOBAL,PWRBIOINDSO,2027,0.0
GLOBAL,PWRBIOINDSO,2028,0.0
GLOBAL,PWRBIOINDSO,2029,0.0
GLOBAL,PWRBIOINDSO,2030,0.0
GLOBAL,PWRBIOINDSO,2031,0.0
GLOBAL,PWRBIOINDSO,2032,0.0
GLOBAL,PWRBIOINDSO,2033,0.0
GLOBAL,PWRBIOINDSO,2034,0.0
GLOBAL,PWRBIOINDSO,2035,0.0
GLOBAL,PWRBIOINDSO,2036,0.0
GLOBAL,PWRBIOINDSO,2037,0.0
GLOBAL,PWRBIOINDSO,2038,0.0
GLOBAL,PWRBIOINDSO,2039,0.0
GLOBAL,PWRBIOINDSO,2040,0.0
GLOBAL,PWRBIOINDSO,2041,0.0
GLOBAL,PWRBIOINDSO,2042,0.0
GLOBAL,PWRBIOINDSO,2043,0.0
GLOBAL,PWRBIOINDSO,2044,0.0
GLOBAL,PWRBIOINDSO,2045,0.0
GLOBAL,PWRBIOINDSO,2046,0.0
GLOBAL,PWRBIOINDSO,2047,0.0
