Future,Scenario,REGION,YEAR,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,TIMESLICE,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,AvailabilityFactor,CapacityFactor,CapacityToActivityUnit,CapitalCost,CapitalCostStorage,Conversionld,Conversionlh,Conversionls,DaySplit,EmissionActivityRatio,FixedCost,InputActivityRatio,OperationalLife,OperationalLifeStorage,OutputActivityRatio,ReserveMargin,ReserveMarginTagFuel,ReserveMarginTagTechnology,ResidualCapacity,ResidualStorageCapacity,SpecifiedAnnualDemand,SpecifiedDemandProfile,StorageLevelStart,TechnologyFromStorage,TechnologyToStorage,TotalAnnualMaxCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,VariableCost,YearSplit
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,ELCBGDXX02,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,ELCBGDXX04,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,ELCBGDXX03,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,ELCBGDXX03,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2023.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,ELCBGDXX02,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,ELCBGDXX04,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,ELCBGDXX03,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,ELCBGDXX03,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2024.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,ELCBGDXX02,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,ELCBGDXX04,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,ELCBGDXX03,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,ELCBGDXX03,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2025.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,
0,BAU,GLOBAL,2026.0,DSPTRNBGDXX,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BAU,GLOBAL,2026.0,DSPTRNBGDXX,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
