YEAR,Scenario,value,metric
2023,A-CalBAU,130.76357418059973,A1_annual_cost_USD_B
2024,A-CalBAU,142.56790734860837,A1_annual_cost_USD_B
2025,A-CalBAU,172.88669948716955,A1_annual_cost_USD_B
2026,A-CalBAU,145.5009757272849,A1_annual_cost_USD_B
2027,A-CalBAU,116.79274997569557,A1_annual_cost_USD_B
2028,A-CalBAU,113.7895201026282,A1_annual_cost_USD_B
2029,A-CalBAU,113.7220083238808,A1_annual_cost_USD_B
2030,A-CalBAU,99.61535030712476,A1_annual_cost_USD_B
2031,A-CalBAU,89.81020195737894,A1_annual_cost_USD_B
2032,A-CalBAU,93.88994132710768,A1_annual_cost_USD_B
2033,A-CalBAU,87.0240103622374,A1_annual_cost_USD_B
2034,A-CalBAU,84.86964746026723,A1_annual_cost_USD_B
2035,A-CalBAU,82.38062032146254,A1_annual_cost_USD_B
2036,A-CalBAU,74.37296818207624,A1_annual_cost_USD_B
2037,A-CalBAU,71.28634039874711,A1_annual_cost_USD_B
2038,A-CalBAU,66.86092325150855,A1_annual_cost_USD_B
2039,A-CalBAU,62.57209938303773,A1_annual_cost_USD_B
2040,A-CalBAU,58.57118041184171,A1_annual_cost_USD_B
2041,A-CalBAU,54.687572617506476,A1_annual_cost_USD_B
2042,A-CalBAU,51.71497422151134,A1_annual_cost_USD_B
2043,A-CalBAU,48.47208767069923,A1_annual_cost_USD_B
2044,A-CalBAU,45.39635774799532,A1_annual_cost_USD_B
2045,A-CalBAU,42.49469934692195,A1_annual_cost_USD_B
2046,A-CalBAU,39.722634316638405,A1_annual_cost_USD_B
2047,A-CalBAU,37.341923135674186,A1_annual_cost_USD_B
2048,A-CalBAU,34.75846750603503,A1_annual_cost_USD_B
2049,A-CalBAU,32.35215464875877,A1_annual_cost_USD_B
2050,A-CalBAU,30.228895886163777,A1_annual_cost_USD_B
2023,B-OptVRE,134.53084761401482,A1_annual_cost_USD_B
2024,B-OptVRE,145.33128791124568,A1_annual_cost_USD_B
2025,B-OptVRE,174.70667109612293,A1_annual_cost_USD_B
2026,B-OptVRE,152.24321134273117,A1_annual_cost_USD_B
2027,B-OptVRE,129.49185255053385,A1_annual_cost_USD_B
2028,B-OptVRE,130.66826513898533,A1_annual_cost_USD_B
2029,B-OptVRE,122.21935917944192,A1_annual_cost_USD_B
2030,B-OptVRE,106.07402373418202,A1_annual_cost_USD_B
2031,B-OptVRE,93.21493604920009,A1_annual_cost_USD_B
2032,B-OptVRE,95.26270097332409,A1_annual_cost_USD_B
2033,B-OptVRE,87.13806031990791,A1_annual_cost_USD_B
2034,B-OptVRE,82.45449924781067,A1_annual_cost_USD_B
2035,B-OptVRE,84.09862895713708,A1_annual_cost_USD_B
2036,B-OptVRE,71.7203469243025,A1_annual_cost_USD_B
2037,B-OptVRE,68.78065080338679,A1_annual_cost_USD_B
2038,B-OptVRE,64.97822129578681,A1_annual_cost_USD_B
2039,B-OptVRE,61.51851980828341,A1_annual_cost_USD_B
2040,B-OptVRE,58.21700461031716,A1_annual_cost_USD_B
2041,B-OptVRE,56.92104414864652,A1_annual_cost_USD_B
2042,B-OptVRE,55.174405187567785,A1_annual_cost_USD_B
2043,B-OptVRE,52.953992383632084,A1_annual_cost_USD_B
2044,B-OptVRE,49.32575828937432,A1_annual_cost_USD_B
2045,B-OptVRE,45.81261489041458,A1_annual_cost_USD_B
2046,B-OptVRE,42.31550543211845,A1_annual_cost_USD_B
2047,B-OptVRE,38.373566528632956,A1_annual_cost_USD_B
2048,B-OptVRE,34.27437462948475,A1_annual_cost_USD_B
2049,B-OptVRE,30.90568465629074,A1_annual_cost_USD_B
2050,B-OptVRE,27.64289869038657,A1_annual_cost_USD_B
2023,A-CalBAU,130.76357418059973,A2_cumulative_cost_USD_B
2024,A-CalBAU,273.3314815292081,A2_cumulative_cost_USD_B
2025,A-CalBAU,446.2181810163776,A2_cumulative_cost_USD_B
