REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGMDVXX00,31.536
GLOBAL,PWROCGMDVXX00,31.536
GLOBAL,PWRHYDMDVXX01,31.536
GLOBAL,PWROILMDVXX01,31.536
GLOBAL,PWRSPVMDVXX01,31.536
GLOBAL,PWROTHMDVXX01,31.536
GLOBAL,PWRCSPMDVXX01,31.536
GLOBAL,PWRBIOMDVXX01,31.536
GLOBAL,PWRCOAMDVXX01,31.536
GLOBAL,PWRURNMDVXX01,31.536
GLOBAL,PWRWONMDVXX01,31.536
GLOBAL,PWRWASMDVXX01,31.536
GLOBAL,PWRWOFMDVXX01,31.536
GLOBAL,PWRWAVMDVXX01,31.536
GLOBAL,PWRPETMDVXX01,31.536
GLOBAL,PWRGEOMDVXX01,31.536
GLOBAL,PWRCOGMDVXX01,31.536
GLOBAL,PWRCCSMDVXX01,31.536
GLOBAL,PWRCCGMDVXX01,31.536
GLOBAL,PWROCGMDVXX01,31.536
GLOBAL,PWRBCKMDVXX,31.536
GLOBAL,PWRTRNMDVXX,31.536
GLOBAL,PWRSDSMDVXX01,31.536
GLOBAL,PWRLDSMDVXX01,31.536
GLOBAL,TRNLKAXXMDVXX,31.536
