REGION,FUEL,YEAR,VALUE
GLOBAL,ELCMDVXX02,2023,47.48
GLOBAL,ELCMDVXX02,2024,47.48
GLOBAL,ELCMDVXX02,2025,47.48
GLOBAL,ELCMDVXX02,2026,54.22
GLOBAL,ELCMDVXX02,2027,60.95
GLOBAL,ELCMDVXX02,2028,67.69
GLOBAL,ELCMDVXX02,2029,74.42
GLOBAL,ELCMDVXX02,2030,81.15
GLOBAL,ELCMDVXX02,2031,88.8
GLOBAL,ELCMDVXX02,2032,96.46
GLOBAL,ELCMDVXX02,2033,104.11
GLOBAL,ELCMDVXX02,2034,111.76
GLOBAL,ELCMDVXX02,2035,119.41
GLOBAL,ELCMDVXX02,2036,127.6
GLOBAL,ELCMDVXX02,2037,135.78
GLOBAL,ELCMDVXX02,2038,143.96
GLOBAL,ELCMDVXX02,2039,152.15
GLOBAL,ELCMDVXX02,2040,160.33
GLOBAL,ELCMDVXX02,2041,168.97
GLOBAL,ELCMDVXX02,2042,177.6
GLOBAL,ELCMDVXX02,2043,186.23
GLOBAL,ELCMDVXX02,2044,194.87
GLOBAL,ELCMDVXX02,2045,203.5
GLOBAL,ELCMDVXX02,2046,212.6
GLOBAL,ELCMDVXX02,2047,221.7
GLOBAL,ELCMDVXX02,2048,230.79
GLOBAL,ELCMDVXX02,2049,239.89
GLOBAL,ELCMDVXX02,2050,248.99
