REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDMDVXX01,2023,2.1005
GLOBAL,PWRHYDMDVXX01,2024,2.1005
GLOBAL,PWRHYDMDVXX01,2025,2.1005
GLOBAL,PWRHYDMDVXX01,2026,2.1005
GLOBAL,PWRHYDMDVXX01,2027,2.1005
GLOBAL,PWRHYDMDVXX01,2028,2.1005
GLOBAL,PWRHYDMDVXX01,2029,2.1005
GLOBAL,PWRHYDMDVXX01,2030,2.1005
GLOBAL,PWRHYDMDVXX01,2031,2.1005
GLOBAL,PWRHYDMDVXX01,2032,2.1005
GLOBAL,PWRHYDMDVXX01,2033,2.1005
GLOBAL,PWRHYDMDVXX01,2034,2.1005
GLOBAL,PWRHYDMDVXX01,2035,2.1005
GLOBAL,PWRHYDMDVXX01,2036,2.1005
GLOBAL,PWRHYDMDVXX01,2037,2.1005
GLOBAL,PWRHYDMDVXX01,2038,2.1005
GLOBAL,PWRHYDMDVXX01,2039,2.1005
GLOBAL,PWRHYDMDVXX01,2040,2.1005
GLOBAL,PWRHYDMDVXX01,2041,2.1005
GLOBAL,PWRHYDMDVXX01,2042,2.1005
GLOBAL,PWRHYDMDVXX01,2043,2.1005
GLOBAL,PWRHYDMDVXX01,2044,2.1005
GLOBAL,PWRHYDMDVXX01,2045,2.1005
GLOBAL,PWRHYDMDVXX01,2046,2.1005
GLOBAL,PWRHYDMDVXX01,2047,2.1005
GLOBAL,PWRHYDMDVXX01,2048,2.1005
GLOBAL,PWRHYDMDVXX01,2049,2.1005
GLOBAL,PWRHYDMDVXX01,2050,2.1005
GLOBAL,PWRCSPMDVXX01,2023,36.2002
GLOBAL,PWRCSPMDVXX01,2024,36.2002
GLOBAL,PWRCSPMDVXX01,2025,36.2002
GLOBAL,PWRCSPMDVXX01,2026,36.2002
GLOBAL,PWRCSPMDVXX01,2027,36.2002
GLOBAL,PWRCSPMDVXX01,2028,36.2002
GLOBAL,PWRCSPMDVXX01,2029,36.2002
GLOBAL,PWRCSPMDVXX01,2030,36.2002
GLOBAL,PWRCSPMDVXX01,2031,36.2002
GLOBAL,PWRCSPMDVXX01,2032,36.2002
GLOBAL,PWRCSPMDVXX01,2033,36.2002
GLOBAL,PWRCSPMDVXX01,2034,36.2002
GLOBAL,PWRCSPMDVXX01,2035,36.2002
GLOBAL,PWRCSPMDVXX01,2036,36.2002
GLOBAL,PWRCSPMDVXX01,2037,36.2002
GLOBAL,PWRCSPMDVXX01,2038,36.2002
GLOBAL,PWRCSPMDVXX01,2039,36.2002
GLOBAL,PWRCSPMDVXX01,2040,36.2002
GLOBAL,PWRCSPMDVXX01,2041,36.2002
GLOBAL,PWRCSPMDVXX01,2042,36.2002
GLOBAL,PWRCSPMDVXX01,2043,36.2002
GLOBAL,PWRCSPMDVXX01,2044,36.2002
GLOBAL,PWRCSPMDVXX01,2045,36.2002
GLOBAL,PWRCSPMDVXX01,2046,36.2002
GLOBAL,PWRCSPMDVXX01,2047,36.2002
GLOBAL,PWRCSPMDVXX01,2048,36.2002
GLOBAL,PWRCSPMDVXX01,2049,36.2002
GLOBAL,PWRCSPMDVXX01,2050,36.2002
GLOBAL,PWRSPVMDVXX01,2023,248.4202
GLOBAL,PWRSPVMDVXX01,2024,248.4202
GLOBAL,PWRSPVMDVXX01,2025,248.4202
GLOBAL,PWRSPVMDVXX01,2026,248.4202
GLOBAL,PWRSPVMDVXX01,2027,248.4202
GLOBAL,PWRSPVMDVXX01,2028,248.4202
GLOBAL,PWRSPVMDVXX01,2029,248.4202
GLOBAL,PWRSPVMDVXX01,2030,248.4202
GLOBAL,PWRSPVMDVXX01,2031,248.4202
GLOBAL,PWRSPVMDVXX01,2032,248.4202
GLOBAL,PWRSPVMDVXX01,2033,248.4202
GLOBAL,PWRSPVMDVXX01,2034,248.4202
GLOBAL,PWRSPVMDVXX01,2035,248.4202
GLOBAL,PWRSPVMDVXX01,2036,248.4202
GLOBAL,PWRSPVMDVXX01,2037,248.4202
GLOBAL,PWRSPVMDVXX01,2038,248.4202
GLOBAL,PWRSPVMDVXX01,2039,248.4202
GLOBAL,PWRSPVMDVXX01,2040,248.4202
GLOBAL,PWRSPVMDVXX01,2041,248.4202
GLOBAL,PWRSPVMDVXX01,2042,248.4202
GLOBAL,PWRSPVMDVXX01,2043,248.4202
GLOBAL,PWRSPVMDVXX01,2044,248.4202
GLOBAL,PWRSPVMDVXX01,2045,248.4202
GLOBAL,PWRSPVMDVXX01,2046,248.4202
GLOBAL,PWRSPVMDVXX01,2047,248.4202
GLOBAL,PWRSPVMDVXX01,2048,248.4202
GLOBAL,PWRSPVMDVXX01,2049,248.4202
GLOBAL,PWRSPVMDVXX01,2050,248.4202
GLOBAL,PWRWOFMDVXX01,2023,101.9002
GLOBAL,PWRWOFMDVXX01,2024,101.9002
GLOBAL,PWRWOFMDVXX01,2025,101.9002
GLOBAL,PWRWOFMDVXX01,2026,101.9002
GLOBAL,PWRWOFMDVXX01,2027,101.9002
GLOBAL,PWRWOFMDVXX01,2028,101.9002
GLOBAL,PWRWOFMDVXX01,2029,101.9002
GLOBAL,PWRWOFMDVXX01,2030,101.9002
GLOBAL,PWRWOFMDVXX01,2031,101.9002
GLOBAL,PWRWOFMDVXX01,2032,101.9002
GLOBAL,PWRWOFMDVXX01,2033,101.9002
GLOBAL,PWRWOFMDVXX01,2034,101.9002
