REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAMDV,2023,0.0
GLOBAL,MINCOAMDV,2024,0.0
GLOBAL,MINCOAMDV,2025,0.0
GLOBAL,MINCOAMDV,2026,0.0
GLOBAL,MINCOAMDV,2027,0.0
GLOBAL,MINCOAMDV,2028,0.0
GLOBAL,MINCOAMDV,2029,0.0
GLOBAL,MINCOAMDV,2030,0.0
GLOBAL,MINCOAMDV,2031,0.0
GLOBAL,MINCOAMDV,2032,0.0
GLOBAL,MINCOAMDV,2033,0.0
GLOBAL,MINCOAMDV,2034,0.0
GLOBAL,MINCOAMDV,2035,0.0
GLOBAL,MINCOAMDV,2036,0.0
GLOBAL,MINCOAMDV,2037,0.0
GLOBAL,MINCOAMDV,2038,0.0
GLOBAL,MINCOAMDV,2039,0.0
GLOBAL,MINCOAMDV,2040,0.0
GLOBAL,MINCOAMDV,2041,0.0
GLOBAL,MINCOAMDV,2042,0.0
GLOBAL,MINCOAMDV,2043,0.0
GLOBAL,MINCOAMDV,2044,0.0
GLOBAL,MINCOAMDV,2045,0.0
GLOBAL,MINCOAMDV,2046,0.0
GLOBAL,MINCOAMDV,2047,0.0
GLOBAL,MINCOAMDV,2048,0.0
GLOBAL,MINCOAMDV,2049,0.0
GLOBAL,MINCOAMDV,2050,0.0
GLOBAL,MINCOGMDV,2023,0.0
GLOBAL,MINCOGMDV,2024,0.0
GLOBAL,MINCOGMDV,2025,0.0
GLOBAL,MINCOGMDV,2026,0.0
GLOBAL,MINCOGMDV,2027,0.0
GLOBAL,MINCOGMDV,2028,0.0
GLOBAL,MINCOGMDV,2029,0.0
GLOBAL,MINCOGMDV,2030,0.0
GLOBAL,MINCOGMDV,2031,0.0
GLOBAL,MINCOGMDV,2032,0.0
GLOBAL,MINCOGMDV,2033,0.0
GLOBAL,MINCOGMDV,2034,0.0
GLOBAL,MINCOGMDV,2035,0.0
GLOBAL,MINCOGMDV,2036,0.0
GLOBAL,MINCOGMDV,2037,0.0
GLOBAL,MINCOGMDV,2038,0.0
GLOBAL,MINCOGMDV,2039,0.0
GLOBAL,MINCOGMDV,2040,0.0
GLOBAL,MINCOGMDV,2041,0.0
GLOBAL,MINCOGMDV,2042,0.0
GLOBAL,MINCOGMDV,2043,0.0
GLOBAL,MINCOGMDV,2044,0.0
GLOBAL,MINCOGMDV,2045,0.0
GLOBAL,MINCOGMDV,2046,0.0
GLOBAL,MINCOGMDV,2047,0.0
GLOBAL,MINCOGMDV,2048,0.0
GLOBAL,MINCOGMDV,2049,0.0
GLOBAL,MINCOGMDV,2050,0.0
GLOBAL,MINGASMDV,2023,0.0
GLOBAL,MINGASMDV,2024,0.0
GLOBAL,MINGASMDV,2025,0.0
GLOBAL,MINGASMDV,2026,0.0
GLOBAL,MINGASMDV,2027,0.0
GLOBAL,MINGASMDV,2028,0.0
GLOBAL,MINGASMDV,2029,0.0
GLOBAL,MINGASMDV,2030,0.0
GLOBAL,MINGASMDV,2031,0.0
GLOBAL,MINGASMDV,2032,0.0
GLOBAL,MINGASMDV,2033,0.0
GLOBAL,MINGASMDV,2034,0.0
GLOBAL,MINGASMDV,2035,0.0
GLOBAL,MINGASMDV,2036,0.0
GLOBAL,MINGASMDV,2037,0.0
GLOBAL,MINGASMDV,2038,0.0
GLOBAL,MINGASMDV,2039,0.0
GLOBAL,MINGASMDV,2040,0.0
GLOBAL,MINGASMDV,2041,0.0
GLOBAL,MINGASMDV,2042,0.0
GLOBAL,MINGASMDV,2043,0.0
GLOBAL,MINGASMDV,2044,0.0
GLOBAL,MINGASMDV,2045,0.0
GLOBAL,MINGASMDV,2046,0.0
GLOBAL,MINGASMDV,2047,0.0
GLOBAL,MINGASMDV,2048,0.0
GLOBAL,MINGASMDV,2049,0.0
GLOBAL,MINGASMDV,2050,0.0
GLOBAL,MINOILMDV,2023,0.0
GLOBAL,MINOILMDV,2024,0.0
GLOBAL,MINOILMDV,2025,0.0
GLOBAL,MINOILMDV,2026,0.0
GLOBAL,MINOILMDV,2027,0.0
GLOBAL,MINOILMDV,2028,0.0
GLOBAL,MINOILMDV,2029,0.0
GLOBAL,MINOILMDV,2030,0.0
GLOBAL,MINOILMDV,2031,0.0
GLOBAL,MINOILMDV,2032,0.0
GLOBAL,MINOILMDV,2033,0.0
GLOBAL,MINOILMDV,2034,0.0
GLOBAL,MINOILMDV,2035,0.0
