date,month,season,hour,Gas,Coal,Oil_HFO,Oil_HSD,Hydro,Solar,Wind,Import,demand_MW
2022-12-31,12,S1,0.0,4708.0,889.0,961.0,0.0,46.0,0.0,0.0,906.0,7510.0
2022-12-31,12,S1,0.5,4684.0,904.5,579.0,0.0,46.0,0.0,0.0,835.5,7049.0
2022-12-31,12,S1,1.0,4660.0,920.0,197.0,0.0,46.0,0.0,0.0,765.0,6588.0
2022-12-31,12,S1,1.5,4528.5,894.0,201.5,0.0,46.0,0.0,0.0,701.0,6371.0
2022-12-31,12,S1,2.0,4397.0,868.0,206.0,0.0,46.0,0.0,0.0,637.0,6154.0
2022-12-31,12,S1,2.5,4352.0,869.0,204.5,0.0,46.0,0.0,0.0,638.0,6109.5
2022-12-31,12,S1,3.0,4307.0,870.0,203.0,0.0,46.0,0.0,0.0,639.0,6065.0
2022-12-31,12,S1,3.5,4214.0,849.0,203.0,0.0,46.0,0.0,0.0,639.5,5951.5
2022-12-31,12,S1,4.0,4121.0,828.0,203.0,0.0,46.0,0.0,0.0,640.0,5838.0
2022-12-31,12,S1,4.5,4105.5,798.0,203.0,0.0,46.0,0.0,0.0,639.5,5792.0
2022-12-31,12,S1,5.0,4090.0,768.0,203.0,0.0,46.0,0.0,0.0,639.0,5746.0
2022-12-31,12,S1,5.5,4181.5,768.0,203.0,0.0,46.0,0.0,0.0,636.0,5834.5
2022-12-31,12,S1,6.0,4273.0,768.0,203.0,0.0,46.0,0.0,0.0,633.0,5923.0
2022-12-31,12,S1,6.5,4379.5,767.5,311.0,0.0,46.0,1.5,0.0,638.5,6144.0
2022-12-31,12,S1,7.0,4486.0,767.0,419.0,0.0,46.0,3.0,0.0,644.0,6365.0
2022-12-31,12,S1,7.5,4655.0,782.5,552.0,0.0,46.0,16.0,0.0,646.0,6697.5
2022-12-31,12,S1,8.0,4824.0,798.0,685.0,0.0,46.0,29.0,0.0,648.0,7030.0
2022-12-31,12,S1,8.5,4784.0,862.5,876.0,0.0,46.0,50.0,0.0,652.5,7271.0
2022-12-31,12,S1,9.0,4744.0,927.0,1067.0,0.0,46.0,71.0,0.0,657.0,7512.0
2022-12-31,12,S1,9.5,4613.5,948.0,1148.5,0.0,46.0,91.5,0.0,659.0,7506.5
2022-12-31,12,S1,10.0,4483.0,969.0,1230.0,0.0,46.0,112.0,0.0,661.0,7501.0
2022-12-31,12,S1,10.5,4383.5,943.5,1259.0,0.0,40.5,133.0,0.0,741.5,7501.0
2022-12-31,12,S1,11.0,4284.0,918.0,1288.0,0.0,35.0,154.0,0.0,822.0,7501.0
2022-12-31,12,S1,11.5,4409.5,924.0,1303.5,0.0,29.0,142.5,0.0,823.5,7632.0
