SEASON,HOUR,MW,DAYPART,SOURCE
S1,0,600.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,1,593.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,2,575.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,3,601.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,4,628.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,5,792.0,D1,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,6,895.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,7,985.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,8,882.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,9,871.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,10,846.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,11,818.0,D2,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,12,786.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,13,781.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,14,776.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,15,786.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,16,807.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,17,1152.0,D3,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,18,1263.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,19,1280.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,20,1026.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,21,893.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,22,738.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S1,23,681.0,D4,"January 7 (Simkhada 2022, Fig.3a, midpoint DR + verified p.u.)"
S2,0,781.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,1,759.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,2,757.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,3,770.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,4,783.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,5,791.0,D1,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,6,869.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,7,924.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,8,934.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,9,912.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,10,888.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,11,924.0,D2,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,12,946.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,13,912.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,14,912.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,15,898.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,16,912.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,17,887.0,D3,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,18,1190.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,19,1216.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,20,1168.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,21,1090.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,22,813.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S2,23,800.0,D4,"April 23 (Simkhada 2022, Fig.3b, midpoint DR + verified p.u.)"
S3,0,837.0,D1,"September 12 (Simkhada 2022, Fig.3c, midpoint DR + verified p.u.)"
S3,1,811.0,D1,"September 12 (Simkhada 2022, Fig.3c, midpoint DR + verified p.u.)"
S3,2,749.0,D1,"September 12 (Simkhada 2022, Fig.3c, midpoint DR + verified p.u.)"
S3,3,749.0,D1,"September 12 (Simkhada 2022, Fig.3c, midpoint DR + verified p.u.)"
