resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2014,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.020268,0.054693,0.248,0.0,466,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2014,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.530006,0.147018,0.77,0.155,472,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2014,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.015233,0.041692,0.187,0.0,472,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2014,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.034346,0.073489,0.277,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2014,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.520841,0.134225,0.767,0.125,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2014,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.030121,0.065386,0.247,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2014,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.026871,0.058714,0.273,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2014,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.391658,0.137097,0.715,0.096,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2014,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.024132,0.053079,0.248,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2014,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.019338,0.051697,0.221,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2014,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.493984,0.151219,0.729,0.086,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2014,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.016738,0.046221,0.208,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2015,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.015868,0.04428,0.212,0.0,720,23.7231,90.4086,6.0,0.082192
