timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-08),PWRHYDINDEA,Hydro_HYD,,,0.148502,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRHDRINDEA,Hydro_HDR,,,0.148502,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRHROINDEA,Hydro_HRO,,,0.148502,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRSPVINDEA,Solar,,0.051741,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-08),PWRWONINDEA,Wind,,0.215493,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-08),PWRCOAINDEA,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWRGASINDEA,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWROILINDEA,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWRNGAINDEA,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRHYDINDEA,Hydro_HYD,,,0.148502,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRHDRINDEA,Hydro_HDR,,,0.148502,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRHROINDEA,Hydro_HRO,,,0.148502,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRSPVINDEA,Solar,,0.475177,,,Ninja
S1D2,Winter (Dec-Feb),Day (08-16),PWRWONINDEA,Wind,,0.102477,,,Ninja
S1D2,Winter (Dec-Feb),Day (08-16),PWRCOAINDEA,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRGASINDEA,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWROILINDEA,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRNGAINDEA,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHYDINDEA,Hydro_HYD,,,0.148502,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHDRINDEA,Hydro_HDR,,,0.148502,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHROINDEA,Hydro_HRO,,,0.148502,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRSPVINDEA,Solar,,0.000605,,,Ninja
S1D3,Winter (Dec-Feb),Evening (16-24),PWRWONINDEA,Wind,,0.169833,,,Ninja
S1D3,Winter (Dec-Feb),Evening (16-24),PWRCOAINDEA,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
