timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-08),PWRHYDINDWE,Hydro_HYD,,,0.226666,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRHDRINDWE,Hydro_HDR,,,0.226666,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRHROINDWE,Hydro_HRO,,,0.226666,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-08),PWRSPVINDWE,Solar,,0.018380,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-08),PWRWONINDWE,Wind,,0.317320,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-08),PWRCOAINDWE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWRGASINDWE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWROILINDWE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-08),PWRNGAINDWE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRHYDINDWE,Hydro_HYD,,,0.226666,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRHDRINDWE,Hydro_HDR,,,0.226666,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRHROINDWE,Hydro_HRO,,,0.226666,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Day (08-16),PWRSPVINDWE,Solar,,0.555894,,,Ninja
S1D2,Winter (Dec-Feb),Day (08-16),PWRWONINDWE,Wind,,0.113440,,,Ninja
S1D2,Winter (Dec-Feb),Day (08-16),PWRCOAINDWE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRGASINDWE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWROILINDWE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Day (08-16),PWRNGAINDWE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHYDINDWE,Hydro_HYD,,,0.226666,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHDRINDWE,Hydro_HDR,,,0.226666,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRHROINDWE,Hydro_HRO,,,0.226666,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening (16-24),PWRSPVINDWE,Solar,,0.025817,,,Ninja
S1D3,Winter (Dec-Feb),Evening (16-24),PWRWONINDWE,Wind,,0.319234,,,Ninja
S1D3,Winter (Dec-Feb),Evening (16-24),PWRCOAINDWE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening (16-24),PWRGASINDWE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening (16-24),PWROILINDWE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening (16-24),PWRNGAINDWE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRHYDINDWE,Hydro_HYD,,,0.216576,,CEA fleet PLF
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRHDRINDWE,Hydro_HDR,,,0.216576,,CEA fleet PLF
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRHROINDWE,Hydro_HRO,,,0.216576,,CEA fleet PLF
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRSPVINDWE,Solar,,0.030257,,,Ninja
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRWONINDWE,Wind,,0.116151,,,Ninja
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRCOAINDWE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRGASINDWE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWROILINDWE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-08),PWRNGAINDWE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRHYDINDWE,Hydro_HYD,,,0.216576,,CEA fleet PLF
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRHDRINDWE,Hydro_HDR,,,0.216576,,CEA fleet PLF
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRHROINDWE,Hydro_HRO,,,0.216576,,CEA fleet PLF
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRSPVINDWE,Solar,,0.570096,,,Ninja
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRWONINDWE,Wind,,0.184874,,,Ninja
