timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-06),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRHYDBGDXX,Hydro,0.205667,,,,dispatch: 1132 PGCB files (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRSPVBGDXX,Solar,0.000033,0.000000,,,dispatch: 1132 PGCB files (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRWONBGDXX,Wind,0.259720,0.182710,,,dispatch: 1132 PGCB files (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHYDBGDXX,Hydro,0.206946,,,,dispatch: 1132 PGCB files (compiled CSV)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRSPVBGDXX,Solar,0.347196,0.365733,,,dispatch: 1132 PGCB files (compiled CSV)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRWONBGDXX,Wind,0.137834,0.067472,,,dispatch: 1132 PGCB files (compiled CSV)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHYDBGDXX,Hydro,0.210603,,,,dispatch: 1132 PGCB files (compiled CSV)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRSPVBGDXX,Solar,0.476181,0.339060,,,dispatch: 1132 PGCB files (compiled CSV)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRWONBGDXX,Wind,0.121800,0.078475,,,dispatch: 1132 PGCB files (compiled CSV)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHYDBGDXX,Hydro,0.213436,,,,dispatch: 1132 PGCB files (compiled CSV)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRSPVBGDXX,Solar,0.000020,0.000000,,,dispatch: 1132 PGCB files (compiled CSV)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRWONBGDXX,Wind,0.159359,0.177614,,,dispatch: 1132 PGCB files (compiled CSV)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHYDBGDXX,Hydro,0.121191,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRSPVBGDXX,Solar,0.000744,0.000005,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRWONBGDXX,Wind,0.304322,0.312156,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHYDBGDXX,Hydro,0.130395,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRSPVBGDXX,Solar,0.445120,0.388651,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRWONBGDXX,Wind,0.273591,0.189237,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHYDBGDXX,Hydro,0.149821,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRSPVBGDXX,Solar,0.540800,0.370842,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRWONBGDXX,Wind,0.440748,0.187838,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
