timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-06),PWRHYDINDNE,Hydro_HYD,,,0.192148,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRHDRINDNE,Hydro_HDR,,,0.192148,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRHROINDNE,Hydro_HRO,,,0.192148,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRSPVINDNE,Solar,,0.000520,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-06),PWRWONINDNE,Wind,,0.311738,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-06),PWRCOAINDNE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRGASINDNE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWROILINDNE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRNGAINDNE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHYDINDNE,Hydro_HYD,,,0.192148,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHDRINDNE,Hydro_HDR,,,0.192148,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Morning (06-12),PWRHROINDNE,Hydro_HRO,,,0.192148,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Morning (06-12),PWRSPVINDNE,Solar,,0.484336,,,Ninja
S1D2,Winter (Dec-Feb),Morning (06-12),PWRWONINDNE,Wind,,0.116283,,,Ninja
S1D2,Winter (Dec-Feb),Morning (06-12),PWRCOAINDNE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRGASINDNE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWROILINDNE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Morning (06-12),PWRNGAINDNE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHYDINDNE,Hydro_HYD,,,0.192148,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHDRINDNE,Hydro_HDR,,,0.192148,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRHROINDNE,Hydro_HRO,,,0.192148,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRSPVINDNE,Solar,,0.236356,,,Ninja
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRWONINDNE,Wind,,0.171154,,,Ninja
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRCOAINDNE,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRGASINDNE,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWROILINDNE,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Afternoon (12-18),PWRNGAINDNE,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHYDINDNE,Hydro_HYD,,,0.192148,,CEA fleet PLF
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHDRINDNE,Hydro_HDR,,,0.192148,,CEA fleet PLF
S1D4,Winter (Dec-Feb),Evening (18-24),PWRHROINDNE,Hydro_HRO,,,0.192148,,CEA fleet PLF
