timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-06),PWRHYDINDSO,Hydro_HYD,,,0.240966,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRHDRINDSO,Hydro_HDR,,,0.240966,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRHROINDSO,Hydro_HRO,,,0.240966,,CEA fleet PLF
S1D1,Winter (Dec-Feb),Night (00-06),PWRSPVINDSO,Solar,,0.000000,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-06),PWRWONINDSO,Wind,,0.300627,,,Ninja
S1D1,Winter (Dec-Feb),Night (00-06),PWRCOAINDSO,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRGASINDSO,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWROILINDSO,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRNGAINDSO,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRHYDINDSO,Hydro_HYD,,,0.240966,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRHDRINDSO,Hydro_HDR,,,0.240966,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRHROINDSO,Hydro_HRO,,,0.240966,,CEA fleet PLF
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRSPVINDSO,Solar,,0.469493,,,Ninja
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRWONINDSO,Wind,,0.220496,,,Ninja
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRCOAINDSO,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRGASINDSO,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWROILINDSO,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRNGAINDSO,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRHYDINDSO,Hydro_HYD,,,0.240966,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRHDRINDSO,Hydro_HDR,,,0.240966,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRHROINDSO,Hydro_HRO,,,0.240966,,CEA fleet PLF
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRSPVINDSO,Solar,,0.001269,,,Ninja
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRWONINDSO,Wind,,0.543508,,,Ninja
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRCOAINDSO,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRGASINDSO,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWROILINDSO,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRNGAINDSO,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRHYDINDSO,Hydro_HYD,,,0.240966,,CEA fleet PLF
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRHDRINDSO,Hydro_HDR,,,0.240966,,CEA fleet PLF
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRHROINDSO,Hydro_HRO,,,0.240966,,CEA fleet PLF
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRSPVINDSO,Solar,,0.000000,,,Ninja
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRWONINDSO,Wind,,0.646140,,,Ninja
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRCOAINDSO,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRGASINDSO,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
