timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D1,Winter (Dec-Feb),Night (00-06),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D1,Winter (Dec-Feb),Night (00-06),PWRHYDLKAXX,Major_Hydro,0.335653,,,,dispatch: 361 days (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRWONLKAXX,Wind,0.336267,0.360170,,,dispatch: 361 days (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRSPVLKAXX,Solar,0.000762,0.000000,,,dispatch: 361 days (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRBIOLKAXX,Biomass,0.323534,,,,dispatch: 361 days (compiled CSV)
S1D1,Winter (Dec-Feb),Night (00-06),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRHYDLKAXX,Major_Hydro,0.479868,,,,dispatch: 361 days (compiled CSV)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRWONLKAXX,Wind,0.430796,0.265017,,,dispatch: 361 days (compiled CSV)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRSPVLKAXX,Solar,0.114727,0.409880,,,dispatch: 361 days (compiled CSV)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRBIOLKAXX,Biomass,0.315699,,,,dispatch: 361 days (compiled CSV)
S1D2,Winter (Dec-Feb),Solar day (06-17),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRHYDLKAXX,Major_Hydro,0.572482,,,,dispatch: 361 days (compiled CSV)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRWONLKAXX,Wind,0.483992,0.307209,,,dispatch: 361 days (compiled CSV)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRSPVLKAXX,Solar,0.002500,0.000244,,,dispatch: 361 days (compiled CSV)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRBIOLKAXX,Biomass,0.313951,,,,dispatch: 361 days (compiled CSV)
S1D3,Winter (Dec-Feb),Evening peak (17-20),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRHYDLKAXX,Major_Hydro,0.505043,,,,dispatch: 361 days (compiled CSV)
S1D4,Winter (Dec-Feb),Late evening (20-22),PWRWONLKAXX,Wind,0.442806,0.386807,,,dispatch: 361 days (compiled CSV)
