timeslice,season,daypart,demand_fraction,yearsplit
S1D1,Winter (Dec-Feb),Night (00-06),0.047848,0.061644
S1D2,Winter (Dec-Feb),Solar day (06-17),0.110259,0.113014
S1D3,Winter (Dec-Feb),Evening peak (17-20),0.031668,0.030822
S1D4,Winter (Dec-Feb),Late evening (20-22),0.020803,0.020548
S1D5,Winter (Dec-Feb),Late night (22-24),0.020572,0.020548
S2D1,Pre-monsoon (Mar-May),Night (00-06),0.054673,0.063014
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),0.125985,0.115525
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.036184,0.031507
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),0.023771,0.021005
S2D5,Pre-monsoon (Mar-May),Late night (22-24),0.023507,0.021005
S3D1,SW Monsoon (Jun-Sep),Night (00-06),0.070036,0.083562
S3D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.161388,0.153196
S3D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.046353,0.041781
S3D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.030451,0.027854
S3D5,SW Monsoon (Jun-Sep),Late night (22-24),0.030112,0.027854
S4D1,Post-monsoon (Oct-Nov),Night (00-06),0.034443,0.041781
S4D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.079368,0.076598
S4D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.022795,0.020890
S4D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.014975,0.013927
S4D5,Post-monsoon (Oct-Nov),Late night (22-24),0.014809,0.013927
